Codigo Municipio,Densidad,Umbral
05124,6.03,Despoblado11
05125,5.7,Despoblado11
05126,7.77,Despoblado11
05127,15.73,Poblado
05128,12.28,Despoblado21
05129,5.21,Despoblado11
05130,7.16,Despoblado11
05131,4.04,Despoblado11
05132,18.69,Poblado
05133,2.99,Despoblado11
05134,3.42,Despoblado11
05135,10.18,Despoblado21
05136,9.11,Despoblado11
05138,17.31,Poblado
05139,4.83,Despoblado11
05140,10.7,Despoblado21
05141,16.45,Poblado
05142,6.29,Despoblado11
05143,3.96,Despoblado11
05144,3.27,Despoblado11
05145,3.56,Despoblado11
05147,5.42,Despoblado11
05148,4.24,Despoblado11
05149,11.23,Despoblado21
05151,3.9,Despoblado11
05152,12.26,Despoblado21
05153,3.98,Despoblado11
05154,2.82,Despoblado11
05155,1.81,Despoblado11
05156,16.22,Poblado
05157,5.76,Despoblado11
05158,9.87,Despoblado11
05159,3.31,Despoblado11
05160,12.3,Despoblado11
05161,15.35,Poblado
05162,1.87,Despoblado11
05163,29.04,Poblado
05164,3.8,Despoblado11
05165,5.99,Despoblado11
05166,8.63,Despoblado21
05167,8.23,Despoblado11
05168,53.42,Poblado
05169,12.1,Despoblado21
05170,6.32,Despoblado11
05171,11.03,Despoblado11
05172,16.67,Poblado
05173,1.46,Despoblado11
05174,6.74,Despoblado11
05175,11.47,Despoblado11
05176,7.06,Despoblado11
05177,8.91,Despoblado11
05178,8.61,Despoblado11
05179,10.86,Despoblado21
05180,10.28,Despoblado11
05181,2.42,Despoblado11
05182,11.7,Despoblado21
05183,9.59,Despoblado21
05184,3.52,Despoblado11
05185,5.23,Despoblado11
05186,61.18,Poblado
05187,38.69,Poblado
05188,9.37,Despoblado11
05189,126.63,Poblado
05190,5.6,Despoblado11
05191,9.21,Despoblado21
05192,2.47,Despoblado11
05193,5.85,Despoblado11
05194,8.9,Despoblado11
05195,3.89,Despoblado11
05196,3.12,Despoblado11
05197,15.63,Poblado
05198,4.22,Despoblado11
05199,2.97,Despoblado11
05200,8.7,Despoblado11
05201,8.42,Despoblado11
05204,27.33,Poblado
05205,2.69,Despoblado11
05206,3.38,Despoblado11
05207,18.7,Poblado
05208,4.46,Despoblado11
05209,2.78,Despoblado11
05210,5.93,Despoblado11
05211,8.49,Despoblado11
05212,8.13,Despoblado11
05213,3.93,Despoblado11
05214,4.0,Despoblado11
05215,3.92,Despoblado11
05216,5.0,Despoblado11
05217,11.55,Despoblado11
05218,4.72,Despoblado11
05219,2.58,Despoblado11
05220,23.99,Poblado
05221,10.94,Despoblado21
05222,4.04,Despoblado11
05224,9.25,Despoblado11
05225,13.16,Poblado
05226,4.24,Despoblado11
05227,40.4,Poblado
05228,4.76,Despoblado11
05229,7.87,Despoblado11
05230,11.4,Despoblado11
05231,12.34,Despoblado11
05232,18.48,Poblado
05233,13.32,Poblado
05234,4.31,Despoblado11
05235,7.42,Despoblado11
05236,2.18,Despoblado11
