Codigo Municipio,Deuda (Miles de €)
23072,742.0
23073,2629.0
23074,960.0
23075,1286.0
23076,64.0
23077,0.0
23079,2717.0
23080,228.0
23081,2364.0
23082,1146.0
23084,486.0
23085,463.0
23086,6450.0
23087,3133.0
23088,3596.0
23090,484.0
23091,1384.0
23092,10739.0
23093,2450.0
23094,3381.0
23095,7325.0
23096,890.0
23097,7020.0
23098,36.0
23099,6580.0
23101,67.0
23901,571.0
23902,1615.0
23903,1535.0
23904,330.0
23905,541.0
29001,0.0
29002,0.0
29003,181.0
29004,95.0
29005,2075.0
29006,35.0
29007,8273.0
29008,8400.0
29009,320.0
29010,350.0
29011,837.0
29012,1721.0
29013,3581.0
29014,129.0
29015,19525.0
29016,0.0
29017,1707.0
29018,999.0
29019,252.0
29020,1250.0
29021,0.0
29022,0.0
29023,0.0
29024,0.0
29025,78359.0
29026,453.0
29027,1366.0
29028,150.0
29029,0.0
29030,784.0
29031,101.0
29032,2193.0
29033,657.0
29034,999.0
29035,1040.0
29036,7.0
29037,0.0
29038,3094.0
29039,576.0
29040,905.0
29041,3574.0
29042,12887.0
29043,2700.0
29044,209.0
29045,258.0
29046,321.0
29047,227.0
29048,425.0
29049,190.0
29050,205.0
29051,16540.0
29052,0.0
29053,889.0
29054,26979.0
29055,1478.0
29056,154.0
29057,0.0
29058,2301.0
29059,1206.0
29060,32.0
29061,1016.0
29062,27.0
29063,0.0
29064,0.0
29065,110.0
29066,243.0
29067,755400.0
29068,4563.0
29069,49073.0
29070,16066.0
29071,778.0
29072,1584.0
29073,0.0
29074,20.0
29075,10751.0
29076,0.0
29077,0.0
29079,823.0
29080,2683.0
29081,60.0
29082,31943.0
29083,745.0
29084,16016.0
29085,0.0
29086,258.0
29087,72.0
29088,1191.0
29089,412.0
29090,561.0
29091,6999.0
29092,168.0
29093,411.0
29094,34010.0
29095,2214.0
29096,724.0
29097,171.0
29098,354.0
29099,1024.0
29100,122.0
29901,52527.0
29902,313.0
41001,237.0
41002,818.0
41003,22.0
41004,62657.0
41005,2882.0
41006,0.0
41007,5353.0
41008,419.0
41009,1243.0
41010,1599.0
41011,2836.0
41012,1050.0
41013,2465.0
41014,1107.0
41015,1816.0
41016,4339.0
41017,5354.0
41018,6387.0
41019,314.0
41020,5579.0
41021,1604.0
41022,844.0
41023,4112.0
41024,8797.0
41025,331.0
41026,880.0
41027,1779.0
41028,992.0
41029,4274.0
41030,309.0
41031,926.0
41032,2800.0
41033,928.0
41034,6124.0
41035,784.0
41036,2286.0
41037,467.0
41038,23409.0
41039,29835.0
41040,4042.0
41041,6579.0
41042,1453.0
41043,53.0
41044,3809.0
41045,6195.0
41046,795.0
41047,2194.0
41048,84.0
41049,2299.0
41050,3867.0
41051,815.0
41052,483.0
41053,22381.0
41054,104.0
41055,308.0
41056,2906.0
41057,231.0
41058,9197.0
41059,13847.0
41060,9281.0
41061,741.0
41062,1143.0
41063,294.0
41064,4321.0
41065,22582.0
41066,79.0
41067,2143.0
41068,5955.0
41069,11273.0
41070,5723.0
41071,1305.0
41072,1819.0
41073,221.0
41074,1153.0
41075,3785.0
41076,0.0
41077,367.0
41078,787.0
41079,1730.0
41080,324.0
41081,0.0
41082,1640.0
41083,0.0
41084,571.0
41085,0.0
41086,8346.0
41087,1390.0
41088,92.0
41089,3127.0
41090,828.0
41091,452000.0
41092,551.0
41093,0.0
41094,4934.0
41095,17043.0
41096,2926.0
41097,1131.0
41098,81.0
41099,903.0
41100,0.0
41101,1721.0
41102,1394.0
41901,1002.0
41902,2614.0
41903,2982.0
22001,91.0
22002,0.0
22003,70.0
22004,192.0
22006,383.0
22007,439.0
22008,15.0
22009,358.0
22011,0.0
22012,15.0
22013,129.0
22014,0.0
22015,7.0
22016,317.0
22017,573.0
22018,72.0
22019,0.0
22020,42.0
22021,1956.0
22022,148.0
22023,743.0
22024,82.0
22025,195.0
22027,106.0
22028,126.0
22029,103.0
22032,15.0
22035,134.0
22036,0.0
22037,0.0
22039,384.0
22040,107.0
22041,2.0
22042,0.0
22043,4.0
22044,245.0
22045,0.0
22046,142.0
22047,83.0
22048,8953.0
22049,0.0
22050,0.0
22051,0.0
22052,99.0
22053,1103.0
22054,3756.0
22055,239.0
22057,494.0
22058,274.0
22059,747.0
22060,109.0
22061,2811.0
22062,0.0
22063,56.0
22064,91.0
22066,633.0
22067,0.0
22068,0.0
