Codigo Municipio,Nacimientos,Matrimonios,Defunciones
04084,0.0,2.0,1.0
04085,6.0,1.0,7.0
04086,23.0,4.0,30.0
04087,0.0,0.0,1.0
04088,26.0,13.0,30.0
04089,10.0,3.0,18.0
04090,1.0,1.0,8.0
04091,1.0,0.0,4.0
04092,44.0,10.0,59.0
04901,1.0,0.0,7.0
04093,39.0,8.0,25.0
04094,0.0,0.0,3.0
04095,5.0,2.0,16.0
04096,0.0,0.0,9.0
04097,0.0,1.0,5.0
04098,12.0,5.0,33.0
04099,50.0,15.0,77.0
04100,192.0,53.0,89.0
04101,99.0,28.0,33.0
04102,326.0,78.0,118.0
04103,16.0,3.0,33.0
01001,37.0,18.0,14.0
01002,104.0,37.0,88.0
01049,1.0,0.0,7.0
01003,13.0,3.0,10.0
01006,2.0,0.0,3.0
01037,10.0,2.0,3.0
01008,11.0,1.0,7.0
01004,35.0,14.0,13.0
01009,20.0,2.0,20.0
01010,41.0,13.0,16.0
01011,3.0,2.0,6.0
01013,3.0,1.0,6.0
01014,2.0,1.0,3.0
01016,6.0,3.0,9.0
01017,13.0,1.0,13.0
01021,9.0,6.0,6.0
01022,7.0,5.0,6.0
01023,2.0,0.0,3.0
01046,5.0,2.0,6.0
01056,0.0,0.0,7.0
01901,52.0,20.0,21.0
01027,1.0,3.0,2.0
01019,1.0,1.0,3.0
01020,2.0,0.0,3.0
01028,20.0,5.0,12.0
01030,1.0,0.0,0.0
01031,11.0,3.0,15.0
01032,10.0,1.0,5.0
01902,4.0,0.0,3.0
01033,8.0,2.0,12.0
01036,159.0,71.0,175.0
01058,29.0,5.0,7.0
01034,3.0,0.0,1.0
01039,0.0,0.0,4.0
01041,3.0,0.0,3.0
01042,15.0,6.0,15.0
01043,49.0,15.0,23.0
01044,4.0,1.0,4.0
01047,15.0,6.0,7.0
01051,79.0,21.0,41.0
01052,3.0,2.0,4.0
01053,8.0,2.0,7.0
01054,26.0,7.0,9.0
01055,5.0,1.0,13.0
01057,2.0,0.0,5.0
01059,2556.0,867.0,1844.0
01060,1.0,2.0,6.0
01061,0.0,0.0,0.0
01062,7.0,1.0,4.0
01018,16.0,7.0,10.0
01063,13.0,5.0,15.0
33001,5.0,5.0,33.0
33002,62.0,26.0,173.0
33003,5.0,1.0,15.0
33004,664.0,324.0,918.0
33005,7.0,4.0,35.0
33006,8.0,5.0,31.0
33007,5.0,7.0,30.0
33008,13.0,6.0,41.0
33009,9.0,1.0,26.0
33010,6.0,5.0,32.0
33012,50.0,18.0,93.0
33011,75.0,44.0,198.0
33013,3.0,3.0,6.0
33014,72.0,29.0,140.0
33015,8.0,3.0,22.0
33016,192.0,76.0,216.0
33017,20.0,9.0,54.0
33018,20.0,5.0,40.0
33019,18.0,8.0,71.0
33020,115.0,82.0,147.0
33021,30.0,18.0,77.0
33022,6.0,2.0,15.0
33023,24.0,15.0,50.0
33024,2047.0,1007.0,3047.0
33025,65.0,51.0,137.0
33026,63.0,27.0,148.0
33027,3.0,0.0,17.0
33028,4.0,0.0,23.0
33029,2.0,0.0,9.0
33030,7.0,5.0,23.0
33031,294.0,169.0,624.0
33032,85.0,66.0,176.0
33033,63.0,36.0,162.0
33035,114.0,61.0,124.0
33036,102.0,36.0,218.0
33037,220.0,125.0,535.0
33038,15.0,8.0,26.0
33039,6.0,2.0,28.0
33040,35.0,16.0,78.0
33041,61.0,24.0,80.0
33042,68.0,14.0,59.0
33043,5.0,4.0,19.0
33044,1955.0,974.0,2204.0
33045,46.0,19.0,80.0
33046,6.0,1.0,7.0
33047,5.0,3.0,23.0
33048,0.0,0.0,2.0
33049,43.0,23.0,123.0
33050,0.0,4.0,15.0
33051,65.0,20.0,132.0
33052,2.0,4.0,16.0
33053,6.0,0.0,26.0
33054,10.0,2.0,37.0
33055,16.0,7.0,18.0
33056,48.0,25.0,89.0
33057,17.0,7.0,29.0
33058,10.0,4.0,17.0
33059,21.0,10.0,107.0
33061,2.0,0.0,6.0
33060,103.0,59.0,267.0
33063,1.0,0.0,5.0
33062,7.0,0.0,8.0
33064,1.0,1.0,1.0
33065,7.0,9.0,28.0
33066,410.0,236.0,514.0
33067,0.0,3.0,16.0
33068,8.0,6.0,22.0
33069,25.0,13.0,48.0
33070,29.0,10.0,68.0
33071,1.0,1.0,14.0
33072,5.0,3.0,32.0
33073,46.0,17.0,160.0
33034,84.0,39.0,235.0
33074,18.0,9.0,82.0
33075,1.0,0.0,8.0
33076,103.0,74.0,210.0
33077,5.0,0.0,31.0
33078,0.0,0.0,2.0
05001,0.0,0.0,6.0
05002,17.0,9.0,21.0
05005,0.0,1.0,4.0
05007,0.0,0.0,1.0
05008,1.0,0.0,2.0
05010,2.0,0.0,5.0
05012,2.0,0.0,1.0
05013,2.0,3.0,15.0
05014,53.0,16.0,78.0
05015,1.0,0.0,4.0
05016,89.0,24.0,85.0
05017,0.0,0.0,5.0
05018,0.0,0.0,0.0
05019,625.0,240.0,456.0
05021,28.0,4.0,27.0
05022,10.0,3.0,29.0
05023,0.0,0.0,3.0
05024,1.0,0.0,6.0
05025,0.0,0.0,1.0
05026,0.0,1.0,5.0
05027,3.0,0.0,6.0
05029,0.0,0.0,4.0
05030,2.0,0.0,0.0
05033,1.0,0.0,3.0
05034,0.0,0.0,0.0
05035,0.0,0.0,1.0
05036,0.0,0.0,7.0
05037,0.0,0.0,11.0
05038,0.0,1.0,2.0
05039,0.0,0.0,1.0
05040,0.0,0.0,1.0
05041,12.0,3.0,15.0
05042,1.0,0.0,2.0
05043,0.0,0.0,3.0
05044,1.0,0.0,5.0
05045,1.0,0.0,2.0
05046,0.0,1.0,0.0
05047,33.0,12.0,63.0
05048,0.0,0.0,0.0
05049,0.0,1.0,6.0
05051,0.0,0.0,2.0
05052,0.0,0.0,2.0
05053,0.0,0.0,8.0
05054,11.0,3.0,22.0
05055,2.0,2.0,13.0
05056,1.0,0.0,2.0
05057,26.0,10.0,42.0
05058,0.0,0.0,2.0
05067,0.0,0.0,0.0
05059,1.0,0.0,4.0
05060,0.0,0.0,2.0
05061,4.0,2.0,2.0
05062,0.0,0.0,3.0
05063,0.0,0.0,1.0
05064,0.0,1.0,1.0
05065,1.0,0.0,6.0
05066,7.0,2.0,5.0
05903,0.0,0.0,6.0
05069,0.0,0.0,2.0
05070,0.0,0.0,1.0
05072,2.0,1.0,2.0
05073,1.0,1.0,10.0
05074,2.0,3.0,9.0
05075,3.0,0.0,1.0
05076,9.0,0.0,5.0
05077,0.0,1.0,1.0
05078,0.0,0.0,3.0
05079,0.0,0.0,3.0
05080,0.0,0.0,1.0
05081,0.0,0.0,4.0
05082,2.0,1.0,15.0
05083,0.0,0.0,2.0
05085,1.0,0.0,0.0
05084,0.0,0.0,1.0
05086,0.0,0.0,1.0
05087,0.0,0.0,2.0
05088,0.0,0.0,0.0
05089,2.0,0.0,7.0
05090,0.0,0.0,1.0
05092,0.0,0.0,3.0
05093,11.0,3.0,5.0
05094,1.0,0.0,2.0
05095,1.0,2.0,7.0
05096,0.0,0.0,1.0
05097,4.0,1.0,8.0
05099,2.0,0.0,10.0
05100,1.0,1.0,11.0
05102,25.0,4.0,30.0
05101,0.0,0.0,5.0
05103,0.0,0.0,3.0
05106,0.0,0.0,0.0
05104,0.0,0.0,1.0
05105,0.0,0.0,5.0
05107,0.0,0.0,0.0
05108,0.0,0.0,3.0
05109,3.0,0.0,6.0
05110,3.0,4.0,14.0
05113,1.0,0.0,1.0
05112,0.0,0.0,2.0
05114,5.0,2.0,26.0
05115,4.0,2.0,14.0
05116,0.0,0.0,2.0
05117,0.0,1.0,2.0
05118,0.0,0.0,3.0
05119,0.0,0.0,0.0
05120,0.0,0.0,0.0
05121,0.0,1.0,0.0
05122,0.0,1.0,1.0
05123,0.0,0.0,1.0
05124,0.0,0.0,6.0
05125,0.0,0.0,1.0
05126,0.0,0.0,0.0
05127,4.0,2.0,17.0
05128,2.0,0.0,8.0
05129,0.0,0.0,1.0
05130,0.0,0.0,4.0
05131,0.0,0.0,3.0
05132,4.0,2.0,34.0
05133,0.0,0.0,0.0
05134,0.0,0.0,0.0
05135,4.0,2.0,4.0
05136,1.0,0.0,3.0
05138,2.0,0.0,2.0
05139,0.0,0.0,1.0
05140,2.0,0.0,1.0
05141,0.0,0.0,0.0
05142,0.0,0.0,1.0
05143,0.0,0.0,3.0
05144,0.0,0.0,3.0
05145,0.0,0.0,1.0
05149,0.0,0.0,1.0
05147,0.0,0.0,3.0
05148,0.0,0.0,0.0
05152,4.0,0.0,13.0
05153,0.0,0.0,8.0
05151,1.0,0.0,1.0
05154,0.0,0.0,2.0
05155,1.0,0.0,1.0
05156,0.0,1.0,3.0
05157,0.0,0.0,5.0
05158,5.0,0.0,6.0
05159,0.0,0.0,3.0
05160,0.0,1.0,10.0
05161,12.0,3.0,14.0
05162,0.0,0.0,4.0
05163,19.0,7.0,40.0
05164,0.0,0.0,0.0
05165,1.0,1.0,8.0
05166,0.0,0.0,5.0
05167,1.0,0.0,7.0
05168,68.0,18.0,37.0
05169,2.0,0.0,2.0
05170,1.0,0.0,2.0
05171,0.0,0.0,2.0
05172,1.0,0.0,1.0
05173,1.0,0.0,0.0
05174,0.0,1.0,0.0
05175,0.0,0.0,4.0
05176,0.0,1.0,7.0
05177,0.0,0.0,3.0
05178,0.0,1.0,6.0
05179,1.0,0.0,2.0
05180,0.0,2.0,4.0
05181,0.0,0.0,0.0
05182,6.0,0.0,41.0
05183,0.0,0.0,5.0
05184,3.0,0.0,2.0
05185,0.0,0.0,3.0
05186,14.0,3.0,53.0
05187,14.0,6.0,29.0
05188,0.0,0.0,2.0
05189,4.0,1.0,6.0
05190,0.0,0.0,1.0
05191,1.0,0.0,3.0
05192,0.0,0.0,2.0
05193,0.0,0.0,3.0
05194,0.0,0.0,3.0
05195,0.0,0.0,5.0
05196,0.0,0.0,4.0
05197,0.0,0.0,0.0
05198,0.0,0.0,0.0
05199,0.0,0.0,1.0
05200,1.0,0.0,0.0
05201,2.0,0.0,6.0
05206,1.0,0.0,1.0
05208,0.0,0.0,0.0
05207,2.0,2.0,17.0
05209,0.0,0.0,1.0
05901,1.0,0.0,5.0
05210,0.0,0.0,5.0
05211,1.0,0.0,10.0
05212,1.0,0.0,9.0
05213,0.0,1.0,4.0
05214,0.0,0.0,2.0
05215,0.0,0.0,2.0
05216,1.0,1.0,3.0
05217,0.0,0.0,1.0
05218,1.0,0.0,6.0
05219,0.0,0.0,1.0
05220,5.0,3.0,7.0
05231,1.0,0.0,7.0
05204,1.0,0.0,7.0
05205,1.0,0.0,3.0
05222,0.0,0.0,2.0
05221,2.0,0.0,8.0
05226,0.0,0.0,1.0
05224,0.0,0.0,1.0
05225,1.0,0.0,4.0
05902,1.0,0.0,5.0
05227,6.0,2.0,3.0
05228,0.0,0.0,3.0
05904,0.0,1.0,2.0
05229,0.0,0.0,1.0
05230,0.0,0.0,1.0
05232,0.0,0.0,1.0
05233,1.0,0.0,5.0
05234,0.0,0.0,0.0
05235,0.0,0.0,2.0
05236,1.0,2.0,3.0
05237,0.0,0.0,10.0
05238,3.0,1.0,7.0
05239,1.0,2.0,8.0
05240,52.0,15.0,57.0
05241,40.0,16.0,35.0
05242,3.0,2.0,7.0
05243,2.0,0.0,4.0
05244,0.0,0.0,0.0
05245,2.0,1.0,11.0
05247,1.0,0.0,9.0
05246,0.0,0.0,1.0
05249,0.0,0.0,2.0
05251,0.0,0.0,6.0
05252,1.0,0.0,2.0
05253,1.0,0.0,1.0
05254,3.0,0.0,2.0
05256,0.0,0.0,1.0
05257,1.0,0.0,4.0
05905,1.0,0.0,10.0
05258,0.0,0.0,1.0
05259,0.0,0.0,1.0
05260,0.0,0.0,0.0
05261,0.0,0.0,0.0
05262,1.0,0.0,7.0
05263,0.0,0.0,6.0
05264,0.0,1.0,1.0
05265,0.0,0.0,1.0
05266,1.0,0.0,3.0
05267,0.0,0.0,2.0
06001,6.0,2.0,13.0
06002,65.0,14.0,42.0
06003,5.0,4.0,15.0
06004,11.0,6.0,24.0
06005,21.0,12.0,14.0
06006,41.0,12.0,56.0
06007,11.0,2.0,36.0
06008,6.0,0.0,11.0
06009,1.0,1.0,2.0
06010,4.0,1.0,15.0
06011,407.0,149.0,212.0
06012,39.0,11.0,40.0
06013,2.0,1.0,3.0
06014,73.0,28.0,88.0
06015,1740.0,641.0,1075.0
06016,32.0,13.0,49.0
06017,1.0,0.0,4.0
06018,3.0,2.0,9.0
06019,17.0,6.0,20.0
