Codigo Municipio,Total impuestos (Miles de €)
39005,738.0275
40005,22.30698
41005,3105.0
43005,1698.0
44005,16.975
45005,150.14310999999998
46005,8910.0
47005,190.5
48005,23.796
49005,0.0
50005,130.0
02006,236.82251
03006,320.0
04006,2878.0
06006,1152.28856
07006,4788.0
08006,7020.33839
09006,21.0
10006,236.0
11006,12881.0
12006,90.433
13006,0.0
14006,368.701
15006,1733.68301
16006,60.0
17006,1536.8
18006,1281.99874
19006,0.0
20006,55.1
21006,278.17806
22006,622.15853
23006,1185.0
24006,173.703
25006,101.7
26006,905.0
27006,505.477
28006,80600.62575
29006,117.01703
30006,513.76377
31006,692.57266
32006,366.0
33006,353.669
34006,25.1
35006,8942.005009999999
36006,2096.0
37006,19.638
38006,29978.156
39006,1960.5
40006,0.0
41006,877.0
42006,128.0
43006,226.6
44006,0.0
45006,471.0
46006,2779.0
47006,52.3
48006,68.6
49006,0.0
50006,199.0
01007,0.0
02007,0.0
03007,64.02
04007,569.8880300000001
05007,54.26811
06007,331.0
07007,245.21189999999999
08007,3609.19467
09007,32.0
10007,91.1
11007,7379.53763
12007,183.5
13007,232.14959
14007,5884.70966
15007,492.20089
16007,371.5
17007,715.5376600000001
18007,125.64916000000001
19007,144.465
20007,148.8
21007,2767.25
22007,230.99074
23007,998.0
24007,129.588
25007,354.0
26007,181.859
27007,547.0006
28007,81546.5
29007,14158.0
30007,2214.42819
31007,47.239
32007,240.2
33007,404.39
35007,96.1274
36007,247.32972
37007,185.32745
38007,407.66465999999997
39007,119.7692
40007,0.0
41007,4910.72669
42007,45.1
43007,174.31432999999998
44007,0.0
45007,450.33553
46007,6074.101
47007,1712.24556
48007,151.1
49007,76.85972
50007,12.75
01008,514.8
02008,476.0
03008,40.90862
04008,202.0
05008,50.085
06008,318.77902
07008,2405.8
08008,62.392
10008,1392.96651
11008,12014.61719
12008,77.91438000000001
13008,0.0
14008,635.2
15008,2196.0
16008,97.3
17008,1865.3521500000002
19008,8.7
20008,178.198
21008,500.5286
22008,43.5
23008,381.34504000000004
24008,3612.5
25008,390.825
26008,1003.123
27008,323.052
28008,835.05
29008,6957.495
30008,7924.867929999999
31008,129.95
32008,2162.0
33008,767.5189499999999
35008,2383.0
36008,4587.99004
37008,1235.0
38008,2260.1600300000005
39008,4855.6
40008,14.7
41008,0.0
42008,96.07
43008,70.5
44008,320.0
45008,0.0
46008,744.5
47008,9.7
48008,91.657
49008,71.62906
50008,1881.6555999999998
01009,648.0
02009,7650.0
03009,19301.56715
04009,17.24146
06009,32.2
07009,336.285
08009,6332.14486
09009,99.50326999999999
10009,0.0
11009,270.77659
12009,12112.7
13009,559.71538
14009,803.29395
15009,3358.2801099999997
16009,16.0
17009,2625.45442
19009,126.91976
20009,3828.3
21009,114.82483
22009,214.21460000000002
23009,4959.5
24009,31.7
25009,200.5
26009,362.89344
27009,831.0
28009,15906.5
29009,359.26289
30009,5253.46233
31009,327.168
32009,3087.59225
33009,163.1
34009,17.1
35009,4535.89402
36009,953.0
37009,0.0
38009,2148.82
39009,1268.0
40009,0.0
41009,501.87
42009,37.91164
43009,358.89803
44009,263.7
45009,190.0
46009,1375.0
47009,26.1
48009,410.62649
49009,28.869139999999998
50009,32.0
01010,707.88982
02010,884.15495
03010,84.2
04010,100.0
05010,124.151
06010,278.32068
07010,2716.7885
08010,1720.3
09010,12.1
10010,471.084
11010,2010.5
12010,57.388
13010,450.2
14010,1175.35
15010,267.0
16010,58.0
17010,146.5
18010,315.0
19010,6.375
20010,872.535
21010,11435.1
22010,0.0
23010,4411.0
24010,3514.15335
25010,28.3
26010,147.25
27010,795.4
28010,5564.76375
29010,618.0
30010,2130.0
31010,2002.25262
32010,153.6
33010,308.4541
34010,543.8
35010,2312.5
36010,701.11498
37010,306.2
38010,834.21292
39010,165.7
40010,28.5
41010,0.0
42010,4.2
43010,163.4
44010,108.0
45010,116.0
46010,516.85935
47010,7329.5
48010,92.65096
49010,59.2
50010,52.1
01011,132.0
02011,87.6
03011,8018.4
04011,880.0
06011,10475.0
07011,47941.245969999996
08011,593.3
09011,38.45
10011,237.46533
11011,656.09225
12011,3175.0
13011,0.0
14011,98.79011
15011,4166.70986
16011,36.9
17011,0.0
18011,1215.19881
19011,157.0
20011,522.0
21011,1434.2
22011,32.20707
23011,800.8478
24011,25.1
25011,3912.0
26011,3987.86436
27011,517.86057
28011,263.0
29011,1515.9
30011,1932.55243
31011,174.0
32011,152.6
33011,2802.116
34011,163.25
