Codigo Municipio,Nº Establecimientos Agricultura,Nº Establecimientos Industria,Nº Establecimientos Construccion,Nº Establecimientos Servicios
14010,65.0,27.0,24.0,62.0
14011,13.0,2.0,3.0,18.0
14012,280.0,28.0,21.0,106.0
14013,323.0,73.0,60.0,367.0
14014,146.0,13.0,10.0,37.0
14015,113.0,17.0,11.0,39.0
14016,59.0,4.0,10.0,17.0
14017,66.0,58.0,54.0,276.0
14018,19.0,21.0,21.0,65.0
14019,423.0,32.0,38.0,115.0
14020,5.0,0.0,0.0,6.0
14021,442.0,970.0,898.0,9753.0
14022,117.0,13.0,13.0,53.0
14023,31.0,25.0,22.0,41.0
14024,42.0,7.0,8.0,31.0
14025,118.0,13.0,7.0,32.0
14026,32.0,16.0,21.0,50.0
14027,43.0,38.0,34.0,132.0
14028,0.0,0.0,1.0,5.0
14029,64.0,16.0,24.0,71.0
14030,67.0,59.0,69.0,174.0
14031,39.0,5.0,2.0,7.0
14032,9.0,0.0,2.0,5.0
14033,21.0,8.0,3.0,13.0
14034,3.0,2.0,0.0,5.0
14035,32.0,31.0,57.0,121.0
14036,146.0,16.0,27.0,48.0
14037,142.0,15.0,12.0,48.0
14038,391.0,400.0,119.0,959.0
14039,176.0,18.0,7.0,39.0
14040,62.0,27.0,10.0,60.0
14041,41.0,36.0,16.0,49.0
14042,196.0,148.0,90.0,444.0
14043,310.0,48.0,22.0,148.0
14044,37.0,9.0,8.0,21.0
14045,25.0,17.0,25.0,44.0
14046,170.0,13.0,10.0,46.0
14047,35.0,2.0,7.0,17.0
14048,25.0,6.0,3.0,19.0
14049,158.0,58.0,78.0,392.0
14050,18.0,14.0,9.0,53.0
14051,13.0,1.0,4.0,19.0
14052,13.0,32.0,45.0,202.0
14053,56.0,21.0,17.0,104.0
14054,242.0,84.0,65.0,486.0
14055,386.0,117.0,75.0,450.0
14056,255.0,136.0,89.0,511.0
14057,91.0,80.0,21.0,126.0
14058,204.0,51.0,43.0,169.0
14059,5.0,1.0,1.0,6.0
14060,156.0,18.0,15.0,83.0
14061,12.0,2.0,5.0,10.0
14062,11.0,2.0,4.0,16.0
14063,36.0,4.0,2.0,13.0
14064,5.0,0.0,3.0,4.0
14065,17.0,1.0,11.0,17.0
14066,72.0,74.0,10.0,117.0
14067,27.0,36.0,12.0,89.0
14068,3.0,2.0,1.0,8.0
14069,180.0,27.0,31.0,143.0
14070,21.0,4.0,2.0,21.0
14071,29.0,4.0,4.0,16.0
14072,5.0,5.0,5.0,8.0
14073,54.0,7.0,8.0,40.0
14074,19.0,12.0,19.0,33.0
14075,29.0,4.0,3.0,13.0
14901,,,,
14902,,,,
15001,17.0,18.0,27.0,93.0
15002,8.0,60.0,122.0,739.0
15003,7.0,14.0,4.0,45.0
15004,12.0,5.0,10.0,99.0
15005,13.0,202.0,206.0,698.0
15006,34.0,36.0,34.0,171.0
15007,12.0,14.0,20.0,32.0
15008,6.0,88.0,92.0,363.0
15009,8.0,34.0,58.0,476.0
15010,18.0,3.0,4.0,34.0
15011,5.0,64.0,116.0,394.0
15012,11.0,31.0,24.0,84.0
15013,8.0,14.0,31.0,125.0
15014,5.0,22.0,39.0,56.0
15015,3.0,13.0,22.0,77.0
15016,101.0,20.0,36.0,86.0
15017,10.0,116.0,139.0,590.0
15018,4.0,4.0,3.0,35.0
15019,17.0,168.0,294.0,809.0
15020,19.0,17.0,23.0,52.0
15021,12.0,51.0,33.0,131.0
15022,92.0,18.0,32.0,161.0
15023,10.0,29.0,45.0,248.0
15024,7.0,42.0,32.0,98.0
15025,5.0,2.0,3.0,23.0
15027,3.0,9.0,14.0,35.0
15028,2.0,6.0,1.0,35.0
15029,8.0,17.0,62.0,91.0
15030,144.0,570.0,890.0,10721.0
15031,7.0,115.0,168.0,665.0
15032,13.0,24.0,38.0,119.0
15033,2.0,13.0,17.0,42.0
15034,6.0,13.0,28.0,29.0
15035,10.0,32.0,35.0,235.0
15036,46.0,100.0,185.0,1892.0
15037,87.0,8.0,12.0,82.0
15038,20.0,7.0,14.0,31.0
15039,5.0,2.0,4.0,22.0
15040,41.0,5.0,16.0,51.0
15041,13.0,51.0,84.0,177.0
15042,10.0,14.0,31.0,27.0
15043,52.0,25.0,43.0,100.0
15044,9.0,4.0,2.0,23.0
15045,21.0,9.0,21.0,64.0
15046,29.0,42.0,50.0,293.0
15047,29.0,14.0,12.0,40.0
15048,7.0,8.0,20.0,102.0
15049,5.0,11.0,5.0,23.0
15050,5.0,4.0,8.0,27.0
15051,8.0,10.0,19.0,62.0
15052,34.0,14.0,26.0,57.0
15053,53.0,18.0,36.0,155.0
15054,26.0,140.0,160.0,797.0
15055,4.0,19.0,17.0,86.0
15056,9.0,22.0,51.0,150.0
15057,123.0,30.0,68.0,421.0
15058,25.0,57.0,111.0,1040.0
15059,15.0,65.0,88.0,377.0
15060,11.0,25.0,42.0,157.0
15061,21.0,20.0,36.0,148.0
15062,64.0,26.0,35.0,105.0
15064,2.0,10.0,8.0,30.0
15065,5.0,60.0,61.0,310.0
15066,14.0,14.0,18.0,88.0
15067,2.0,41.0,52.0,199.0
15068,34.0,27.0,34.0,117.0
15069,10.0,30.0,37.0,222.0
15070,4.0,49.0,40.0,289.0
15071,79.0,19.0,56.0,121.0
15072,5.0,43.0,59.0,178.0
15073,16.0,58.0,103.0,636.0
15074,9.0,15.0,22.0,54.0
15075,28.0,39.0,58.0,416.0
15076,15.0,8.0,12.0,46.0
15077,24.0,42.0,69.0,249.0
15078,37.0,310.0,437.0,5185.0
15079,7.0,3.0,8.0,23.0
15080,18.0,5.0,8.0,41.0
15081,2.0,12.0,6.0,22.0
15082,8.0,53.0,92.0,421.0
15083,4.0,2.0,9.0,15.0
15084,3.0,16.0,17.0,32.0
15085,22.0,16.0,24.0,56.0
15086,9.0,10.0,18.0,38.0
15087,16.0,17.0,29.0,90.0
15088,4.0,16.0,24.0,89.0
15089,14.0,30.0,28.0,111.0
15090,7.0,7.0,7.0,22.0
15091,1.0,3.0,4.0,18.0
15092,18.0,54.0,85.0,154.0
15093,9.0,26.0,41.0,109.0
15901,53.0,8.0,9.0,65.0
15902,11.0,9.0,32.0,75.0
16001,2.0,0.0,1.0,1.0
16002,2.0,1.0,0.0,5.0
16003,2.0,2.0,0.0,11.0
16004,5.0,0.0,3.0,3.0
16005,1.0,0.0,6.0,7.0
16006,3.0,0.0,1.0,2.0
16007,22.0,7.0,8.0,16.0
16008,0.0,0.0,2.0,1.0
16009,0.0,0.0,0.0,4.0
16010,0.0,3.0,1.0,4.0
16011,0.0,0.0,0.0,2.0
16012,4.0,0.0,0.0,4.0
16013,0.0,0.0,0.0,0.0
16014,6.0,2.0,0.0,9.0
16015,2.0,1.0,4.0,16.0
16016,6.0,0.0,0.0,9.0
16017,5.0,2.0,3.0,16.0
16018,3.0,1.0,4.0,9.0
16019,4.0,0.0,1.0,4.0
16020,0.0,0.0,1.0,2.0
16022,0.0,0.0,0.0,1.0
16023,0.0,3.0,3.0,18.0
16024,0.0,2.0,1.0,4.0
16025,0.0,0.0,0.0,0.0
16026,1.0,0.0,0.0,4.0
16027,11.0,5.0,5.0,18.0
16029,4.0,0.0,1.0,1.0
16030,0.0,0.0,0.0,1.0
16031,1.0,0.0,1.0,1.0
16032,2.0,1.0,1.0,10.0
16033,9.0,7.0,8.0,49.0
16034,2.0,0.0,2.0,0.0
16035,1.0,3.0,1.0,9.0
16036,1.0,0.0,1.0,3.0
16038,1.0,0.0,0.0,1.0
16039,2.0,3.0,6.0,12.0
16040,1.0,0.0,3.0,5.0
16041,2.0,0.0,2.0,14.0
16042,5.0,9.0,15.0,35.0
16043,0.0,2.0,1.0,1.0
16044,0.0,0.0,0.0,2.0
16045,9.0,1.0,2.0,6.0
16046,3.0,1.0,0.0,5.0
16047,11.0,1.0,0.0,5.0
16048,1.0,1.0,7.0,15.0
16049,3.0,0.0,0.0,5.0
16050,0.0,2.0,4.0,7.0
16051,1.0,0.0,0.0,3.0
16052,4.0,7.0,5.0,23.0
16053,2.0,4.0,4.0,11.0
16055,4.0,5.0,6.0,16.0
16056,1.0,3.0,1.0,16.0
16057,1.0,0.0,0.0,2.0
16058,2.0,1.0,0.0,1.0
16060,14.0,4.0,5.0,11.0
16061,19.0,8.0,8.0,21.0
16062,0.0,0.0,0.0,0.0
16063,2.0,1.0,0.0,4.0
16064,21.0,3.0,3.0,15.0
16065,11.0,3.0,2.0,9.0
16066,22.0,12.0,12.0,78.0
16067,2.0,2.0,0.0,5.0
16068,4.0,1.0,0.0,8.0
16070,0.0,0.0,0.0,1.0
16071,0.0,0.0,0.0,0.0
16072,2.0,1.0,1.0,9.0
16073,1.0,0.0,4.0,7.0
16074,3.0,0.0,0.0,1.0
16078,64.0,127.0,258.0,2056.0
16079,2.0,0.0,1.0,1.0
16081,0.0,1.0,0.0,1.0
16082,3.0,0.0,4.0,10.0
16083,0.0,0.0,0.0,0.0
16084,0.0,0.0,0.0,2.0
16085,2.0,1.0,1.0,7.0
16086,28.0,1.0,9.0,10.0
16087,3.0,1.0,1.0,3.0
16088,0.0,0.0,2.0,2.0
16089,1.0,4.0,5.0,10.0
16091,0.0,0.0,0.0,1.0
16092,5.0,2.0,1.0,3.0
16093,3.0,0.0,1.0,3.0
16094,2.0,0.0,0.0,1.0
16095,0.0,1.0,0.0,1.0
16096,6.0,4.0,2.0,22.0
16097,3.0,0.0,1.0,2.0
16098,7.0,4.0,4.0,11.0
16099,5.0,0.0,0.0,6.0
16100,12.0,6.0,2.0,6.0
16101,0.0,0.0,0.0,3.0
16102,19.0,2.0,8.0,71.0
16103,10.0,3.0,1.0,6.0
16104,0.0,0.0,0.0,3.0
16106,11.0,7.0,17.0,53.0
16107,1.0,1.0,0.0,1.0
16108,0.0,0.0,1.0,4.0
16109,0.0,1.0,0.0,2.0
16110,2.0,0.0,0.0,1.0
16111,1.0,3.0,0.0,9.0
16112,16.0,16.0,14.0,51.0
16113,71.0,14.0,27.0,155.0
16115,0.0,0.0,1.0,2.0
16116,0.0,0.0,0.0,0.0
16117,4.0,9.0,11.0,38.0
16118,12.0,4.0,7.0,30.0
16119,2.0,1.0,2.0,4.0
16121,2.0,2.0,0.0,7.0
16122,2.0,8.0,1.0,8.0
16123,0.0,0.0,0.0,1.0
16124,26.0,10.0,11.0,28.0
16125,18.0,16.0,15.0,68.0
16126,10.0,6.0,7.0,9.0
16128,1.0,0.0,0.0,1.0
16129,3.0,0.0,0.0,5.0
16130,14.0,10.0,5.0,23.0
16131,1.0,0.0,1.0,4.0
16132,0.0,0.0,1.0,1.0
16133,55.0,48.0,44.0,150.0
16134,25.0,38.0,37.0,199.0
16135,2.0,0.0,1.0,3.0
16137,1.0,0.0,0.0,1.0
16139,0.0,1.0,3.0,5.0
16140,2.0,0.0,0.0,1.0
16141,4.0,0.0,1.0,3.0
16142,2.0,0.0,3.0,1.0
16143,0.0,0.0,0.0,0.0
16145,10.0,2.0,3.0,7.0
16146,0.0,0.0,1.0,1.0
16147,3.0,0.0,1.0,1.0
16148,5.0,0.0,11.0,12.0
16149,0.0,0.0,0.0,5.0
16150,3.0,0.0,2.0,2.0
16151,0.0,0.0,0.0,2.0
16152,1.0,0.0,0.0,1.0
16153,15.0,4.0,9.0,18.0
16154,37.0,26.0,26.0,153.0
16155,21.0,4.0,4.0,12.0
16156,0.0,1.0,0.0,2.0
16157,2.0,1.0,0.0,3.0
16158,1.0,7.0,12.0,13.0
16159,2.0,1.0,0.0,7.0
16160,0.0,0.0,0.0,2.0
16161,3.0,0.0,0.0,1.0
16162,2.0,0.0,0.0,1.0
16163,1.0,0.0,0.0,1.0
16165,1.0,0.0,1.0,4.0
16166,11.0,2.0,0.0,6.0
16167,2.0,2.0,3.0,9.0
16169,0.0,0.0,0.0,1.0
16170,7.0,3.0,11.0,32.0
16171,18.0,19.0,13.0,48.0
16172,5.0,2.0,1.0,5.0
16173,3.0,0.0,4.0,4.0
16174,10.0,1.0,1.0,6.0
16175,66.0,24.0,80.0,128.0
16176,1.0,0.0,1.0,0.0
16177,4.0,0.0,1.0,2.0
16181,2.0,1.0,0.0,2.0
16185,1.0,0.0,0.0,2.0
16186,5.0,4.0,5.0,15.0
16187,3.0,0.0,0.0,2.0
16188,3.0,1.0,2.0,5.0
16189,2.0,3.0,4.0,12.0
16190,61.0,42.0,39.0,227.0
16191,4.0,6.0,13.0,48.0
16192,0.0,0.0,0.0,2.0
16193,0.0,0.0,0.0,2.0
16194,1.0,0.0,3.0,5.0
16195,18.0,3.0,2.0,11.0
16196,5.0,3.0,2.0,8.0
16197,0.0,0.0,0.0,0.0
16198,31.0,9.0,2.0,36.0
16199,2.0,0.0,0.0,1.0
16202,8.0,8.0,5.0,20.0
16203,19.0,62.0,85.0,426.0
16204,6.0,0.0,4.0,11.0
16205,1.0,0.0,1.0,5.0
16206,4.0,0.0,0.0,5.0
16209,1.0,0.0,1.0,2.0
16211,3.0,0.0,7.0,9.0
16212,8.0,3.0,0.0,2.0
16213,0.0,0.0,0.0,1.0
16215,0.0,1.0,2.0,9.0
16216,6.0,0.0,2.0,3.0
16217,1.0,0.0,0.0,4.0
16218,4.0,1.0,0.0,8.0
16219,2.0,1.0,0.0,3.0
16224,0.0,0.0,1.0,1.0
16225,0.0,0.0,0.0,1.0
16227,1.0,0.0,2.0,1.0
16228,5.0,1.0,3.0,6.0
16231,0.0,0.0,0.0,0.0
16234,0.0,0.0,0.0,1.0
16236,6.0,8.0,5.0,47.0
16237,1.0,1.0,0.0,2.0
16238,5.0,5.0,5.0,11.0
16239,2.0,0.0,0.0,5.0
16240,2.0,0.0,1.0,3.0
16242,5.0,2.0,4.0,7.0
16243,10.0,3.0,3.0,12.0
16244,15.0,2.0,1.0,10.0
16245,3.0,7.0,1.0,23.0
16246,3.0,8.0,5.0,11.0
16247,4.0,0.0,0.0,1.0
16248,6.0,5.0,1.0,13.0
16249,34.0,21.0,18.0,37.0
16250,2.0,0.0,1.0,2.0
16251,29.0,21.0,12.0,56.0
16253,4.0,2.0,6.0,7.0
16254,2.0,2.0,2.0,5.0
16255,4.0,0.0,0.0,6.0
16258,1.0,0.0,1.0,2.0
16259,1.0,0.0,0.0,0.0
16263,6.0,4.0,1.0,12.0
16264,14.0,4.0,4.0,6.0
16265,0.0,0.0,0.0,1.0
16266,1.0,1.0,3.0,6.0
16269,8.0,3.0,0.0,20.0
16270,4.0,5.0,0.0,10.0
16271,12.0,5.0,3.0,9.0
16272,5.0,0.0,1.0,8.0
16273,3.0,1.0,1.0,5.0
16274,0.0,0.0,1.0,4.0
16275,0.0,0.0,0.0,1.0
16276,0.0,0.0,0.0,1.0
16277,1.0,0.0,1.0,8.0
16278,0.0,0.0,0.0,2.0
16279,2.0,6.0,2.0,6.0
16280,1.0,0.0,3.0,6.0
16901,11.0,5.0,7.0,23.0
16902,0.0,1.0,0.0,2.0
16903,7.0,63.0,12.0,20.0
16904,2.0,0.0,2.0,15.0
16905,3.0,6.0,6.0,27.0
16906,0.0,0.0,0.0,2.0
16908,7.0,3.0,2.0,6.0
16909,1.0,2.0,10.0,12.0
16910,0.0,0.0,0.0,2.0
17001,2.0,3.0,4.0,21.0
17002,4.0,31.0,15.0,84.0
17003,1.0,0.0,0.0,5.0
17004,7.0,2.0,7.0,14.0
17005,2.0,1.0,4.0,12.0
17006,1.0,4.0,16.0,114.0
17007,3.0,17.0,9.0,55.0
17008,7.0,20.0,28.0,94.0
17009,29.0,61.0,25.0,131.0
17010,3.0,8.0,1.0,16.0
17011,8.0,3.0,6.0,23.0
17012,3.0,5.0,15.0,19.0
17013,2.0,9.0,50.0,128.0
17014,2.0,0.0,0.0,3.0
17015,17.0,105.0,85.0,570.0
17016,7.0,4.0,3.0,42.0
17018,3.0,2.0,10.0,15.0
17019,1.0,25.0,16.0,73.0
17020,10.0,31.0,21.0,95.0
17021,0.0,2.0,0.0,5.0
17022,4.0,43.0,62.0,297.0
17023,51.0,69.0,167.0,994.0
17024,1.0,1.0,4.0,26.0
17025,13.0,5.0,9.0,22.0
17026,5.0,2.0,5.0,15.0
17027,2.0,34.0,16.0,83.0
17028,8.0,6.0,1.0,14.0
17029,3.0,0.0,0.0,5.0
17030,9.0,9.0,10.0,21.0
17031,4.0,2.0,1.0,7.0
17032,1.0,6.0,28.0,120.0
17033,11.0,17.0,36.0,99.0
17034,12.0,15.0,75.0,240.0
17035,4.0,3.0,3.0,13.0
17036,2.0,15.0,18.0,71.0
17037,0.0,1.0,1.0,8.0
17038,9.0,19.0,10.0,23.0
17039,3.0,12.0,19.0,91.0
17040,1.0,1.0,7.0,15.0
17041,4.0,1.0,2.0,9.0
17042,10.0,9.0,4.0,17.0
17043,0.0,0.0,1.0,11.0
17044,22.0,77.0,70.0,214.0
17046,0.0,7.0,4.0,20.0
17047,15.0,37.0,97.0,417.0
17048,7.0,14.0,111.0,524.0
17049,8.0,35.0,25.0,126.0
17050,5.0,9.0,9.0,15.0
17051,4.0,1.0,1.0,4.0
17052,4.0,2.0,0.0,14.0
17054,6.0,1.0,7.0,18.0
17055,2.0,1.0,1.0,5.0
17056,19.0,72.0,33.0,72.0
17057,4.0,9.0,11.0,36.0
17058,2.0,4.0,2.0,9.0
17060,2.0,0.0,2.0,16.0
17061,1.0,2.0,0.0,6.0
17062,8.0,24.0,55.0,296.0
17063,1.0,2.0,2.0,9.0
17064,6.0,2.0,2.0,7.0
17065,4.0,2.0,2.0,13.0
17066,18.0,98.0,176.0,1613.0
17067,0.0,3.0,5.0,21.0
17068,3.0,1.0,2.0,10.0
17069,5.0,0.0,9.0,19.0
17070,2.0,1.0,0.0,12.0
17071,4.0,12.0,7.0,19.0
17073,6.0,18.0,25.0,119.0
17074,3.0,5.0,8.0,18.0
17075,4.0,1.0,2.0,5.0
17076,1.0,0.0,1.0,5.0
17077,7.0,2.0,6.0,22.0
17078,2.0,3.0,8.0,16.0
17079,14.0,239.0,403.0,4377.0
17080,0.0,1.0,1.0,5.0
17081,3.0,2.0,3.0,19.0
17082,2.0,1.0,0.0,16.0
17083,9.0,26.0,12.0,88.0
17084,0.0,0.0,4.0,5.0
17085,6.0,3.0,3.0,5.0
17086,3.0,7.0,15.0,299.0
17087,0.0,1.0,1.0,11.0
17088,4.0,1.0,5.0,13.0
17089,14.0,31.0,64.0,165.0
17090,5.0,10.0,7.0,27.0
17091,1.0,2.0,7.0,17.0
17092,34.0,6.0,35.0,120.0
17093,7.0,2.0,14.0,52.0
17094,2.0,3.0,10.0,56.0
17095,9.0,35.0,193.0,1058.0
17096,4.0,0.0,0.0,5.0
17097,1.0,0.0,1.0,10.0
17098,0.0,1.0,1.0,11.0
17099,3.0,0.0,0.0,2.0
17100,6.0,1.0,6.0,9.0
17101,2.0,10.0,4.0,13.0
17102,1.0,2.0,4.0,20.0
17103,8.0,29.0,46.0,104.0
17105,1.0,3.0,2.0,6.0
17106,0.0,2.0,0.0,5.0
17107,1.0,1.0,3.0,16.0
17109,5.0,6.0,11.0,19.0
17110,3.0,8.0,25.0,67.0
17111,6.0,2.0,6.0,34.0
17112,2.0,1.0,1.0,3.0
17114,14.0,181.0,145.0,908.0
17115,2.0,2.0,0.0,4.0
17116,4.0,10.0,10.0,37.0
17117,11.0,58.0,141.0,664.0
17118,66.0,39.0,112.0,579.0
17119,0.0,2.0,1.0,2.0
17120,4.0,8.0,6.0,22.0
17121,7.0,2.0,1.0,20.0
17123,0.0,17.0,5.0,30.0
17124,10.0,4.0,31.0,91.0
17125,0.0,0.0,2.0,1.0
17126,2.0,1.0,4.0,8.0
17128,0.0,3.0,3.0,11.0
17129,3.0,1.0,1.0,8.0
17130,3.0,2.0,3.0,13.0
17132,18.0,7.0,16.0,66.0
17133,5.0,14.0,16.0,28.0
17134,0.0,4.0,0.0,6.0
17135,3.0,2.0,5.0,21.0
17136,0.0,0.0,4.0,7.0
17137,12.0,22.0,36.0,86.0
17138,1.0,4.0,5.0,36.0
17139,2.0,35.0,15.0,48.0
17140,16.0,3.0,13.0,36.0
17141,8.0,24.0,120.0,404.0
17142,4.0,17.0,14.0,62.0
17143,0.0,0.0,0.0,7.0
17144,0.0,4.0,3.0,11.0
17145,0.0,10.0,8.0,61.0
17146,4.0,19.0,18.0,50.0
17147,10.0,65.0,51.0,335.0
17148,6.0,16.0,12.0,54.0
17149,2.0,1.0,2.0,7.0
17150,9.0,72.0,28.0,158.0
17151,4.0,1.0,1.0,3.0
17152,61.0,27.0,128.0,579.0
17153,3.0,0.0,5.0,10.0
17154,2.0,0.0,0.0,3.0
17155,11.0,43.0,92.0,539.0
17157,2.0,0.0,0.0,6.0
17158,4.0,1.0,8.0,15.0
17159,5.0,21.0,6.0,35.0
17160,11.0,44.0,149.0,550.0
17161,6.0,11.0,7.0,27.0
17162,0.0,1.0,0.0,7.0
17163,6.0,10.0,20.0,42.0
17164,29.0,39.0,29.0,120.0
17165,1.0,16.0,4.0,13.0
17166,5.0,2.0,10.0,15.0
17167,5.0,31.0,11.0,75.0
17168,2.0,1.0,0.0,7.0
17169,1.0,18.0,26.0,85.0
17170,2.0,2.0,0.0,5.0
17171,1.0,0.0,2.0,9.0
17172,2.0,2.0,3.0,10.0
17173,0.0,1.0,0.0,14.0
17174,2.0,0.0,0.0,6.0
17175,0.0,2.0,2.0,9.0
17176,1.0,1.0,1.0,5.0
17177,2.0,4.0,4.0,15.0
17178,15.0,5.0,12.0,62.0
17180,34.0,49.0,54.0,294.0
17181,6.0,9.0,41.0,122.0
17182,1.0,3.0,4.0,21.0
17183,0.0,3.0,1.0,12.0
17184,4.0,6.0,11.0,40.0
17185,8.0,45.0,18.0,74.0
17186,2.0,19.0,23.0,103.0
17187,1.0,5.0,5.0,24.0
17188,1.0,1.0,1.0,7.0
17189,4.0,17.0,12.0,36.0
17190,1.0,4.0,6.0,24.0
17191,2.0,8.0,2.0,13.0
17192,0.0,1.0,1.0,16.0
17193,3.0,25.0,27.0,112.0
17194,1.0,0.0,0.0,5.0
17195,12.0,1.0,2.0,17.0
17196,1.0,1.0,1.0,7.0
17197,1.0,3.0,2.0,8.0
17198,3.0,3.0,5.0,11.0
17199,31.0,29.0,74.0,395.0
17200,0.0,9.0,6.0,16.0
17201,0.0,0.0,2.0,9.0
17202,3.0,7.0,35.0,181.0
17203,4.0,1.0,2.0,4.0
17204,8.0,6.0,2.0,22.0
17205,0.0,2.0,2.0,4.0
17206,0.0,0.0,3.0,10.0
17207,11.0,18.0,18.0,60.0
17208,6.0,13.0,6.0,31.0
17209,4.0,10.0,4.0,31.0
17210,8.0,1.0,4.0,24.0
17211,4.0,3.0,23.0,25.0
17212,2.0,2.0,0.0,10.0
17213,4.0,21.0,43.0,139.0
17214,10.0,5.0,6.0,14.0
17215,4.0,26.0,22.0,102.0
17216,2.0,1.0,1.0,7.0
17217,3.0,1.0,1.0,20.0
17218,7.0,2.0,5.0,19.0
17220,5.0,4.0,11.0,31.0
17221,6.0,26.0,43.0,66.0
17222,2.0,2.0,1.0,9.0
17223,8.0,6.0,4.0,19.0
17224,3.0,0.0,6.0,11.0
17225,5.0,0.0,2.0,6.0
17226,1.0,35.0,24.0,93.0
17227,0.0,0.0,2.0,4.0
17228,3.0,1.0,4.0,5.0
17230,4.0,7.0,7.0,27.0
17232,0.0,1.0,4.0,7.0
17233,20.0,13.0,27.0,115.0
17234,0.0,1.0,3.0,6.0
17901,15.0,7.0,11.0,35.0
17902,12.0,29.0,21.0,72.0
17903,1.0,6.0,8.0,18.0
18001,2.0,0.0,0.0,2.0
18002,11.0,0.0,1.0,9.0
18003,35.0,117.0,79.0,574.0
18004,6.0,1.0,4.0,14.0
18005,0.0,3.0,3.0,6.0
18006,156.0,12.0,14.0,76.0
18007,9.0,0.0,5.0,14.0
18010,7.0,5.0,5.0,10.0
18011,8.0,30.0,21.0,82.0
18012,84.0,8.0,5.0,20.0
18013,96.0,13.0,34.0,116.0
18014,3.0,23.0,10.0,130.0
18015,6.0,1.0,0.0,6.0
18016,2.0,0.0,4.0,5.0
18017,49.0,36.0,96.0,760.0
18018,1.0,1.0,2.0,10.0
18020,21.0,2.0,3.0,21.0
18021,2.0,42.0,63.0,488.0
18022,31.0,85.0,60.0,363.0
18023,62.0,84.0,83.0,532.0
18024,0.0,1.0,4.0,11.0
18025,0.0,0.0,2.0,4.0
18027,9.0,27.0,19.0,45.0
18028,61.0,2.0,2.0,15.0
18029,10.0,12.0,11.0,25.0
18030,8.0,1.0,6.0,11.0
18032,0.0,0.0,4.0,17.0
18033,4.0,0.0,1.0,8.0
18034,11.0,0.0,2.0,4.0
18035,5.0,4.0,4.0,30.0
18036,1.0,8.0,20.0,69.0
18037,12.0,0.0,7.0,8.0
18038,58.0,5.0,4.0,20.0
18039,29.0,30.0,17.0,64.0
18040,2.0,0.0,0.0,3.0
18042,0.0,2.0,7.0,26.0
18043,0.0,0.0,0.0,3.0
18044,2.0,1.0,2.0,2.0
18045,6.0,1.0,7.0,14.0
18046,21.0,7.0,9.0,28.0
18047,1.0,9.0,17.0,129.0
18048,15.0,10.0,12.0,43.0
18049,1.0,2.0,3.0,10.0
18050,29.0,2.0,6.0,21.0
18051,75.0,5.0,3.0,15.0
18053,25.0,1.0,6.0,13.0
18054,6.0,0.0,5.0,13.0
18056,39.0,23.0,16.0,59.0
18057,9.0,12.0,24.0,114.0
18059,40.0,23.0,38.0,108.0
18061,34.0,2.0,8.0,15.0
18062,2.0,50.0,44.0,246.0
18063,15.0,2.0,3.0,12.0
18064,8.0,2.0,0.0,5.0
18065,,,,
18066,49.0,6.0,8.0,17.0
18067,6.0,3.0,4.0,17.0
18068,5.0,1.0,4.0,17.0
18069,8.0,6.0,2.0,11.0
18070,3.0,1.0,2.0,11.0
18071,24.0,29.0,43.0,169.0
18072,15.0,8.0,2.0,13.0
18074,4.0,2.0,1.0,3.0
18076,7.0,3.0,2.0,7.0
18077,,,,
18078,4.0,5.0,7.0,14.0
18079,24.0,17.0,13.0,72.0
18082,3.0,3.0,2.0,20.0
18083,0.0,1.0,0.0,2.0
18084,9.0,9.0,22.0,76.0
18085,7.0,0.0,4.0,15.0
18086,4.0,0.0,1.0,8.0
18087,217.0,382.0,703.0,10258.0
18088,49.0,3.0,9.0,20.0
18089,31.0,71.0,90.0,459.0
18093,77.0,7.0,11.0,73.0
18094,4.0,5.0,13.0,42.0
18095,8.0,2.0,9.0,26.0
18096,4.0,0.0,0.0,4.0
18097,4.0,5.0,16.0,18.0
18098,27.0,21.0,32.0,150.0
18099,2.0,6.0,12.0,30.0
18100,67.0,45.0,44.0,142.0
18101,2.0,15.0,31.0,192.0
18102,281.0,22.0,27.0,124.0
18103,10.0,3.0,4.0,9.0
18105,219.0,13.0,16.0,80.0
18106,,,,
18107,5.0,4.0,2.0,15.0
18108,2.0,4.0,4.0,11.0
18109,9.0,3.0,3.0,15.0
18111,0.0,17.0,11.0,37.0
18112,0.0,2.0,1.0,7.0
18114,1.0,3.0,3.0,19.0
18115,17.0,20.0,11.0,41.0
18116,8.0,7.0,10.0,66.0
18117,0.0,1.0,3.0,7.0
18119,31.0,5.0,13.0,40.0
18120,2.0,0.0,2.0,9.0
18121,0.0,1.0,2.0,3.0
18122,271.0,77.0,98.0,434.0
18123,2.0,0.0,2.0,7.0
18124,55.0,1.0,1.0,13.0
18126,7.0,4.0,12.0,16.0
18127,3.0,50.0,65.0,401.0
18128,4.0,1.0,2.0,6.0
18132,122.0,10.0,12.0,44.0
18133,25.0,3.0,3.0,32.0
18134,7.0,16.0,30.0,315.0
18135,327.0,13.0,8.0,72.0
18136,70.0,5.0,9.0,26.0
18137,106.0,3.0,2.0,10.0
18138,39.0,11.0,18.0,59.0
18140,446.0,111.0,168.0,1348.0
18141,4.0,5.0,2.0,8.0
18143,5.0,5.0,4.0,20.0
