Codigo Municipio,Nº Establecimientos Agricultura,Nº Establecimientos Industria,Nº Establecimientos Construccion,Nº Establecimientos Servicios
2030,11.0,19.0,15.0,75.0
2031,3.0,2.0,3.0,10.0
2032,2.0,4.0,1.0,7.0
2033,32.0,10.0,10.0,44.0
2034,18.0,10.0,16.0,35.0
2035,12.0,27.0,11.0,44.0
2036,0.0,1.0,0.0,1.0
2037,156.0,115.0,92.0,731.0
2038,9.0,4.0,4.0,6.0
2039,23.0,7.0,5.0,28.0
2040,4.0,4.0,2.0,12.0
2041,1.0,2.0,5.0,4.0
2042,1.0,5.0,5.0,15.0
2043,24.0,13.0,8.0,25.0
2044,9.0,0.0,5.0,12.0
2045,30.0,35.0,25.0,73.0
2046,8.0,6.0,7.0,22.0
2047,4.0,1.0,0.0,2.0
2048,19.0,8.0,6.0,24.0
2049,0.0,6.0,7.0,15.0
2050,3.0,1.0,0.0,5.0
2051,28.0,38.0,8.0,35.0
2052,5.0,3.0,1.0,9.0
2053,24.0,7.0,21.0,40.0
2054,10.0,2.0,3.0,4.0
2055,7.0,4.0,9.0,27.0
2056,12.0,4.0,8.0,29.0
2057,24.0,15.0,16.0,34.0
2058,0.0,2.0,0.0,6.0
2059,8.0,0.0,3.0,6.0
2060,4.0,8.0,6.0,16.0
2061,8.0,1.0,1.0,8.0
2062,6.0,4.0,3.0,9.0
2063,8.0,9.0,4.0,34.0
2064,1.0,2.0,3.0,10.0
2065,5.0,4.0,2.0,9.0
2066,2.0,0.0,3.0,2.0
2067,4.0,6.0,7.0,41.0
2068,8.0,2.0,3.0,8.0
2069,71.0,127.0,37.0,407.0
2070,8.0,1.0,3.0,10.0
2071,8.0,3.0,7.0,21.0
2072,11.0,3.0,6.0,23.0
2073,35.0,38.0,26.0,104.0
2074,61.0,40.0,42.0,128.0
2075,8.0,7.0,6.0,22.0
2076,3.0,0.0,1.0,7.0
2077,0.0,0.0,0.0,2.0
2078,14.0,6.0,7.0,17.0
2079,55.0,14.0,21.0,70.0
2080,10.0,3.0,0.0,11.0
2081,142.0,123.0,118.0,621.0
2082,0.0,0.0,1.0,7.0
2083,3.0,0.0,1.0,2.0
2084,8.0,2.0,2.0,4.0
2085,2.0,1.0,1.0,6.0
2086,7.0,6.0,17.0,50.0
2901,,,,
3001,4.0,3.0,1.0,11.0
3002,14.0,35.0,18.0,91.0
3003,2.0,3.0,2.0,13.0
3004,0.0,0.0,0.0,13.0
3005,29.0,32.0,34.0,149.0
3006,0.0,1.0,5.0,18.0
3007,0.0,5.0,0.0,4.0
3008,0.0,0.0,1.0,2.0
3009,25.0,318.0,189.0,1371.0
3010,2.0,2.0,3.0,6.0
3011,7.0,23.0,101.0,643.0
3012,5.0,9.0,3.0,56.0
3013,14.0,15.0,5.0,27.0
3014,54.0,626.0,957.0,11284.0
3015,34.0,62.0,60.0,416.0
3016,0.0,0.0,0.0,3.0
3017,1.0,17.0,7.0,11.0
3018,35.0,41.0,157.0,882.0
3019,27.0,150.0,59.0,298.0
3020,0.0,0.0,1.0,2.0
3021,1.0,135.0,21.0,149.0
3022,0.0,2.0,0.0,5.0
3023,13.0,24.0,9.0,27.0
3024,12.0,16.0,24.0,90.0
3025,6.0,2.0,8.0,17.0
3026,0.0,9.0,7.0,33.0
3027,1.0,1.0,0.0,8.0
3028,4.0,7.0,6.0,9.0
3029,4.0,0.0,2.0,3.0
3030,0.0,4.0,7.0,15.0
3031,13.0,46.0,190.0,3454.0
3032,0.0,0.0,0.0,1.0
3033,0.0,0.0,0.0,6.0
3034,0.0,5.0,13.0,70.0
3035,1.0,2.0,2.0,9.0
3036,0.0,0.0,0.0,2.0
3037,6.0,1.0,2.0,16.0
3038,1.0,11.0,0.0,5.0
3039,1.0,0.0,0.0,2.0
3040,1.0,0.0,1.0,7.0
3041,5.0,28.0,82.0,332.0
3042,0.0,3.0,26.0,64.0
3043,6.0,57.0,16.0,65.0
3044,16.0,36.0,48.0,96.0
3045,0.0,0.0,0.0,3.0
3046,0.0,7.0,9.0,25.0
3047,27.0,24.0,119.0,772.0
3048,52.0,19.0,31.0,145.0
3049,53.0,87.0,33.0,275.0
3050,15.0,31.0,86.0,703.0
3051,0.0,8.0,0.0,4.0
3052,6.0,18.0,9.0,19.0
3053,9.0,120.0,64.0,184.0
3054,0.0,0.0,0.0,11.0
3055,10.0,34.0,13.0,102.0
3056,7.0,147.0,46.0,298.0
3057,1.0,1.0,2.0,8.0
3058,46.0,45.0,31.0,167.0
3059,9.0,298.0,76.0,570.0
3060,0.0,0.0,0.0,4.0
3061,5.0,9.0,4.0,37.0
3062,1.0,1.0,1.0,19.0
3063,51.0,92.0,221.0,1536.0
3064,21.0,25.0,14.0,148.0
3065,154.0,1123.0,707.0,5406.0
3066,3.0,465.0,133.0,1273.0
3067,0.0,0.0,0.0,1.0
3068,0.0,0.0,0.0,1.0
3069,1.0,26.0,32.0,281.0
3070,4.0,18.0,15.0,63.0
3071,1.0,22.0,15.0,109.0
3072,4.0,13.0,3.0,7.0
3073,1.0,2.0,0.0,6.0
3074,6.0,12.0,5.0,45.0
3075,1.0,0.0,0.0,25.0
3076,30.0,27.0,65.0,388.0
3077,7.0,8.0,5.0,27.0
3078,3.0,3.0,0.0,18.0
3079,10.0,309.0,86.0,479.0
3080,7.0,12.0,20.0,37.0
3081,1.0,8.0,13.0,70.0
3082,27.0,51.0,147.0,817.0
3083,8.0,57.0,28.0,135.0
