Codigo Municipio,Nº Residencias Mayores,Nº Instituciones Religiosas y Militares
25044,,
37045,,
43022,,
06017,,
28017,,
25045,,
04020,,
04021,,
42032,,
42033,,
18023,1.0,1.0
31050,1.0,1.0
44036,,
32010,,
16031,,
32011,1.0,
21011,1.0,
18024,,
18025,,
23012,1.0,1.0
20019,1.0,
05024,,
05025,,
44037,,
27006,,
34029,1.0,1.0
28018,1.0,
47015,,
04022,,
48092,,
23902,1.0,
23014,,
27007,,
08020,1.0,
17013,,
31137,,
31051,,
04023,,
20020,,
37046,4.0,
12022,,
14008,,1.0
31052,,
20021,,
09047,,
50045,1.0,1.0
37047,3.0,
46047,,
25046,,
16032,1.0,
25170,,
17018,,
25047,,
25048,1.0,
43023,,
25049,,
44039,,
08021,,
25050,2.0,
46048,,
46049,,
43024,,
25051,1.0,
25052,,
14009,1.0,
23015,,
16033,1.0,
34031,,
50046,,
33005,,
44038,,
28019,1.0,
16034,,
09048,1.0,1.0
22052,1.0,
49020,,
45020,,
10026,,
24014,1.0,
22053,1.0,
41015,,
29022,,
47016,,
12024,,
12025,,
46050,,
46051,1.0,1.0
04024,,
29023,,
29024,,
29025,3.0,1.0
18027,1.0,
18028,,
11901,,
29026,,
18029,,
14010,1.0,
29027,,
11009,,
29028,,
29029,,
12026,,
03022,,
22054,,
23016,,
25053,1.0,
49021,4.0,2.0
24015,1.0,
46052,,
49022,,
03023,,
46053,,
03024,1.0,
46054,,
03025,,
03026,,
03027,,
46055,,
03028,,
46056,,
12027,1.0,1.0
12028,1.0,1.0
46057,1.0,
46904,,
03030,,
03031,2.0,
30010,,
46060,,
46059,,
46058,,
43025,,
03032,,
03033,,
46061,,
46062,,1.0
03029,,
03034,,
03035,,
03036,,
03037,,
03038,,
03039,,
03040,1.0,
46063,,
46064,,
46065,,
46066,1.0,
46067,1.0,
03041,1.0,
43026,,
46068,,
46069,,
03042,,
04026,,
04027,,
12029,,
10027,,
06018,1.0,
04028,,
24016,,
31250,1.0,
48016,,
01014,,
22246,,
20022,,
42034,,
22055,,
09050,,
31053,,
26027,,
47017,,
47018,,
18030,,
40028,,
05026,,
24017,,
24018,,
40029,,
50047,,
08022,2.0,2.0
20074,1.0,2.0
26028,,
26029,,
44040,,
15008,1.0,
31905,,
04029,1.0,1.0
05027,1.0,
06019,,
42035,1.0,1.0
24019,,
09051,,
37049,,
48017,1.0,1.0
49023,,
40030,,
01016,1.0,
19051,,
40031,,
05029,,
48018,,
31902,,2.0
31903,,
48019,,1.0
20023,,
21012,,
37050,,
37051,,
10028,,
05030,,
47019,,
50048,,
28021,,
31054,,
10029,,
09052,,
28020,,
34032,,
17019,,
17020,1.0,
35007,,
15009,1.0,2.0
31055,1.0,
46070,3.0,3.0
16035,1.0,
12021,,
17021,,
26030,,
44041,,
03043,,
46071,,
31253,,
20024,,
50901,,
22057,,
02016,,
06020,,
22058,,
22059,1.0,
03044,,
08023,,
50050,,
48020,65.0,11.0
33006,,
22060,,
22061,2.0,
07008,,
25055,,
50051,,
22062,,
43027,,
43028,1.0,
17022,1.0,
22063,,
50052,,
17234,,
31056,,
42036,,
30011,1.0,
43029,,
44042,,
32012,,
17023,3.0,
05033,,1.0
05034,,
05035,,
14011,,
22064,,
44043,,
42037,,
37052,,
34033,,
17029,,
34035,,
34034,,
28022,2.0,2.0
33007,,
28023,,
26031,,
47020,,
32013,,
24020,,
46072,1.0,
40032,,
47021,,
47022,,
19052,,
37054,,
06021,,
47023,1.0,
37055,,
02017,,
05036,,
10030,,
05037,,
15010,1.0,
15011,,
32014,,
13023,1.0,
47024,,
46073,,
41016,,
21013,,
32015,,
22066,,
03045,,
17024,,
22067,,
21014,,
43030,,
02018,,
16036,,
05038,,
02019,1.0,
46074,,
24021,,
15012,,
50053,,
22068,,
50054,,
25057,,
17025,,
44044,,
29030,,
25058,1.0,
43031,1.0,
50055,2.0,2.0
42038,,
41017,1.0,1.0
11010,,
42039,,
45021,,
17026,,
08024,,
24022,,
12032,2.0,2.0
12031,,
11011,,
25059,,1.0
43032,,
43033,,
10031,,
50056,,
37056,,
27008,,
49024,,
37057,,
25056,,
09054,,
05039,,
43034,,
47025,,
34036,,
28024,,
09055,,
13024,,
24023,,
50057,,
28025,,
17027,,
41018,1.0,
38008,,1.0
38009,,
49025,,
49026,,
40033,,
26032,,
19053,2.0,2.0
49027,,
49028,,
37058,,
26033,,
15013,,
26034,,
09056,2.0,
44045,,
22069,,
10032,2.0,
08025,,
08026,,
28026,2.0,
17028,,
42041,,
50058,,
18032,,
16038,,
19054,,
16039,1.0,
16040,,
37059,,
45022,1.0,
37060,,
34037,,
38010,,
16041,1.0,
44046,,
36004,,
46075,,
46076,,
09057,,
07009,,
42042,,
28027,2.0,
14012,1.0,1.0
19055,,
50059,,
05040,,
50060,,
30012,,
09058,,
07010,,
46077,1.0,
31057,1.0,
44047,2.0,
27902,1.0,
50061,,
49029,,
50062,,
42043,2.0,1.0
24024,,
29031,,
05041,,
09059,29.0,23.0
31059,,
41019,,
45023,,
06022,1.0,
46078,2.0,
31060,2.0,
24025,,
45024,,
03046,,
18033,,
19057,,
28028,1.0,
50063,,
47026,,
34038,,
49030,,
24026,,
34039,,
09060,,
31061,,
48021,2.0,
43035,,
37061,,1.0
40034,,
15014,,
25060,1.0,
15015,1.0,
17031,,
12033,1.0,
17030,,
31062,,
28029,,
19058,,
08027,,
50064,1.0,
45025,,
40035,,
49031,,
45026,1.0,
10033,,
24027,1.0,
09061,,
37063,,
06023,1.0,3.0
37065,,
06024,,
10034,,
37062,,
45027,,
13025,,
13026,,
05042,,
41020,,
05043,,
05044,,
21015,,
26035,,
39012,1.0,1.0
09062,,
39013,,
47027,1.0,
47028,,
40036,,
10035,,
05045,,
25061,,
50065,,
14013,2.0,1.0
44048,,
43036,,
23017,,
33008,,
33009,,
31063,,
42044,,
42045,,
08028,,
08029,,
28030,2.0,
37067,,1.0
10036,,
47029,,
24028,,
24029,,
37068,,
08030,1.0,
39014,1.0,
24030,3.0,
10037,7.0,5.0
10038,,
18034,,
10039,,
28031,1.0,
17032,1.0,
18035,,
11012,7.0,6.0
31064,,
50066,,
18036,2.0,
21016,,
40037,,
44049,,
08031,,
43037,2.0,
26036,3.0,3.0
34041,,
18114,,
44050,1.0,
06025,1.0,
44051,1.0,
21017,1.0,
30013,1.0,
42046,,
50067,4.0,3.0
50068,,
50069,,
36005,1.0,
22072,,
08034,,
17033,1.0,
08033,4.0,
08032,2.0,
08035,5.0,
06026,,
45028,,
09064,1.0,1.0
45029,1.0,
18037,,
12034,,1.0
08037,,
46079,,
03049,,
03048,1.0,
08038,1.0,
50070,,
44052,,
17034,2.0,
08036,,
03047,3.0,
42048,,
37069,,
37070,1.0,
07011,1.0,1.0
32016,,
37071,,
13027,1.0,
37072,,
34042,,
45030,1.0,
37073,,
24031,,
10040,,
06027,,
49032,,
39015,,
44053,,
25062,,
45031,1.0,
44054,,
45032,1.0,
39016,5.0,1.0
44055,,
15016,,
43903,,
28032,1.0,
49033,1.0,
41021,1.0,
36006,1.0,
23018,1.0,
15017,1.0,
43038,3.0,
10041,,
44056,,
17035,,
41022,1.0,
06028,1.0,1.0
07012,,
47030,1.0,
24032,,
17036,1.0,
17037,,
03050,2.0,
01017,,
16042,1.0,
50071,,
09065,,
23019,1.0,
37074,,
10042,,
19059,,
45033,,
06029,,
19060,,
21018,,
47031,,
29032,,
16043,,
16044,,
08039,,
19061,,
17038,,
22074,,
13028,1.0,1.0
03051,,
37077,,
40039,,
24033,,
36007,,
10043,,
28033,1.0,
21019,,
09066,,
24034,,
39027,,
39017,,
47032,,
22075,,
46080,,
07013,1.0,
16901,1.0,
30014,,
18038,,
17039,1.0,
26037,,
45034,1.0,
22076,,
47033,,
16045,,
05046,,
26038,,
46081,,
33010,3.0,
22077,,
38011,,
37078,1.0,
05047,1.0,1.0
42049,,
24036,,
25063,,
23020,,
28034,,
17040,,
08040,4.0,
46082,1.0,
12036,,
22078,,
36008,1.0,
33012,1.0,
33011,1.0,1.0
09067,,
18039,1.0,
37079,,
29033,,
29034,,
47034,,
26039,,
04030,1.0,
43907,,
08041,1.0,
08042,,
19064,,
09068,,
37080,,
37081,1.0,1.0
40040,1.0,
17041,,
19065,1.0,
37082,1.0,
37083,,
44059,,
41023,1.0,
40041,1.0,
05048,,
04031,,
08043,,
03052,,
44060,,
13029,,
44061,,
16046,,
16047,,
41901,,
44062,,
42050,,
16048,,
10044,,
18040,,
26040,,1.0
16049,,
10045,,
21020,,
16050,,
16051,,
16052,1.0,
14014,1.0,
29035,1.0,1.0
36009,1.0,
49034,,
19066,,
44063,,
16053,,
49035,1.0,
43039,,
31065,1.0,
43040,,
07014,,
22079,,
15018,,
22080,,
08044,1.0,
18042,,
06030,,
34045,,
17042,,
08045,,
42051,,
28035,1.0,
42052,,
13030,,
18043,,
30015,1.0,1.0
33013,,
09070,,
49036,1.0,
10046,,
37085,,
32018,,
32017,,
27009,,
32019,2.0,1.0
15019,2.0,
49037,,
04032,,
16055,1.0,
40043,1.0,
23021,,
10047,,
14015,1.0,
46083,3.0,
31066,1.0,
31067,1.0,1.0
09071,,
09072,1.0,1.0
02020,1.0,
46084,,
23901,,
08046,2.0,
26041,,
16056,1.0,
14016,,
09073,,
09074,,
05049,,
34046,,
09075,,
45035,,
08047,1.0,
19067,,
50072,,
50073,1.0,
15901,,
46085,1.0,
14017,1.0,
08048,,
45036,1.0,
24037,,
41024,6.0,1.0
06031,,
15020,,
23024,2.0,
47035,,
37086,,
45037,1.0,
14018,,
24038,,
15021,1.0,
45038,,
37087,,
37088,,
40044,,
10048,,
06032,,
16057,,
42053,,
16058,,
42054,,
29036,,
33014,6.0,
05051,,
09076,,
45039,,
