Codigo Municipio,Superficie Km2,Densidad Poblacion
05113,17.46,3.32
05114,106.8,12.92
05115,65.34,9.73
05116,19.07,4.72
05117,24.04,8.4
05118,17.59,4.09
05119,17.01,1.23
05120,6.39,5.01
05121,22.79,14.74
05122,18.06,6.15
05123,18.38,6.47
05124,22.88,4.55
05125,11.75,5.02
05126,10.29,5.54
05127,47.22,15.73
05128,30.69,12.28
05129,31.08,3.67
05130,15.23,6.89
05131,31.21,2.69
05132,49.98,18.69
05133,17.7,3.39
05134,14.93,3.48
05135,33.61,10.18
05136,13.28,6.02
05138,18.77,17.31
05139,16.16,4.39
05140,10.09,10.7
05141,6.02,16.45
05142,19.72,4.61
05143,19.94,3.31
05144,29.35,2.42
05145,17.41,2.18
05147,33.61,4.73
05148,10.37,2.8
05149,9.44,11.23
05151,29.5,3.08
05152,58.26,12.26
05153,29.37,2.69
05154,19.85,1.61
05155,35.31,1.3
05156,22.07,16.22
05157,50.03,4.42
05158,43.35,7.84
05159,90.75,2.3
05160,30.0,10.73
05161,49.83,15.35
05162,60.96,1.43
05163,73.53,29.04
05164,9.2,2.39
05165,78.81,5.38
05166,20.27,8.63
05167,39.99,6.8
05168,97.93,53.42
05169,20.09,12.1
05170,11.08,4.96
05171,7.89,8.24
05172,11.28,16.67
05173,43.13,1.9
05174,14.39,5.07
05175,18.49,8.06
05176,36.99,7.57
05177,23.24,5.9
05178,52.99,7.3
05179,21.0,10.86
05180,10.89,5.6
05181,16.14,2.54
05182,68.98,11.7
05183,14.08,9.59
05184,87.01,3.14
05185,23.52,4.93
05186,28.67,61.18
05187,55.21,38.69
05188,6.51,5.84
05189,3.38,126.63
05190,11.07,4.43
05191,11.29,9.21
05192,43.28,2.63
05193,40.66,4.13
05194,19.77,6.63
05195,65.53,2.99
05196,24.38,2.75
05197,7.55,15.63
05198,20.38,3.29
05199,16.49,2.67
05200,7.36,5.43
05201,74.49,6.99
05204,26.6,27.33
05205,35.32,2.41
05206,10.36,2.22
05207,39.35,18.7
05208,12.99,3.46
05209,38.08,1.86
05210,17.38,4.26
05211,60.78,7.67
05212,35.79,5.76
05213,30.52,2.79
05214,14.5,2.28
05215,50.48,3.23
05216,45.64,4.12
05217,6.84,7.75
05218,34.75,3.22
05219,18.61,2.31
05220,18.55,23.99
05221,29.62,10.94
05222,41.37,3.92
05224,11.13,9.43
05225,28.34,13.16
05226,22.4,2.95
05227,11.98,40.4
05228,42.69,3.94
05229,13.34,5.4
05230,8.42,8.19
05231,16.12,10.67
05232,7.25,18.48
05233,18.39,13.32
05234,13.7,2.99
05235,20.07,7.03
05236,68.37,1.64
05237,37.14,3.9
05238,52.01,15.67
05239,90.46,2.54
05240,43.2,109.28
05241,75.59,58.39
05242,27.25,28.11
05243,52.01,1.46
05244,9.22,4.01
05245,95.47,4.49
05246,20.78,2.26
05247,58.37,3.75
05249,11.69,8.81
05251,46.15,1.26
05252,21.79,2.75
05253,18.18,3.91
05254,20.45,10.37
05256,18.48,5.57
05257,39.34,3.58
05258,21.1,5.5
05259,17.57,5.98
05260,45.99,2.33
05261,6.88,5.38
05262,41.6,7.98
05263,56.02,2.84
05264,10.25,4.88
05265,16.59,4.82
05266,40.33,2.11
05267,43.88,2.28
05901,95.91,2.66
05902,65.77,4.77
05903,33.81,3.46
05904,68.45,1.61
05905,21.2,10.24
06001,82.33,9.96
06002,63.08,86.67
06003,21.54,39.51
06004,160.28,11.54
06005,26.37,76.83
06006,723.23,7.25
06007,294.95,5.61
06008,32.71,22.75
06009,19.07,13.11
06010,67.5,18.12
06011,164.25,205.42
06012,50.12,81.42
06013,22.68,12.7
06014,497.89,15.47
06015,1440.37,104.56
06016,136.11,25.7
06017,62.1,4.15
06018,102.81,7.86
06019,127.79,18.05
06020,92.17,22.64
06021,68.37,14.87
06022,187.54,16.4
06023,475.02,9.96
06024,64.0,20.28
06025,7.85,783.69
06026,68.38,13.83
06027,52.23,13.8
06028,257.32,18.74
06029,234.04,5.7
06030,146.99,1.12
06031,39.22,13.56
06032,12.77,7.05
06033,144.54,10.07
06034,49.8,4.06
06035,132.24,6.83
06036,432.04,13.21
06037,69.63,29.43
06038,36.87,23.81
06039,81.17,26.8
06040,42.32,28.52
06041,15.81,34.85
06042,47.94,24.45
06043,32.07,24.45
06044,561.71,66.36
06045,9.74,56.67
06046,16.73,88.11
06047,21.7,45.81
06048,208.61,4.29
06049,73.72,14.61
06050,236.65,20.33
06051,191.92,9.34
06052,251.77,18.6
06053,115.36,5.9
06054,179.7,37.31
06055,109.86,20.43
06056,84.14,6.06
06057,129.32,4.28
06058,33.47,69.73
06059,151.69,12.95
06060,238.84,28.52
06061,86.57,13.93
06062,309.62,1.98
06063,277.31,12.5
06064,58.39,16.05
06065,113.4,2.95
06066,67.59,28.55
06067,125.64,17.53
06068,46.1,10.33
06069,295.94,11.86
06070,739.93,12.39
06071,8.1,34.2
06072,57.65,47.88
06073,71.5,11.51
06074,162.68,35.02
06075,75.82,6.74
06076,97.87,9.81
06077,26.24,13.38
06078,26.33,20.36
06079,38.23,20.12
06080,64.95,34.6
06081,87.37,13.31
06082,43.81,11.16
06083,865.19,68.68
06084,41.59,29.98
06085,322.35,13.24
06086,202.72,6.73
06087,314.99,7.34
06088,119.68,129.37
06089,43.39,16.46
06090,45.03,20.72
06091,251.17,17.49
06092,80.66,8.01
06093,149.33,34.04
06094,254.51,6.72
06095,430.14,27.6
06096,16.68,15.29
06097,37.05,70.9
06098,40.52,16.61
06099,78.21,16.9
06100,47.33,18.38
06101,163.73,2.99
06102,296.35,3.96
06103,14.25,411.3
06104,131.72,5.46
06105,79.17,8.4
06106,35.88,13.07
06107,23.65,77.76
06108,56.69,47.01
06109,141.55,32.33
06110,72.43,2.08
06111,10.78,56.31
06112,96.12,4.49
06113,185.62,17.61
06114,39.48,3.29
06115,109.61,13.16
06116,71.8,23.57
06117,74.96,21.45
06118,33.56,4.86
06119,22.73,37.48
06120,73.05,54.17
06121,119.73,34.19
06122,108.62,74.24
06123,275.26,19.4
06124,104.39,17.57
06125,202.47,9.15
06126,65.03,39.6
06127,337.79,9.93
06128,61.5,86.36
06129,31.31,21.53
06130,29.71,7.1
06131,57.99,21.3
06132,21.0,46.9
06133,23.49,95.74
06134,58.18,10.61
06135,20.27,68.52
06136,240.67,7.32
06137,90.12,12.07
06138,39.69,29.48
06139,210.22,2.47
06140,74.95,9.54
06141,99.19,19.47
06142,19.41,14.32
06143,72.98,56.96
06144,41.22,13.73
06145,51.65,20.06
06146,125.26,9.26
06147,4.9,73.06
06148,3.73,302.68
06149,104.42,120.03
06150,67.47,13.49
06151,40.82,30.16
06152,90.84,16.2
06153,152.86,169.02
06154,360.18,9.26
06155,98.87,21.27
06156,82.39,16.17
06157,123.36,3.39
06158,62.6,268.15
06159,45.89,60.58
06160,245.7,14.14
06161,92.01,3.22
06162,63.19,53.49
06901,31.79,85.91
06902,28.55,69.67
06903,30.05,82.03
