Codigo Municipio,Total impuestos (Millones euros)
46007,6.074101
47007,1.7122455600000002
48007,0.1511
49007,0.07685972
50007,0.01275
01008,0.5148
02008,0.476
03008,0.04090862
04008,0.202
05008,0.050085
06008,0.31877902
07008,2.4058
08008,0.0
08008,0.062392
10008,1.39296651
11008,12.014617190000001
12008,0.07791438
13008,0.0
14008,0.6352
15008,2.196
16008,0.0973
17008,0.0
17008,1.86535215
19008,0.0087
20008,0.178198
21008,0.5005286
22008,0.0
22008,0.0435
23008,0.38134504
24008,3.6125
25008,0.0
25008,0.390825
26008,1.003123
27008,0.323052
28008,0.83505
29008,6.957495
30008,7.92486793
31008,0.12995
32008,2.162
33008,0.7675189499999999
35008,2.383
36008,4.58799004
37008,1.235
38008,2.26016003
39008,4.8556
40008,0.0147
41008,0.0
42008,0.09607
43008,0.0
43008,0.0705
44008,0.0
44008,0.32
45008,0.0
46008,0.7445
47008,0.0097
48008,0.091657
49008,0.07162906
50008,1.8816555999999998
01009,0.648
02009,7.65
03009,19.301567149999997
04009,0.01724146
06009,0.0322
07009,0.336285
08009,0.0
08009,6.3321448600000005
09009,0.09950326999999999
10009,0.0
11009,0.27077659000000004
12009,12.1127
13009,0.55971538
14009,0.8032939499999999
15009,3.35828011
16009,0.016
17009,2.62545442
19009,0.12691976
20009,3.8283
21009,0.11482483
22009,0.0
22009,0.2142146
23009,4.9595
24009,0.0317
25009,0.0
25009,0.2005
26009,0.36289344
27009,0.831
28009,15.9065
29009,0.35926289
30009,5.2534623300000005
31009,0.327168
32009,3.08759225
33009,0.1631
34009,0.0171
35009,4.53589402
36009,0.953
37009,0.0
38009,2.14882
39009,1.268
40009,0.0
41009,0.50187
42009,0.037911639999999996
43009,0.0
43009,0.35889803000000003
44009,0.0
44009,0.2637
45009,0.19
46009,1.375
47009,0.0261
48009,0.41062649
49009,0.028869139999999998
50009,0.032
01010,0.70788982
02010,0.88415495
03010,0.0842
04010,0.1
05010,0.124151
06010,0.27832068
07010,2.7167885
08010,0.0
08010,1.7203
09010,0.0121
10010,0.471084
11010,2.0105
12010,0.057388
13010,0.4502
14010,1.17535
15010,0.267
16010,0.058
17010,0.1465
18010,0.315
19010,0.006375
20010,0.872535
21010,11.4351
22010,0.0
23010,4.411
24010,3.51415335
25010,0.0
25010,0.0283
26010,0.14725
27010,0.7954
28010,5.56476375
29010,0.618
30010,2.13
31010,2.0022526199999997
32010,0.1536
33010,0.30845409999999995
34010,0.5438
35010,2.3125
36010,0.7011149799999999
37010,0.3062
38010,0.83421292
39010,0.1657
40010,0.0285
41010,0.0
42010,0.0042
43010,0.0
43010,0.1634
44010,0.0
44010,0.108
45010,0.116
46010,0.5168593499999999
47010,7.3295
48010,0.09265095999999999
49010,0.0592
50010,0.0
50010,0.0521
01011,0.132
02011,0.0876
03011,8.0184
04011,0.88
06011,10.475
07011,47.94124597
08011,0.0
08011,0.5933
09011,0.03845
10011,0.23746532999999997
11011,0.65609225
12011,3.175
13011,0.0
14011,0.09879011
15011,4.16670986
16011,0.0369
17011,0.0
18011,1.21519881
19011,0.157
20011,0.522
21011,1.4342
22011,0.03220707
23011,0.8008478
24011,0.0251
25011,0.0
25011,3.912
26011,3.9878643599999997
27011,0.51786057
28011,0.263
29011,1.5159
30011,1.9325524299999999
31011,0.174
32011,0.1526
33011,2.802116
34011,0.16325
35011,8.4
36011,0.296563
37011,0.023855
38011,9.49597774
39011,1.0005
41011,4.8878
42011,0.0285
43011,0.4667
44011,0.0
44011,0.01058066
45011,0.06331
46011,3.237
47011,0.0
48011,2.814
49011,0.0
50011,0.065
02012,0.5373
03012,1.795
04012,0.01036499
05012,0.0
06012,1.06
07012,0.56593251
08012,0.821
09012,0.036
10012,0.096142
11012,61.442815079999995
12012,0.0
13012,0.0795007
14012,1.72
15012,0.75469634
16012,0.032119
17012,0.33553189
18012,0.4455
20012,0.103263
21012,0.06823972
22012,0.0433
23012,1.15948201
24012,0.212164
25012,0.0
25012,0.846
26012,0.0155
27012,0.161704
28012,0.274
29012,2.8263
