Codigo Municipio,Superficie Km2,Densidad Poblacion
05100,23.27,15.08
05101,52.3,6.58
05102,80.51,30.08
05103,17.22,5.05
05104,9.88,3.74
05105,52.92,8.39
05106,11.87,3.62
05107,18.61,4.08
05108,15.02,4.33
05109,24.45,21.55
05110,33.52,28.61
05112,19.54,6.55
05113,17.46,4.75
05114,106.8,15.53
05115,65.34,10.93
05116,19.07,7.24
05117,24.04,9.48
05118,17.59,5.8
05119,17.01,2.53
05120,6.39,5.95
05121,22.79,12.99
05122,18.06,8.64
05123,18.38,5.6
05124,22.88,6.03
05125,11.75,5.7
05126,10.29,7.77
05127,47.22,18.23
05128,30.69,13.69
05129,31.08,5.21
05130,15.23,7.16
05131,31.21,4.04
05132,49.98,24.57
05133,17.7,2.99
05134,14.93,3.42
05135,33.61,14.79
05136,13.28,9.11
05138,18.77,20.62
05139,16.16,4.83
05140,10.09,14.17
05141,6.02,16.94
05142,19.72,6.29
05143,19.94,3.96
05144,29.35,3.27
05145,17.41,3.56
05147,33.61,5.42
05148,10.37,4.24
05149,9.44,14.51
05151,29.5,3.9
05152,58.26,14.9
05153,29.37,3.98
05154,19.85,2.82
05155,35.31,1.81
05156,22.07,15.9
05157,50.03,5.76
05158,43.35,9.87
05159,90.75,3.31
05160,30.0,12.3
05161,49.83,21.39
05162,60.96,1.87
05163,73.53,29.78
05164,9.2,3.8
05165,78.81,5.99
05166,20.27,13.32
05167,39.99,8.23
05168,97.93,59.68
05169,20.09,12.74
05170,11.08,6.32
05171,7.89,11.03
05172,11.28,14.27
05173,43.13,1.46
05174,14.39,6.74
05175,18.49,11.47
05176,36.99,7.06
05177,23.24,8.91
05178,52.99,8.61
05179,21.0,12.95
05180,10.89,10.28
05181,16.14,2.42
05182,68.98,14.58
05183,14.08,14.06
05184,87.01,3.52
05185,23.52,5.23
05186,28.67,70.25
05187,55.21,41.62
05188,6.51,9.37
05189,3.38,176.92
05190,11.07,5.6
05191,11.29,13.55
05192,43.28,2.47
05193,40.66,5.85
05194,19.77,8.9
05195,65.53,3.89
05196,24.38,3.12
05197,7.55,16.82
05198,20.38,4.22
05199,16.49,2.97
05200,7.36,8.7
05201,74.49,8.42
05204,26.6,31.77
05205,35.32,2.69
05206,10.36,3.38
05207,39.35,21.6
05208,12.99,4.46
05209,38.08,2.78
05210,17.38,5.93
05211,60.78,8.49
05212,35.79,8.13
05213,30.52,3.93
05214,14.5,4.0
05215,50.48,3.92
05216,45.64,5.0
05217,6.84,11.55
05218,34.75,4.72
05219,18.61,2.58
05220,18.55,26.25
05221,29.62,14.99
05222,41.37,4.04
05224,11.13,9.25
05225,28.34,16.44
05226,22.4,4.24
05227,11.98,49.5
05228,42.69,4.76
05229,13.34,7.87
05230,8.42,11.4
05231,16.12,12.34
05232,7.25,15.86
05233,18.39,15.33
05234,13.7,4.31
05235,20.07,7.42
05236,68.37,2.18
05237,37.14,5.84
05238,52.01,18.59
05239,90.46,2.82
05240,43.2,111.6
05241,75.59,58.76
05242,27.25,30.83
05243,52.01,2.13
05244,9.22,7.48
05245,95.47,4.44
05246,20.78,3.61
05247,58.37,4.52
05249,11.69,10.86
05251,46.15,1.93
05252,21.79,3.44
05253,18.18,5.61
05254,20.45,13.01
05256,18.48,7.36
05257,39.34,4.02
05258,21.1,6.82
05259,17.57,8.99
05260,45.99,2.61
05261,6.88,6.98
05262,41.6,10.41
05263,56.02,3.48
05264,10.25,5.76
05265,16.59,5.73
05266,40.33,2.95
05267,43.88,2.83
05901,95.91,3.52
05902,65.77,5.46
05903,33.81,5.26
05904,68.45,2.35
05905,21.2,13.54
06001,82.33,10.0
06002,63.08,90.63
06003,21.54,46.75
06004,160.28,12.44
06005,26.37,77.78
06006,723.23,7.77
06007,294.95,6.42
06008,32.71,22.5
06009,19.07,13.37
06010,67.5,19.38
