Codigo Municipio,Empresario que emplea personal,Empresario que no emplea personal
18126,40,75
50155,15,*
06077,*,*
25130,10,20
50156,10,30
08110,720,830
08111,25,35
48058,35,70
50160,70,190
50157,*,15
37178,*,15
10115,105,235
05116,*,20
06078,*,50
10116,190,210
15043,205,540
45089,95,55
50159,20,15
49107,*,25
05117,15,30
09199,*,15
09200,*,*
09201,*,*
07033,1425,2235
37179,*,15
05118,*,*
23058,505,345
06079,25,20
50161,*,*
09202,*,5
07034,45,40
19168,*,*
49108,20,65
49109,20,55
29068,735,705
46159,805,1140
05119,*,*
26092,15,*
08112,605,835
34099,*,15
08113,2970,2525
26093,*,*
24094,75,120
24095,10,30
19169,*,*
34100,*,*
46160,60,90
49110,*,15
49112,*,15
49111,*,15
13053,515,620
26094,*,*
28082,280,340
32044,*,65
45090,15,25
44143,30,25
21047,25,50
47080,*,*
37180,*,10
48059,25,20
31161,20,20
15044,35,120
07032,990,810
45091,25,25
50162,10,10
18127,830,820
19170,15,10
24096,*,15
31162,*,*
40903,*,10
40118,*,*
29069,5600,5930
10117,*,10
18128,15,*
19171,165,155
41060,495,530
31163,95,110
34101,*,*
43076,*,55
43075,*,15
08242,*,30
04063,65,155
50163,345,245
07035,35,135
16122,10,30
36026,610,865
39040,170,330
41061,55,65
46161,65,100
21048,*,*
45092,15,20
48060,220,260
05120,*,*
23059,120,195
50902,*,15
07036,1730,1450
45093,*,*
37181,*,20
05121,*,15
41062,60,55
37183,*,35
44144,25,10
40119,*,25
40120,*,15
40121,30,45
37182,*,*
05122,10,10
08114,535,615
08115,155,190
23060,690,790
40122,25,50
48061,40,35
47081,*,5
43077,20,25
44145,25,85
17100,10,20
45094,*,40
43078,20,60
16123,*,*
02047,*,*
19172,*,10
32045,100,235
08116,45,30
08117,185,145
43079,*,30
08118,675,1170
43080,15,20
43081,30,45
08119,190,290
43082,35,50
46162,100,100
25131,55,40
46163,75,90
46164,335,520
46165,210,305
17101,25,25
25132,*,15
37184,*,25
10118,*,25
40124,10,25
37186,*,*
44146,5,10
12075,15,15
45095,15,85
40123,5,30
24097,20,40
08120,945,565
42110,5,10
24098,35,85
42111,15,25
24099,*,35
38025,280,295
47082,35,40
08121,2895,5085
19173,*,5
12076,*,*
49113,*,30
47083,*,10
37187,15,30
49114,*,*
40125,5,15
19174,*,*
26095,*,10
37188,*,20
49115,*,15
47084,60,185
44147,15,60
45096,25,55
19175,*,10
15045,160,570
34102,20,25
30026,1485,995
39041,85,90
19176,*,*
34103,*,10
09206,*,10
36027,135,340
09208,*,25
28083,410,410
06080,115,100
50164,10,40
05123,*,10
06081,20,65
09209,315,575
47086,180,350
47085,680,1330
42113,60,45
11023,200,290
05124,*,10
39042,220,435
08122,55,120
19177,*,10
26096,*,25
47087,10,30
19178,*,*
27029,80,215
36028,255,300
45097,55,55
28084,635,900
47088,*,25
47089,10,20
09211,65,105
49116,*,40
34104,*,35
46166,340,515
31164,*,50
15046,185,575
52001,1660,2005
32046,55,80
40126,*,5
40127,*,*
37189,*,*
13054,345,325
19179,*,*
10119,*,35
25134,75,60
45098,95,160
20901,55,55
48062,15,20
31165,135,255
31166,10,25
48063,25,25
31167,25,55
34106,10,5
06082,20,25
05125,*,10
23061,190,355
45099,135,205
48064,30,35
50165,70,115
17099,*,*
32047,120,95
07037,360,395
06083,1660,1770
09213,*,25
09214,*,125
09906,130,110
09215,*,55
09216,*,45
09217,20,40
39043,90,90
10120,*,*
16124,85,65
05126,*,15
45100,*,*
15047,100,495
50166,*,45
13055,*,25
31168,15,20
50167,*,15
44148,*,5
32048,*,85
10121,570,525
50168,*,*
49117,*,40
34107,*,20
50169,25,45
19181,*,5
39044,160,160
39045,*,50
17105,*,40
33037,990,1505
19182,*,*
37190,*,25
07902,80,70
45101,115,240
40128,*,10
13056,525,535
05127,35,60
29070,2745,3290
43083,10,10
31169,75,80
09218,30,*
37191,*,10
19184,*,*
10122,*,15
46167,*,20
03086,*,*
49118,5,25
19183,*,*
21049,*,125
02048,35,95
16125,120,115
05128,*,15
15048,105,325
42115,*,15
42116,*,10
19185,*,5
16126,35,55
10123,*,25
19186,*,10
28085,180,415
31170,*,*
25135,100,60
19187,*,10
46168,75,115
44149,10,25
31171,25,55
37192,25,20
09219,905,1025
37193,20,75
06084,25,75
09220,*,15
43084,50,55
44150,*,*
05129,*,25
05130,*,*
05131,*,15
46169,1070,1375
36029,665,830
45102,230,330
19188,*,*
18132,75,120
29071,45,*
09221,30,15
15049,*,110
35012,540,575
37194,*,15
46170,165,200
21050,795,620
10124,15,25
45103,*,55
19189,5,5
08138,155,290
04064,520,420
47090,70,230
04903,590,410
49119,*,35
28086,290,170
43085,*,25
41063,70,65
49120,*,*
19190,175,375
30027,2805,2505
24100,25,20
02049,50,70
37195,*,*
44151,25,20
42117,10,15
28087,115,245
08123,860,1120
39046,*,115
25137,495,530
17106,*,25
08124,1010,1645
29072,170,130
17107,20,40
25136,10,10
18133,80,150
05132,50,50
42118,*,*
49121,20,30
18134,255,445
19191,*,*
09223,*,*
09224,*,35
47091,*,10
46171,620,915
09225,*,*
12077,230,310
29073,140,*
36030,255,130
36031,60,45
19192,110,185
27030,155,360
50170,20,60
22155,10,10
06085,160,260
50171,*,*
49122,20,85
15050,45,265
22156,10,20
37196,*,*
27031,1020,780
44152,*,10
03088,270,370
08128,*,55
08127,45,140
37197,*,15
37198,15,20
03089,225,560
50172,10,20
44153,120,95
16128,*,10
31172,25,25
10125,40,50
44154,25,55
37199,10,10
05133,*,*
17109,55,95
44155,60,50
14040,210,160
16129,*,10
16130,*,65
02050,*,15
49123,*,55
12078,*,35
10126,30,90
12079,40,45
22157,10,50
19193,*,*
46173,65,65
43086,330,435
43088,135,135
08125,890,1315
08130,*,15
31173,55,50
16131,*,*
42119,15,35
44156,*,*
47092,*,15
02051,145,70
45104,10,30
32049,*,120
18135,100,320
10127,325,200
29074,35,40
18136,65,80
37200,10,25
40129,10,30
28088,*,25
40130,*,15
42120,*,30
25139,35,70
41064,*,230
14041,155,80
47093,35,35
37201,20,50
06086,40,65
42121,*,20
50173,*,*
44157,*,10
32050,75,85
27032,195,350
40131,*,5
37202,65,75
09226,*,*
06087,100,165
37203,*,*
46174,*,55
45105,15,20
03903,240,160
08131,35,35
25140,55,120
43089,25,10
25138,35,105
08126,270,660
13057,60,70
06088,565,550
14042,825,1015
18137,40,75
46175,20,35
23062,40,30
08132,20,60
08133,10,30
43090,*,70
08135,120,330
25142,40,45
25141,*,25
50174,*,*
09227,*,10
25143,*,20
08136,325,655
14043,165,265
43091,15,20
17110,100,155
43092,880,490
46176,65,225
08137,25,45
46172,235,475
07038,100,135
14044,90,60
22158,355,980
34108,30,30
45106,430,460
44158,115,150
43093,260,235
43094,150,80
09228,5,35
13058,160,330
40132,*,*
47094,*,20
49124,*,65
18138,100,125
10128,220,575
28089,270,235
47095,*,*
05134,*,*
49126,10,35
49125,50,75
47096,*,20
49128,15,70
49129,65,90
49130,*,10
49127,75,135
49131,*,30
28090,345,495
36032,115,155
37204,15,15
50175,25,50
50176,*,10
28091,195,385
30028,180,375
19194,*,*
34109,*,20
10129,*,15
33038,70,185
01039,20,15
18909,25,20
43095,75,120
12080,125,260
19195,*,10
31174,*,*
43096,10,10
06089,20,25
49132,10,55
49133,20,35
50177,*,25
48066,20,30
14045,135,160
37205,*,*
37206,*,10
37207,15,10
42123,5,10
41065,620,730
37208,*,15
50178,*,10
36033,480,825
44159,*,10
44160,30,75
28092,4200,5675
16132,*,*
16133,280,425
47097,*,30
16134,335,200
02052,15,40
18140,1900,2100
16135,*,15
35013,235,270
50179,*,30
37209,*,30
40134,30,85
50180,*,10
47098,35,50
34110,*,*
47099,*,20
19196,*,15
50181,75,75
50182,255,340
49134,*,30
49135,*,*
31175,*,*
49136,15,45
15051,145,220
32051,95,80
30029,385,595
48068,105,75
50183,30,50
02053,40,245
48069,610,635
44161,30,70
26098,15,15
48007,10,35
08129,20,70
05135,20,40
05136,*,10
05138,20,20
05139,*,10
05140,10,10
40135,*,15
05141,*,*
05142,*,*
05143,*,15
40136,10,*
08139,*,10
27033,15,60
31176,115,225
30030,13905,16215
50184,*,*
24101,*,*
47100,*,*
42124,*,*
42125,*,*
31177,*,15
50185,10,15
26099,35,50
31178,30,40
31179,25,40
03091,*,25
07039,255,225
26100,*,15
03092,360,420
26101,*,*
15053,440,510
33039,35,110
18141,25,55
48908,15,15
31180,10,10
46177,130,245
48071,215,225
20057,15,15
20056,220,215
03090,670,1115
15052,175,490
48067,30,45
48909,10,20
04065,*,15
42127,*,5
26102,410,525
26103,*,60
25145,*,10
45107,165,120
46178,195,255
16137,*,*
15054,835,1240
05144,*,15
05145,*,*
42128,*,*
37211,10,40
05149,*,15
05147,5,35
05148,*,*
25025,65,135
33040,265,415
05152,30,75
37213,*,*
37214,15,*
40138,90,155
45108,20,35
09229,10,20
06090,30,70
37215,*,15
05153,*,10
47101,80,175
21051,*,15
37212,*,*
05151,*,5
28093,65,155
10130,90,95
05154,10,*
05155,*,10
40139,15,25
45109,80,180
05156,*,30
12081,50,30
26104,*,*
22160,15,25
05157,*,25
28094,30,50
28095,55,80
45110,75,125
28096,930,1055
42129,70,65
37216,20,25
40140,5,5
40141,25,95
05158,15,35
37217,*,*
10131,400,680
45111,*,*
45112,120,135
05159,*,35
05160,15,15
05161,35,65
05162,*,*
13059,*,15
45113,90,120
05163,110,150
10132,*,30
06091,185,300
37218,*,15
45114,*,20
05164,*,*
08140,160,270
50186,*,*
40142,*,5
40143,*,30
40144,*,*
01041,30,25
05165,35,60
37219,*,15
28097,10,*
05166,*,25
46179,205,160
26105,75,130
05167,15,25
08141,260,245
09230,*,*
13060,*,*
19197,*,*
02054,25,45
41066,*,55
40145,85,95
40904,10,10
40146,5,60
23063,155,195
10133,40,75
05168,195,435
28099,65,125
31181,*,10
37221,*,50
17111,60,90
05169,5,25
05170,*,*
25146,20,35
10134,20,20
33041,340,505
27034,50,100
49137,10,20
31182,*,*
09231,*,5
15055,205,240
19198,*,*
15056,325,395
37222,10,20
27035,*,*
09232,*,10
05171,*,*
42130,10,5
29075,695,785
02055,55,85
21052,85,250
26106,*,*
18903,50,*
36034,55,275
21053,65,90
40148,*,20
26107,*,10
36035,575,680
18143,40,75
50187,*,*
05172,*,15
04066,1820,1615
18144,35,25
31088,165,325
23064,80,115
45115,140,160
24102,*,25
45116,35,55
27037,15,95
34112,*,*
06092,20,40
32052,*,55
44163,*,20
44164,*,*
44165,20,20
15057,595,915
39047,220,225
42131,*,*
45117,30,75
50188,*,*
50189,65,85
33042,200,345
08142,*,15
43097,30,25
22162,*,*
50190,40,40
03093,680,1395
46180,35,50
45118,40,175
42132,*,20
50191,10,35
03094,710,975
22163,60,40
14046,105,190
47102,10,30
50192,15,10
28100,320,290
50193,40,65
12082,230,420
43098,*,15
45119,150,180
45120,*,20
10135,45,40
31183,20,45
14047,40,70
44167,*,*
45121,185,230
19199,*,5
31185,15,70
26109,*,10
31184,*,*
26108,*,*
25148,*,70
08143,115,185
31186,25,30
44168,*,35
24103,*,*
17112,30,25
18145,510,485
04067,*,*
36036,125,105
20063,395,525
32053,*,110
31187,*,25
26110,5,25
29076,*,165
30031,*,15
44169,25,25
05173,*,*
01042,20,60
20058,35,25
31188,30,15
31189,35,65
44171,*,30
34113,*,*
15058,1515,1405
31190,*,*
08145,195,100
08146,95,85
08147,600,935
25149,50,90
45122,270,245
44172,*,35
25150,15,25
31191,90,225
25151,40,55
46181,720,1350
06093,145,335
06094,*,40
10136,*,25
35014,910,1070
19200,*,*
41067,235,340
47103,15,10
16139,*,40
08148,235,325
06095,320,330
26111,15,20
46183,295,280
31194,15,25
19201,*,*
19202,*,*
16140,*,*
28101,15,30
16141,*,20
16142,*,*
16143,*,*
09235,10,10
47104,65,215
37223,10,10
49138,*,15
09236,*,*
47105,10,10
34114,10,40
47106,*,10
44173,*,5
46182,*,65
12083,15,15
40149,30,75
31192,*,30
08149,25,95
17114,1025,1320
25152,*,10
04068,*,*
04069,160,225
08144,45,65
42134,90,145
22164,*,*
11024,180,330
50194,*,15
24104,15,15
25153,15,20
25154,*,20
42135,15,*
12084,755,975
03095,315,275
48073,205,380
03096,330,335
33043,25,140
45123,75,110
46184,1175,1545
22165,20,60
02056,80,115
24105,55,80
09238,30,70
20059,280,335
09239,*,*
03097,70,125
37224,*,30
31195,5,15
09241,10,10
31196,*,*
05174,*,*
50195,*,*
18146,30,65
23065,25,130
15059,465,780
19203,*,*
17115,20,35
20076,290,550
19204,10,20
40150,10,10
06096,*,15
06097,70,115
20905,10,*
50196,*,*
50197,*,10
20060,*,5
25155,35,50
45124,90,130
18147,340,480
04070,*,215
03099,2730,3130
44174,40,35
20061,155,250
08150,20,25
31197,*,10
08151,15,55
31906,115,175
20062,40,70
31198,*,*
45125,155,180
12085,480,470
15060,135,335
38026,1195,1345
31199,*,*
48075,70,90
08152,15,10
31211,*,*
44175,5,25
08153,40,45
26112,10,20
40151,*,*
40901,30,35
15061,250,395
48083,200,405
28102,30,85
03098,55,55
25156,45,85
16145,15,40
50198,*,*
24106,*,*
50199,30,50
05175,*,25
17116,30,50
34116,*,*
34901,40,135
02057,65,135
22167,95,65
25157,20,30
41068,290,480
31200,40,60
45126,*,25
49139,*,20
40152,35,65
18148,*,60
46185,20,40
18149,230,245
48072,30,75
32054,3205,3645
27038,*,85
27039,85,375
15062,270,515
33044,6165,8605
01043,125,90
15063,195,240
08154,45,45
15064,45,285
32055,*,75
05176,10,10
09242,*,*
09243,*,*
32056,50,230
15065,295,530
09244,*,*
18150,310,340
04071,*,20
46186,580,930
35015,385,440
40154,*,*
05177,*,25
37225,*,10
49141,15,40
24107,*,70
16146,*,10
16147,*,*
05178,10,45
09246,35,45
24108,*,35
09247,*,*
49143,20,10
37226,*,25
49142,*,15
24109,*,80
41069,950,1185
37228,*,50
08155,345,370
17117,620,1145
17118,625,880
12087,*,*
27040,255,355
25158,115,130
17119,*,20
17121,35,35
17120,120,85
08156,520,845
47109,*,25
40155,230,220
09248,*,*
09249,*,*
34120,2505,3235
37229,15,10
14048,30,*
34121,10,20
43100,205,150
08157,405,445
08905,160,135
46187,75,80
07040,11100,16650
43099,15,40
21054,165,480
14049,595,745
19208,*,*
35016,8905,12200
46188,30,40
22168,*,*
17123,30,35
44176,10,5
46189,25,50
16148,20,75
41070,405,250
06098,*,25
45127,25,40
16149,*,*
10137,15,25
21055,255,205
17124,185,190
18151,20,60
09250,*,*
31201,4820,6365
09251,*,35
44177,*,20
50200,25,55
22170,55,55
45128,55,170
27041,60,210
05179,*,30
08158,150,235
16150,*,15
28104,805,650
50201,15,25
50202,*,10
37230,5,15
37231,*,35
32057,*,35
41071,195,190
27042,80,425
37232,*,30
34122,*,15
24110,*,55
27043,55,250
29077,*,15
03100,40,50
09253,*,*
17125,*,20
19209,*,15
16151,*,*
45129,*,10
34123,50,155
19210,*,*
19211,40,30
08159,535,975
28106,2035,3695
17126,30,30
16152,*,*
06099,35,45
05180,*,25
44178,*,10
33045,175,320
47110,*,20
45130,15,30
04072,*,*
09255,*,15
20064,390,670
10138,15,15
05181,*,*
38027,280,365
43101,*,25
37233,*,*
27044,130,490
19212,70,70
50203,70,50
46190,2050,2780
11025,145,130
21056,90,115
02058,*,*
04073,*,30
28107,15,20
17128,35,40
43102,10,50
12088,*,*
21057,20,55
34124,*,15
37234,*,30
36037,130,125
26113,*,*
23066,105,360
04074,165,165
16153,50,45
27045,40,145
47111,40,60
47112,175,280
46191,55,180
49145,*,*
40156,45,40
37235,5,20
34125,*,25
19213,*,*
03101,310,450
41072,285,130
17129,15,15
28108,115,265
14050,65,75
05182,30,50
18152,*,45
13061,430,340
14051,65,70
50204,80,165
16154,405,305
05183,*,10
09256,*,55
34126,*,50
09259,*,60
09257,*,25
09258,*,15
47113,*,10
50205,*,*
37236,10,15
37237,15,20
37238,*,10
26114,*,10
10139,*,*
37239,*,35
41073,50,55
23067,105,115
03102,320,705
49146,10,45
05184,*,40
37240,50,50
45131,10,35
37241,10,20
37242,*,*
28109,60,80
40157,*,*
49147,10,30
49148,10,10
18153,455,330
39048,35,70
03103,*,20
25164,*,40
12089,675,745
37243,*,20
37244,*,15
01044,*,20
47114,280,410
41074,135,145
47115,*,55
22172,40,115
05185,*,10
19214,*,*
06100,45,80
19215,*,25
33046,*,55
33047,75,185
37245,*,50
37246,250,390
09261,10,75
37247,*,35
44179,45,40
14052,215,425
39049,*,40
22173,*,25
02060,65,50
02059,*,20
49149,*,30
45132,110,175
49150,*,*
17130,30,30
44180,*,*
08160,20,35
43103,55,35
09262,5,20
16155,35,65
17132,135,130
10140,35,80
10141,*,15
06101,15,35
16156,*,5
44181,*,10
37248,*,20
37249,*,*
19216,*,25
34127,*,*
28110,60,130
44182,15,30
10142,35,55
22174,15,90
22175,*,15
31202,195,280
22176,*,10
19217,*,*
25165,*,40
24112,*,*
22177,*,15
49151,35,65
50206,20,35
32058,345,375
43104,195,240
37250,*,*
49152,35,60
29079,145,110
49153,*,25
34904,15,80
37251,*,15
40158,*,*
32059,50,55
22178,*,20
39050,*,40
10143,*,25
10144,*,60
33048,*,20
39051,*,*
47116,30,55
16157,*,35
31203,*,*
32060,30,60
07041,195,75
03104,1215,1400
46192,25,25
02061,20,70
18154,*,*
28111,30,25
49154,*,10
46193,390,600
46194,570,810
16158,40,35
13062,*,20
13063,105,185
05186,85,130
49155,*,20
05187,65,190
31204,*,*
10145,*,*
50207,*,15
39052,770,825
08161,440,635
09265,*,*
03902,750,740
41075,305,330
46195,90,155
43105,15,15
33049,280,625
50208,90,130
12090,*,15
38901,*,75
18910,*,50
16159,*,25
40159,*,15
40160,*,15
16160,*,*
09266,*,*
08163,790,1220
09267,*,15
37252,*,10
43106,45,130
25166,*,35
46196,*,*
19218,*,*
09268,*,*
09269,*,*
19219,*,*
49156,10,25
42139,*,*
28112,10,5
09270,*,15
26115,*,*
37253,*,10
49157,*,10
34129,*,35
15066,85,360
10146,75,100
25167,*,60
18157,75,55
18158,345,335
03105,220,390
50209,175,170
50210,*,5
28113,790,1375
34130,*,35
47117,10,35
18159,40,50
47118,10,15
47119,*,*
49158,*,20
32061,55,155
28114,*,10
10147,75,85
19220,85,140
19221,*,*
16161,*,*
43107,25,35
22181,*,20
44183,*,10
37254,*,20
31205,*,30
29080,460,285
37255,*,5
43108,65,180
08164,40,60
22182,10,35
03106,15,30
17133,75,125
17134,20,35
25911,25,45
10148,1250,1775
50211,*,20
10149,*,30
50212,*,*
50213,*,15
48077,235,120
30032,90,180
44184,*,*
25168,20,45
12093,20,25
25169,5,10
08165,65,80
46199,230,550
08166,40,50
43109,*,80
43110,10,50
43111,110,115
25171,140,140
46202,855,1310
46200,90,185
46203,150,180
12094,85,60
07044,455,710
34131,*,15
34132,*,15
34133,*,20
24113,25,45
49160,*,*
49159,30,15
13064,80,50
03901,90,150
19222,*,20
44185,*,25
43112,15,70
32063,60,105
27047,35,185
15067,260,435
36041,500,805
27046,100,275
24114,50,165
39053,*,45
45133,100,165
39054,110,170
34134,*,*
22184,*,35
18161,*,10
08167,150,390
46197,100,130
07042,600,885
47121,20,15
03107,130,355
18162,95,145
34135,45,40
50214,*,*
24115,2225,2590
33050,*,75
43113,25,50
25030,10,15
17135,25,25
25173,105,140
08182,70,245
36043,280,305
36042,795,1375
15068,230,465
36044,120,145
15069,255,320
32064,20,20
27048,105,295
15070,255,285
36038,3090,3145
43141,*,20
08168,*,20
17136,10,20
25172,120,170
23069,200,155
32062,*,60
17137,175,200
43114,35,55
07043,195,310
36039,785,560
17140,80,35
10150,*,15
16162,*,*
36040,50,175
17138,45,45
12091,10,25
25174,15,35
44187,10,50
10151,*,10
16163,*,*
47122,30,200
42140,*,*
45134,85,150
49162,*,*
15071,255,495
27049,75,135
48078,950,1605
18163,35,15
13065,190,165
24116,20,35
14053,95,315
39055,100,80
46198,25,30
05188,*,*
19223,10,10
37256,*,25
42141,*,15
02062,*,25
05189,*,40
16165,15,*
09272,*,25
34136,*,15
47123,25,55
47124,*,25
42142,*,*
22186,15,15
05190,*,10
23070,220,245
02901,105,60
19224,*,*
19225,30,45
34137,*,*
16166,15,20
49163,10,10
14054,525,635
02063,70,105
02064,20,*
44189,*,10
16908,*,20
16167,15,20
37257,*,5
50215,*,*
44190,*,5
02065,15,25
28115,3905,3345
50216,25,20
13066,55,210
47125,*,10
49164,*,15
10152,*,40
24117,*,55
28116,30,70
16169,*,*
13067,25,35
40161,*,*
09273,*,*
34139,*,25
26117,235,190
43115,10,15
40162,45,45
19226,*,*
28117,*,10
43116,35,55
50217,*,45
26118,*,*
49165,*,10
24118,*,15
11026,215,360
09274,45,115
19227,*,*
05191,*,*
43117,*,5
08169,1035,1560
43118,30,50
08171,85,155
08170,20,35
25175,15,20
33051,350,550
25176,*,15
25177,25,50
26119,15,15
08230,565,795
08172,615,1285
09275,*,35
17139,110,70
24119,50,30
16170,30,85
14055,870,1080
24120,20,50
33052,*,110
16171,50,100
25179,20,30
41076,30,70
46205,555,1060
50218,*,20
06102,25,55
50219,180,180
16172,*,30
45135,240,190
12092,*,10
09276,20,20
37258,*,30
19228,*,*
22187,*,40
41077,325,230
18164,120,125
13068,45,45
21058,30,75
44191,30,60
06103,155,235
06104,*,25
28118,*,10
24121,25,35
41078,35,115
45136,115,395
06107,40,50
40163,*,*
37259,*,*
46201,*,*
49166,90,70
06108,95,130
34140,*,15
19229,*,10
44192,25,50
37260,*,15
06105,*,35
13069,*,30
06106,25,30
41079,185,435
16174,*,15
45137,90,190
49167,*,20
06902,60,70
50220,*,*
24122,30,60
23071,65,110
22188,20,*
45138,45,115
37261,*,25
14056,850,1100
22902,10,30
31206,90,105
39056,60,80
09277,*,20
28902,*,55
23072,85,150
37262,10,20
05192,*,10
37263,20,25
38028,975,1285
45139,*,20
10153,*,25
11027,2265,2670
35017,1010,1445
13070,*,70
30033,495,795
21059,*,10
11028,640,730
37264,*,*
11029,110,165
22189,25,20
13071,945,890
44193,10,25
31207,15,20
22190,*,25
22193,10,20
46204,370,345
17141,680,450
08174,15,25
25180,5,30
43119,45,50
07045,65,190
08175,140,210
25181,*,40
25182,80,120
08176,15,10
29081,*,20
45140,80,120
18165,100,190
04075,265,245
21060,315,500
38029,30,50
38030,35,160
32065,*,25
47126,*,*
04076,*,150
50221,*,*
18167,95,175
08177,*,*
17142,200,205
46101,25,35
46102,480,795
46103,40,95
46104,70,165
03060,*,15
26120,80,80
09279,15,20
18168,*,45
19230,45,20
17043,*,15
45141,40,80
43120,*,30
46206,20,30
23073,95,250
22195,15,15
28119,85,165
06109,190,180
24123,*,65
24124,10,20
09281,10,20
34141,10,15
42144,*,65
24125,*,20
09280,*,*
09283,*,*
09287,10,20
09288,*,15
45142,530,660
09289,95,105
16175,285,445
42145,*,10
09292,*,10
47127,*,25
09294,5,10
47129,65,55
34143,*,20
47130,*,15
49170,*,10
09901,*,25
09295,*,20
47128,*,15
49168,*,15
49169,*,*
09298,*,*
09301,50,50
09297,15,40
32066,*,*
50222,85,180
42148,*,*
27050,85,170
33053,*,120
49171,25,45
45143,*,125
27056,85,100
49172,35,45
26121,*,*
09302,*,10
47131,*,15
49173,*,25
09303,*,*
42149,15,20
09304,*,20
17143,10,30
16176,*,*
03109,120,110
44194,5,25
46207,280,440
46208,65,85
46209,55,85
03110,35,35
46210,5,20
37265,*,20
04077,15,25
32067,*,190
08178,*,40
39057,135,180
14057,315,395
32068,40,100
47132,*,*
40164,15,25
28120,95,50
26122,10,20
39058,50,55
43121,20,40
05193,*,20
46212,140,120
46211,95,95
41080,55,95
45144,30,120
40181,235,295
38031,945,1335
10154,10,10
42151,*,*
09306,10,25
40165,*,15
19231,*,*
45145,85,135
02066,10,25
19232,*,10
42152,*,25
26123,*,15
09307,*,*
09308,*,*
37266,*,10
36045,715,1055
03111,155,515
28121,*,15
17144,20,15
24127,*,45
33054,55,95
09309,15,35
16177,*,*
06110,*,10
39059,265,360
09310,*,5
34146,*,5
03112,*,85
08179,15,35
42153,*,*
50223,30,50
40166,10,35
06111,15,15
43122,*,10
47133,180,170
34147,10,35
19233,*,15
42154,*,15
39060,255,250
49174,*,5
46213,685,890
34149,*,*
34151,*,30
06112,20,20
45146,*,5
50224,*,*
19234,*,*
37267,10,15
42155,*,50
09311,*,*
13072,*,65
43123,2750,3405
49175,30,30
34152,*,10
34154,*,10
09314,*,20
09316,*,10
09312,*,10
09315,25,15
24129,*,20
09317,*,*
42156,*,10
40168,*,*
25183,55,70
15072,465,930
24130,40,60
40170,170,165
42157,*,*
19235,*,10
43124,20,25
32069,200,255
33055,*,145
27051,380,880
33056,255,445
36046,145,270
31208,85,90
26124,35,90
39061,140,320
39062,50,195
46214,670,970
43125,*,45
34155,*,*
27052,30,95
28122,*,40
15073,1085,975
27053,*,80
01047,70,50
33057,65,110
06113,210,195
25905,30,55
25185,40,75
34156,*,15
17145,95,90
12095,25,40
40171,*,*
50225,130,45
30034,*,*
24131,25,70
24132,25,115
17146,175,105
45147,*,40
43126,90,60
44195,*,25
19237,*,*
29082,1355,1920
26125,195,225
37268,*,10
41081,900,1205
25186,*,50
05194,*,25
09318,*,*
44196,*,*
05195,*,20
49176,30,65
40172,*,*
19238,*,*
29083,100,80
04078,35,10
46215,45,125
10155,95,50
39063,30,75
49177,*,10
02067,55,100
32071,65,120
33058,*,65
42158,10,10
24133,*,30
27054,80,135
39064,75,85
17147,530,410
08180,580,1545
06114,*,*
25913,15,20
17148,85,140
17149,30,30
43127,70,45
43128,35,55
17150,55,130
43129,345,310
17151,*,20
28123,2410,2870
05196,*,*
09321,110,135
49178,45,40
47134,*,30
24134,50,285
47135,*,*
37269,15,45
49179,*,70
10156,*,*
28124,10,*
10157,10,10
19239,*,*
10158,*,*
02068,20,15
28125,175,110
19240,*,*
45148,*,20
13901,55,150
10159,*,25
37270,10,20
28126,*,*
22197,*,80
26126,*,*
06115,25,70
08181,530,620
46216,270,470
43130,15,15
21061,155,80
41082,90,170
43131,340,280
40173,*,25
08183,110,315
02069,800,825
36047,25,570
44197,*,*
26127,30,15
43132,40,35
49180,*,25
15074,165,255
03113,610,610
09323,*,*
42159,*,*
37271,10,30
03114,95,145
10160,*,*
19241,*,10
19242,*,15
50227,25,20
31209,*,25
45149,25,35
31210,10,10
29084,1285,1290
41083,45,60
24136,25,70
04079,3385,3130
43133,215,295
21062,45,55
36048,170,330
10901,85,60
38032,640,505
17152,1090,610
49181,*,35
12096,25,75
25189,65,115
11030,720,1090
46217,30,65
46218,*,55
47137,*,*
43134,*,15
42160,20,35
44198,15,20
09325,15,45
16181,*,10
28127,3445,3870
28128,*,*
39065,*,35
32072,155,160
10161,*,*
09326,10,15
08184,1620,2700
47138,10,*
32073,20,65
44199,*,*
44200,*,*
44201,20,40
08185,*,25
41084,110,70
18170,25,35
09327,*,*
09328,*,*
47139,40,100
50228,25,20
19243,*,15
39066,20,60
50229,10,*
39067,*,115
46219,*,5
13902,*,40
39068,*,60
17153,15,20
08901,40,35
23074,130,135
14058,470,360
08187,5305,7815
24137,40,60
50241,*,40
22199,390,245
23075,195,95
12097,*,*
19244,*,15
16185,*,*
19245,55,80
13073,15,30
40174,25,45
15075,770,815
31212,10,20
50230,*,125
16186,20,35
19246,*,*
47140,5,25
37272,*,20
08188,*,35
03115,*,45
37273,*,15
46220,1205,1970
24139,95,225
37303,*,25
22200,25,30
26128,15,*
37274,3720,5255
18171,50,120
29085,*,*
33059,140,490
22201,10,45
22202,*,10
09329,*,10
09330,95,105
25190,15,30
49183,*,10
36049,300,345
44203,*,*
34157,145,325
09332,5,20
37275,*,15
08190,*,40
31213,*,10
44204,*,*
42161,*,10
46221,10,15
17154,*,25
22203,*,10
50231,*,20
