Codigo Municipio,Uso Industrial,Uso Residelcial,Uso Terciario,Otros Usos
02032,95,437,9,14
02033,246,1396,39,7
02034,311,1157,30,33
02035,405,1418,44,5
02036,36,101,3,3
02037,5219,13827,771,360
02038,97,228,6,2
02039,189,793,22,5
02040,194,372,9,10
02041,120,472,10,10
02042,497,955,31,27
02043,342,1265,24,7
02044,402,1084,37,24
02045,914,2090,63,44
02046,215,896,24,3
02047,122,199,6,73
02048,310,1044,24,2
02049,585,1258,29,112
02050,63,115,2,3
02051,295,1085,25,6
02052,122,447,10,14
02053,525,2263,66,8
02054,137,310,14,12
02055,544,1064,41,4
02056,231,1171,34,9
02057,353,1708,57,4
02058,107,462,18,12
02059,159,350,16,1
02060,310,793,21,11
02061,180,635,13,6
02062,110,394,8,3
02063,522,1292,34,10
02064,87,306,3,8
02065,155,404,15,14
02066,83,282,6,8
02067,153,1489,53,18
02068,121,392,13,3
02069,3212,7928,380,14
02070,129,585,16,7
02071,174,730,11,15
02072,380,1134,30,13
02073,971,3235,88,76
02074,1461,5072,232,97
02075,290,1108,29,0
02076,119,387,10,1
02077,31,100,4,0
02078,155,707,12,7
02079,684,1832,59,17
02080,87,506,15,2
02081,4700,12732,477,108
02082,84,222,12,0
02083,84,217,9,7
02084,201,413,6,2
02085,79,367,16,1
02086,2348,2550,153,11
02901,392,1341,38,16
03001,131,541,21,2
03002,839,2598,186,15
03003,116,545,13,1
03004,105,924,15,1
03005,2609,6280,556,5
03006,110,961,17,9
03007,32,212,3,1
03008,36,203,5,1
03009,19513,31151,2552,19
03010,52,301,8,2
03011,4155,11735,2166,84
03012,607,3848,159,54
03013,424,778,21,2
03014,76221,180865,21541,2309
03015,3884,9580,1011,34
03016,53,112,4,2
03017,57,262,7,1
03018,9464,14682,1143,15
03019,2851,8770,663,75
03020,43,112,5,0
03021,2184,4305,329,1
03022,45,163,6,0
03023,407,1239,48,3
03024,764,2507,196,2
03025,259,1108,25,0
03026,382,1204,53,6
03027,23,171,2,1
03028,95,701,15,1
03029,70,310,5,2
03030,198,817,18,1
03031,23162,59972,5535,201
03032,34,128,2,0
03033,16,161,4,1
03034,320,1966,146,2
03035,145,545,13,1
03036,14,60,2,2
03037,149,443,17,1
03038,71,350,11,2
03039,31,89,4,0
03040,52,247,5,0
03041,3118,9080,440,41
03042,551,5285,102,24
03043,1082,2274,326,14
03044,1411,3042,159,3
03045,29,221,5,1
03046,98,2083,29,9
03047,10799,25021,2392,1091
03048,1591,3346,370,11
03049,3056,8786,742,5
03050,15069,24981,1547,8
03051,77,296,11,4
03052,233,657,27,2
03053,2420,7419,389,8
03054,133,485,6,1
03055,1080,4117,238,88
03056,2609,6551,453,3
03057,57,407,10,0
03058,823,3194,138,8
03059,5879,14474,1228,12
03060,48,127,3,0
03061,328,1329,42,3
03062,15,446,23,1
03063,11535,44214,1999,1085
03064,828,3062,213,8
03065,54236,109811,13465,285
03066,6609,29669,3649,32
03067,24,110,4,1
03068,9,81,2,0
03069,2278,5892,332,111
03070,1124,3499,158,18
03071,741,3490,152,9
03072,77,420,10,1
03073,80,186,5,0
03074,129,1070,19,9
03075,32,250,38,1
03076,11147,23476,1327,166
03077,642,2071,32,5
03078,136,992,17,5
03079,7680,11519,750,3
03080,676,1284,67,5
03081,611,1997,146,0
03082,7020,24128,1499,48
03083,2906,4906,228,33
03084,104,464,9,2
03085,96,624,11,1
03086,40,170,4,0
03088,877,4559,203,0
03089,1957,7845,376,9
03090,3800,11578,893,157
03091,35,425,4,2
03092,2210,4780,358,7
03093,4897,13316,907,7
03094,1989,8614,606,24
03095,1378,3563,304,2
03096,1445,3647,288,6
03097,296,1621,38,3
03098,130,666,15,5
03099,17694,77803,4352,236
03100,94,727,12,1
03101,1533,4676,259,13
03102,2406,6564,303,19
03103,149,321,10,1
03104,5173,16093,1337,42
03105,1658,4668,208,5
03106,180,581,16,2
03107,1233,2864,160,13
