Codigo Municipio,Superficie (Ha) Agricolas,Nº Explotaciones Agrícolas
48091,744.1199999999994,121.0
46003,300.4,49.0
12001,2598.0399999999995,361.0
48070,686.9299999999994,125.0
31058,2263.6499999999996,23.0
26020,3493.4500000000003,178.0
42028,1724.8199999999997,22.0
09030,3266.0199999999995,44.0
34018,3286.300000000001,28.0
34019,2529.1599999999994,55.0
26021,4627.750000000001,381.0
19045,1212.25,59.0
05017,1188.2200000000003,31.0
05018,387.13,6.0
25037,4158.88,214.0
09032,3141.269999999999,37.0
08011,1890.57,122.0
05019,15516.780000000004,234.0
33004,365.57,63.0
08012,2433.2799999999997,63.0
17012,513.87,27.0
08013,1774.5900000000001,121.0
32004,1755.9,128.0
01010,6408.779999999997,481.0
21010,2753.0300000000007,78.0
31041,865.3,23.0
22039,4270.740000000001,129.0
40024,12567.839999999997,142.0
02011,3352.4299999999994,166.0
12017,25.81,7.0
49018,4556.72,70.0
46044,18794.199999999986,552.0
34020,1914.59,13.0
31042,2768.1499999999996,193.0
44031,6393.789999999999,45.0
22040,2676.2700000000004,76.0
22041,962.6499999999997,53.0
20017,2109.479999999994,304.0
22042,1065.37,59.0
41012,20361.81,420.0
41013,8616.820000000002,154.0
26022,883.71,75.0
20018,2880.7699999999954,413.0
06014,41200.13,818.0
50039,11525.230000000001,158.0
12018,391.9899999999998,119.0
31043,620.79,21.0
19046,717.1399999999999,34.0
45017,1900.61,63.0
01049,1212.0,20.0
40018,844.76,27.0
50030,417.44999999999993,36.0
14006,6714.360000000001,256.0
31018,2211.77,89.0
45014,2324.8999999999996,97.0
37030,1742.1500000000003,43.0
37038,1841.66,71.0
04019,485.15000000000003,49.0
06015,118477.49000000014,1613.0
08015,60.16999999999999,14.0
26023,1795.6899999999998,113.0
44032,471.84,11.0
08904,18.94,2.0
41014,4014.57,326.0
50040,1053.7799999999997,32.0
22043,1872.29,69.0
14007,31091.589999999982,1903.0
23009,15253.060000000001,1610.0
08016,379.22999999999996,12.0
44033,1262.87,186.0
50041,2818.92,13.0
47012,1601.4000000000003,60.0
09033,1804.0899999999997,33.0
19047,1849.9899999999998,9.0
23010,9148.949999999999,963.0
22044,12930.189999999999,109.0
36003,570.8,73.0
25039,5458.4800000000005,60.0
31044,1012.64,12.0
48012,693.51,114.0
25040,5286.550000000004,220.0
02012,5304.839999999999,102.0
09034,4386.55,60.0
24009,2891.9299999999994,104.0
50042,1350.4799999999996,22.0
22045,916.8499999999999,72.0
27004,6012.61000000001,504.0
08017,763.9599999999999,49.0
20904,177.78,21.0
02014,10757.559999999998,97.0
13022,2248.350000000001,61.0
22046,9833.850000000002,179.0
48090,237.35,74.0
03020,311.96999999999997,69.0
02013,2624.5699999999993,64.0
08018,1150.9399999999998,52.0
34022,10831.879999999997,293.0
32005,1944.8699999999976,264.0
22047,324.7,7.0
32006,2194.6799999999994,291.0
07007,540.5999999999999,12.0
03021,1501.6299999999997,288.0
43020,498.53000000000014,67.0
17015,503.87999999999994,32.0
34024,2658.28,18.0
16027,11561.05,177.0
48013,846.7699999999995,110.0
27901,7900.140000000006,855.0
42029,6327.610000000001,77.0
31045,1461.5600000000002,36.0
