Codigo Municipio,Nº edificios,Nº Inmuebles
09011,424.0,459.0
39001,1395.0,1964.0
09907,840.0,985.0
09012,149.0,151.0
41007,4303.0,6665.0
24002,221.0,279.0
07004,2444.0,2827.0
41008,580.0,772.0
11003,628.0,731.0
19016,83.0,87.0
46028,413.0,504.0
18012,1538.0,1856.0
16013,72.0,77.0
29005,1692.0,5511.0
29006,534.0,626.0
11004,22529.0,55854.0
46029,5283.0,14813.0
25015,254.0,287.0
28009,3764.0,7960.0
46030,685.0,801.0
12008,416.0,513.0
46031,4562.0,7742.0
11005,2997.0,3525.0
49006,128.0,130.0
19017,100.0,102.0
03012,1716.0,2568.0
25016,992.0,1522.0
30007,3115.0,4354.0
03013,870.0,975.0
04010,346.0,417.0
04011,1260.0,2103.0
50020,569.0,874.0
18013,2306.0,3371.0
30008,7190.0,14128.0
13010,756.0,898.0
29007,10280.0,14719.0
29008,7027.0,11304.0
18014,2609.0,4643.0
19018,293.0,304.0
10017,1445.0,1491.0
44017,526.0,650.0
16014,617.0,663.0
03014,23031.0,200448.0
04012,140.0,167.0
18015,326.0,349.0
24003,703.0,762.0
25017,222.0,308.0
43010,221.0,233.0
19019,54.0,54.0
10018,1281.0,1609.0
42016,40.0,40.0
21002,6393.0,8728.0
06009,172.0,173.0
20006,114.0,163.0
33001,1519.0,1776.0
32001,4313.0,6175.0
44021,208.0,221.0
33002,4225.0,8792.0
31011,440.0,496.0
31012,549.0,715.0
44022,602.0,740.0
44023,61.0,61.0
25019,1534.0,3338.0
29009,976.0,1040.0
13011,2592.0,4413.0
41009,1043.0,1152.0
13012,329.0,451.0
19020,63.0,68.0
13013,3230.0,4945.0
42017,172.0,174.0
42018,307.0,318.0
02009,3823.0,12074.0
24004,549.0,601.0
10019,581.0,702.0
49007,346.0,378.0
16015,409.0,450.0
29010,959.0,1070.0
42019,617.0,678.0
26012,48.0,50.0
46032,1002.0,3568.0
25020,299.0,329.0
42020,1440.0,4020.0
12009,7237.0,15697.0
42021,189.0,193.0
12010,293.0,337.0
13014,412.0,423.0
14004,1079.0,1262.0
18016,333.0,336.0
49008,458.0,476.0
25021,1229.0,1967.0
42022,341.0,365.0
12011,2285.0,5373.0
47008,29.0,29.0
37027,256.0,262.0
37028,192.0,201.0
06010,755.0,812.0
45011,435.0,488.0
06011,7337.0,16884.0
21003,584.0,619.0
