Codigo Municipio,Nº de Jubilados,Nº de Estudiantes
03047,7090,3630
42048,35,*
37069,235,140
37070,125,90
07011,6940,9440
32016,605,75
37071,30,15
13027,1210,700
37072,60,25
34042,90,50
45030,145,65
37073,145,85
24031,105,15
10040,200,65
06027,235,180
49032,210,15
39015,340,120
44053,60,15
25062,250,85
45031,590,730
44054,35,10
45032,105,100
39016,5510,6305
44055,45,*
15016,1745,840
43903,760,690
28032,730,1650
49033,275,125
41021,4565,4805
36006,3265,2655
23018,755,500
15017,3785,4340
43038,5030,6990
10041,335,150
44056,245,75
17035,170,115
41022,1090,1020
06028,1405,970
07012,585,445
47030,385,175
24032,70,10
17036,1040,550
17037,30,20
03050,5685,4985
01017,290,160
16042,465,230
50071,45,5
09065,75,10
23019,465,405
37074,75,10
10042,35,*
19059,40,*
45033,165,35
06029,310,220
19060,35,20
21018,470,300
47031,105,20
29032,1670,1880
16043,40,25
16044,25,5
08039,75,100
19061,25,*
17038,65,135
22074,85,55
13028,2730,2830
03051,105,65
37077,95,20
40039,90,55
24033,120,*
36007,760,215
10043,250,120
28033,580,1195
21019,170,145
09066,30,5
24034,940,675
39027,950,560
39017,220,95
47032,55,15
22075,75,10
46080,340,225
07013,2220,1715
16901,360,100
30014,505,400
18038,355,235
17039,565,375
26037,65,15
45034,510,325
22076,140,65
47033,80,40
16045,125,40
05046,25,*
26038,30,*
46081,2895,2305
33010,810,195
22077,150,25
38011,3655,4970
37078,320,105
05047,1390,740
42049,55,10
24036,140,20
25063,*,*
23020,515,410
28034,145,65
17040,125,85
08040,2700,2750
46082,820,1135
12036,320,100
22078,85,90
36008,5880,4585
33012,1790,990
33011,4740,1885
09067,180,35
18039,1185,765
37079,30,*
29033,705,235
29034,370,130
47034,35,*
26039,15,*
04030,450,180
43907,1115,1200
08041,2360,3015
08042,525,585
19064,55,*
09068,15,*
37080,80,45
37081,370,95
40040,780,680
17041,85,50
19065,50,15
37082,320,120
37083,70,25
44059,180,135
41023,1755,2220
40041,370,250
05048,65,15
04031,1220,555
08043,640,950
03052,270,240
44060,20,*
13029,55,10
44061,30,25
16046,120,25
16047,110,45
41901,660,635
44062,25,*
42050,15,*
16048,130,65
10044,525,265
18040,90,85
26040,40,10
16049,70,20
10045,430,110
21020,120,60
16050,125,45
16051,70,20
16052,215,145
14014,795,535
29035,420,255
36009,1660,750
49034,200,45
19066,30,*
44063,20,*
