COD_INE;ID_REL;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25_ETRS89;LONGITUD_ETRS89;LATITUD_ETRS89;ORIGENCOOR;ALTITUD;ORIGENALTITUD
2017000000;1020175;2160;2;Albacete;Bogarra;768;16601,4619;77106;2017000201;Bogarra;561;0841-4;-2,21253636;38,58025427;Mapa;844;MDT
2018000000;1020181;2170;2;Albacete;Bonete;1031;12505,526;55720;2018000101;Bonete;1025;0792-4;-1,34830324;38,86950589;Mapa;886;MDT
2019000000;1020194;2180;2;Albacete;El Bonillo;2718;50286,73;154516;2019000101;El Bonillo;2689;0788-2;-2,54023691;38,95012362;Mapa;1062;MDT
2020000000;1020208;2190;2;Albacete;Carcelén;496;7536,3731;38287;2020000101;Carcelén;456;0767-2;-1,30876708;39,10231176;Mapa;911;MDT
2021000000;1020215;2200;2;Albacete;Casas de Juan Núñez;1361;8898,2779;42030;2021000101;Casas de Juan Núñez;1344;0766-2;-1,55799035;39,10160749;Mapa;704;MDT
2022000000;1020220;2210;2;Albacete;Casas de Lázaro;328;11231,6773;70760;2022000201;Casas de Lázaro;238;0815-2;-2,23922378;38,7705758;Mapa;942;MDT
2023000000;1020236;2220;2;Albacete;Casas de Ves;564;12540,85;69475;2023000101;Casas de Ves;564;0744-2;-1,33454992;39,25946122;Mapa;707;MDT
2024000000;1020241;2230;2;Albacete;Casas-Ibáñez;4540;10325,14;56102;2024000101;Casas-Ibáñez;4530;0744-1;-1,47129143;39,28701686;Mapa;708;MDT
2025000000;1020254;2240;2;Albacete;Caudete;10077;14163,49;49586;2025000101;Caudete;9504;0819-4;-0,9886912;38,70573009;Mapa;554;MDT
2026000000;1020267;2250;2;Albacete;Cenizate;1186;6326,0153;35204;2026000101;Cenizate;1186;0743-2;-1,66113349;39,30332101;Mapa;706;MDT
2027000000;1020273;2260;2;Albacete;Corral-Rubio;306;9475,5686;42347;2027000101;Corral-Rubio;272;0792-3;-1,4608525;38,83500072;Mapa;870;MDT
2028000000;1020289;2270;2;Albacete;Cotillas;134;1446,9288;15802;2028000201;Cotillas;97;0866-1;-2,50574545;38,43135915;Mapa;947;MDT
2029000000;1020292;2280;2;Albacete;Chinchilla de Monte-Aragón;4344;67927,33;163946;2029000201;Chinchilla de Monte-Aragón;3159;0791-1;-1,72602643;38,9210968;Mapa;907;MDT
2030000000;1020306;2290;2;Albacete;Elche de la Sierra;3557;23949,4125;84011;2030000101;Elche de la Sierra;3185;0867-1;-2,04781376;38,44790893;Mapa;630;MDT
2031000000;1020313;2300;2;Albacete;Férez;628;12614,1544;56948;2031000101;Férez;596;0867-4;-2,00953934;38,35567013;Mapa;682;MDT
2032000000;1020328;2310;2;Albacete;Fuensanta;280;2395,6454;26368;2032000101;Fuensanta;277;0742-3;-2,06725219;39,24466001;Mapa;693;MDT
2033000000;1020334;2320;2;Albacete;Fuente-Álamo;2447;13337,12;45590;2033000101;Fuente-Álamo;2386;0818-3;-1,43170411;38,69314229;Mapa;820;MDT
2034000000;1020349;2330;2;Albacete;Fuentealbilla;1836;10829,379;64740;2034000301;Fuentealbilla;1646;0743-2;-1,54879364;39,26773579;Mapa;670;MDT
2035000000;1020352;2340;2;Albacete;La Gineta;2554;13676,47;50035;2035000101;La Gineta;2316;0765-2;-1,99784496;39,11387916;Mapa;691;MDT
2036000000;1020365;2350;2;Albacete;Golosalvo;99;2817,6676;24505;2036000101;Golosalvo;99;0743-4;-1,63626863;39,23996013;Mapa;740;MDT
2037000000;1020371;2360;2;Albacete;Hellín;30427;78165,72;152389;2037000501;Hellín;25244;0843-3;-1,70344921;38,51218953;Mapa;570;MDT
2038000000;1020387;2370;2;Albacete;La Herrera;311;6342,58;42320;2038000201;La Herrera;263;0790-1;-2,12637236;38,9621774;Mapa;714;MDT
2039000000;1020390;2380;2;Albacete;Higueruela;1144;20545,4904;86388;2039000301;Higueruela;1117;0792-1;-1,44535609;38,96455026;Mapa;1041;MDT
2040000000;1020404;2390;2;Albacete;Hoya-Gonzalo;598;11457,4972;48066;2040000101;Hoya-Gonzalo;594;0791-2;-1,55687053;38,95787352;Mapa;929;MDT
2041000000;1020411;2400;2;Albacete;Jorquera;363;6797,0751;57182;2041000401;Jorquera;290;0744-3,0743-4;-1,52061391;39,17457441;Mapa;624;MDT
2042000000;1020426;2410;2;Albacete;Letur;909;26440,16;81881;2042000302;Letur;272;0867-3;-2,10096881;38,36632081;Mapa;735;MDT
2043000000;1020432;2420;2;Albacete;Lezuza;1322;36090,3503;86191;2043000101;Lezuza;822;0789-1,0789-2;-2,35387427;38,94878996;Mapa;913;MDT
2044000000;1020447;2430;2;Albacete;Liétor;1123;31178,91;78803;2044000501;Liétor;1050;0842-4;-1,95479319;38,54083745;Mapa;641;MDT
2045000000;1020450;2440;2;Albacete;Madrigueras;4654;7334,55;35851;2045000101;Madrigueras;4635;0743-3;-1,7997012;39,23680339;Mapa;688;MDT
2046000000;1020463;2450;2;Albacete;Mahora;1380;10814,91;48081;2046000101;Mahora;1354;0743-3;-1,72481837;39,21303088;Mapa;663;MDT
2047000000;1020479;2460;2;Albacete;Masegoso;105;10387,0257;42914;2047000301;Masegoso;42;0815-4;-2,31511768;38,71877813;Mapa;1108;MDT
2048000000;1020485;2470;2;Albacete;Minaya;1483;6978,26;44129;2048000101;Minaya;1469;0741-2;-2,31961973;39,27118701;Mapa;723;MDT
2049000000;1020498;2480;2;Albacete;Molinicos;829;14358,8298;71840;2049001101;Molinicos;432;0866-2;-2,23898151;38,46778179;Mapa;851;MDT
2050000000;1020501;2490;2;Albacete;Montalvos;86;2477,9315;23450;2050000101;Montalvos;84;0765-1;-2,02769341;39,16721439;Mapa;709;MDT
2051000000;1020518;2500;2;Albacete;Montealegre del Castillo;2038;17785,4;54704;2051000101;Montealegre del Castillo;2014;0818-2;-1,32487672;38,78717469;Mapa;810;MDT
2052000000;1020523;2510;2;Albacete;Motilleja;605;2382,44;24700;2052000101;Motilleja;605;0743-3;-1,79025762;39,17948885;Mapa;676;MDT
2053000000;1020539;2520;2;Albacete;Munera;3433;22968,99;58597;2053000101;Munera;3424;0764-3;-2,4830388;39,03954575;Mapa;929;MDT
2054000000;1020544;2530;2;Albacete;Navas de Jorquera;536;4225,9722;26041;2054000101;Navas de Jorquera;536;0743-1;-1,7189485;39,28099513;Mapa;708;MDT
2055000000;1020557;2540;2;Albacete;Nerpio;1197;43674,2;100376;2055000901;Nerpio;698;0909-2;-2,30224029;38,14824043;Mapa;1085;MDT
2056000000;1020560;2550;2;Albacete;Ontur;1963;5440,9;30491;2056000101;Ontur;1963;0844-1;-1,49888166;38,61472661;Mapa;653;MDT
2057000000;1020576;2560;2;Albacete;Ossa de Montiel;2241;24370,76;69230;2057000201;Ossa de Montiel;2151;0788-1;-2,74272664;38,96201035;Mapa;898;MDT
2058000000;1020582;2570;2;Albacete;Paterna del Madera;323;11233,8382;53946;2058000601;Paterna del Madera;265;0841-2;-2,34555766;38,59729435;Mapa;1126;MDT
2059000000;1020595;2590;2;Albacete;Peñascosa;320;18925,8047;106221;2059000501;Peñascosa;189;0815-3;-2,41040499;38,67153536;Mapa;1169;MDT
2060000000;1020609;2580;2;Albacete;Peñas de San Pedro;1410;15876,06;73331;2060000701;Peñas de San Pedro;1035;0816-4;-2,00212787;38,72688881;Mapa;1010;MDT
2061000000;1020616;2600;2;Albacete;Pétrola;676;7460,7346;40804;2061000201;Pétrola;551;0817-2;-1,55549981;38,82629814;Mapa;870;MDT
2062000000;1020621;2610;2;Albacete;Povedilla;401;4942,7325;35557;2062000101;Povedilla;387;0814-4;-2,60393627;38,70163971;Mapa;872;MDT
2063000000;1020637;2630;2;Albacete;Pozohondo;1584;13648,62;49358;2063000501;Pozohondo;1011;0816-4;-1,91133356;38,721122;Mapa;871;MDT
2064000000;1020642;2620;2;Albacete;Pozo-Lorente;394;8095,5291;36474;2064000101;Pozo-Lorente;392;0767-3;-1,50647855;39,07663024;Mapa;769;MDT
