Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
04019;Bacares;155;0;59;1;0;95;0;43;0;7;105
04020;Bayárcal;95;0;56;0;0;39;0;22;0;15;58
04021;Bayarque;55;1;25;0;0;29;0;11;1;15;28
04022;Bédar;75;1;38;0;0;36;0;4;1;5;65
04023;Beires;22;0;10;0;0;12;0;5;0;1;16
04024;Benahadux;650;13;297;12;6;301;21;38;54;116;442
04026;Benitagla;14;0;7;0;0;7;0;8;0;1;5
04027;Benizalón;90;1;49;0;0;40;0;28;3;13;46
04028;Bentarique;102;0;58;1;1;42;0;48;0;5;49
04029;Berja;3373;32;1783;58;19;1440;41;1424;118;360;1471
04030;Canjáyar;296;2;156;1;4;131;2;75;14;24;183
04031;Cantoria;1276;43;967;68;19;165;14;99;188;98;891
04032;Carboneras;2005;41;1433;36;18;461;16;56;138;342;1469
04033;Castro de Filabres;42;1;15;0;0;26;0;25;0;0;17
04034;Cóbdar;33;0;20;1;0;12;0;13;1;3;16
04035;Cuevas del Almanzora;7706;88;5687;67;34;1808;22;5381;75;441;1809
04036;Chercos;76;0;31;0;1;44;0;20;3;10;43
04037;Chirivel;369;1;191;2;1;174;0;119;8;55;187
04038;Dalías;669;10;400;7;12;234;6;266;24;166;213
04041;Enix;149;0;74;0;0;75;0;23;0;12;114
04043;Felix;114;0;61;0;0;53;0;36;3;14;61
04044;Fines;338;7;234;7;3;84;3;14;92;94;138
04045;Fiñana;350;0;169;2;3;176;0;179;22;21;128
04046;Fondón;207;0;90;2;5;97;13;48;29;14;116
04047;Gádor;742;14;455;3;8;261;1;129;125;61;427
04048;Gallardos, Los;697;28;472;14;16;154;13;187;5;220;285
04049;Garrucha;1285;27;622;15;14;592;15;33;48;132;1072
04050;Gérgal;442;2;246;6;2;184;2;323;4;21;94
04051;Huécija;89;1;54;0;0;34;0;39;0;5;45
04052;Huércal de Almería;3229;78;1854;115;37;1059;86;38;261;414;2516
04053;Huércal-Overa;4017;208;2331;75;60;1308;35;1187;183;253;2394
04054;Illar;239;0;102;0;0;137;0;88;0;1;150
04055;Instinción;103;1;68;0;1;33;0;17;5;7;74
04056;Laroya;27;0;6;0;0;21;0;12;0;1;14
04057;Láujar de Andarax;359;2;168;4;3;178;4;38;21;68;232
04058;Líjar;71;0;30;1;0;40;0;15;10;8;38
04059;Lubrín;278;2;140;5;4;125;2;91;8;39;140
04060;Lucainena de las Torres;475;3;272;2;9;189;0;227;106;4;138
04061;Lúcar;220;0;118;0;0;102;0;144;4;6;66
04062;Macael;846;26;515;8;14;276;7;15;400;51;380
04063;María;311;0;162;2;0;146;1;121;13;29;148
04064;Mojácar;5582;31;2407;22;50;3035;37;3;22;125;5432
04065;Nacimiento;105;1;51;1;0;50;2;49;16;5;35
04066;Níjar;13174;128;7209;68;162;5538;69;6883;170;566;5555
04067;Ohanes;141;2;76;2;0;60;1;36;3;5;97
04068;Olula de Castro;33;0;13;0;0;20;0;5;0;3;25
04069;Olula del Río;648;18;316;20;17;263;14;19;84;108;437
04070;Oria;430;9;208;3;2;204;4;129;12;35;254
04071;Padules;91;3;54;0;0;34;0;31;2;10;48
04072;Partaloa;90;1;55;0;0;34;0;34;2;5;49
04073;Paterna del Río;52;0;27;0;0;25;0;27;0;7;18
04074;Pechina;736;10;328;6;9;368;15;284;19;42;391
04075;Pulpí;8462;75;5959;53;38;2311;26;4985;132;257;3088
04076;Purchena;286;6;148;7;4;119;2;59;45;42;140
04077;Rágol;166;0;58;0;0;108;0;55;0;3;108
04078;Rioja;203;7;109;7;2;76;2;50;9;29;115
04079;Roquetas de Mar;19272;286;9822;164;269;8503;228;3869;357;1949;13097
04080;Santa Cruz de Marchena;39;0;20;0;0;19;0;20;0;2;17
04081;Santa Fe de Mondújar;69;0;31;1;1;36;0;45;0;0;24
04082;Senés;100;0;42;0;0;58;0;27;0;22;51
04083;Serón;416;27;203;2;3;176;5;99;21;53;243
04084;Sierro;51;0;20;0;1;30;0;14;0;10;27
04085;Somontín;122;1;59;0;0;62;0;64;0;6;52
04086;Sorbas;986;15;607;6;6;350;2;370;53;242;321
04087;Suflí;48;0;23;0;0;23;2;7;5;10;26
04088;Tabernas;1171;9;737;5;4;412;4;475;29;134;533
04089;Taberno;166;1;65;0;1;99;0;54;1;10;101
04090;Tahal;169;2;82;0;0;85;0;114;2;12;41
04091;Terque;116;1;66;0;3;46;0;25;1;24;66
04092;Tíjola;821;11;464;10;3;329;4;312;41;83;385
04093;Turre;329;8;192;2;5;115;7;49;18;74;188
04094;Turrillas;52;0;15;0;0;37;0;30;0;1;21
04095;Uleila del Campo;290;6;146;1;4;131;2;166;12;17;95
04096;Urrácal;177;0;98;0;0;79;0;127;2;0;48
04097;Velefique;38;0;24;0;0;14;0;6;0;14;18
04098;Vélez-Blanco;247;0;139;2;0;106;0;72;2;43;130
04099;Vélez-Rubio;1062;22;487;19;19;486;29;214;90;175;583
04100;Vera;4496;124;2376;62;81;1815;38;559;51;466;3420
04101;Viator;2884;58;1425;89;26;1226;60;137;183;411;2153
04102;Vícar;9640;135;5102;81;112;4156;54;3088;242;676;5634
04103;Zurgena;365;2;162;5;3;187;6;79;3;69;214
04901;Tres Villas, Las;195;0;78;0;0;117;0;108;19;3;65
04902;Ejido, El;45784;427;22612;467;385;21452;441;16128;1164;2227;26265
04903;Mojonera, La;3976;37;2294;21;31;1568;25;2129;354;189;1304
05001;Adanero;185;4;119;5;1;55;1;41;43;13;88
05002;Adrada, La;309;3;173;4;5;116;8;2;15;77;215
05005;Albornos;11;0;8;0;0;3;0;1;0;5;5
05007;Aldeanueva de Santa Cruz;7;0;6;0;0;1;0;0;0;3;4
05008;Aldeaseca;18;0;6;0;0;11;1;1;0;9;8
05010;Aldehuela, La;13;1;10;0;0;2;0;0;0;5;8
05012;Amavida;11;0;3;0;0;8;0;4;0;1;6
05013;Arenal, El;246;14;141;1;10;80;0;46;0;12;188
05014;Arenas de San Pedro;865;23;393;21;26;380;22;39;62;138;626
05015;Arevalillo;10;0;6;0;0;4;0;0;0;8;2
05016;Arévalo;4268;71;1577;39;76;2485;20;180;141;93;3854
05017;Aveinte;5;1;3;1;0;0;0;0;0;3;2
05018;Avellaneda;3;0;2;0;0;1;0;0;0;0;3
05019;Ávila;15481;354;6483;297;349;7745;253;299;459;1140;13583
05021;Barco de Ávila, El;473;12;168;6;13;269;5;0;19;39;415
05022;Barraco, El;191;17;90;15;5;62;2;7;10;24;150
05023;Barromán;30;0;16;0;0;14;0;17;0;9;4
05024;Becedas;13;1;7;1;0;4;0;2;3;3;5
05025;Becedillas;2;0;1;0;0;1;0;0;0;0;2
05026;Bercial de Zapardiel;23;0;6;0;0;17;0;2;0;21;0
05027;Berlanas, Las;24;2;8;2;1;9;2;4;1;5;14
05029;Bernuy-Zapardiel;12;1;5;0;1;5;0;1;1;6;4
05030;Berrocalejo de Aragona;10;2;7;0;0;1;0;0;0;0;10
05033;Blascomillán;8;0;7;0;0;1;0;1;0;5;2
