Codigo Municipio,Total Contratos,Contratos Hombres,Contratos Mujeres
05049,32,21,11
05051,6,4,2
05052,15,10,5
05053,9,9,0
05054,230,163,67
05055,86,63,23
05056,13,10,3
05057,372,175,197
05058,12,10,2
05059,12,6,6
05060,12,6,6
05061,52,45,7
05062,4,3,1
05063,1,1,0
05064,15,12,3
05065,64,47,17
05066,73,59,14
05067,5,2,3
05069,6,5,1
05070,19,12,7
05072,22,11,11
05073,22,16,6
05074,86,46,40
05075,22,10,12
05076,55,30,25
05077,10,6,4
05078,15,10,5
05079,3,3,0
05080,1,1,0
05081,2,2,0
05082,59,37,22
05083,6,3,3
05084,2,1,1
05085,2,2,0
05086,8,7,1
05087,21,5,16
05088,0,0,0
05089,80,44,36
05090,7,5,2
05092,11,8,3
05093,35,24,11
05094,5,2,3
05095,20,14,6
05096,7,6,1
05097,26,17,9
05099,77,55,22
05100,60,28,32
05101,135,92,43
05102,230,136,94
05103,9,3,6
05104,6,5,1
05105,117,52,65
05106,0,0,0
05107,0,0,0
05108,3,3,0
05109,100,74,26
05110,119,81,38
05112,12,6,6
05113,25,21,4
05114,254,172,82
05115,79,55,24
05116,6,4,2
05117,25,12,13
05118,2,1,1
05119,0,0,0
05120,11,9,2
05121,113,31,82
05122,16,9,7
05123,564,376,188
05124,8,6,2
05125,0,0,0
05126,2,1,1
05127,87,65,22
05128,39,18,21
05129,10,5,5
05130,7,3,4
05131,5,2,3
05132,279,132,147
05133,9,8,1
05134,6,3,3
05135,62,44,18
05136,11,5,6
05138,23,17,6
05139,4,3,1
05140,8,5,3
05141,5,5,0
05142,7,5,2
05143,5,5,0
05144,4,2,2
05145,2,2,0
05147,8,3,5
05148,2,2,0
05149,11,10,1
05151,14,11,3
05152,1019,375,644
05153,1,1,0
05154,23,21,2
05155,2,2,0
05156,45,15,30
05157,17,7,10
05158,39,27,12
05159,10,6,4
05160,22,16,6
05161,53,33,20
05162,4,4,0
05163,219,110,109
05164,23,20,3
05165,476,200,276
05166,15,8,7
05167,34,26,8
05168,538,275,263
05169,15,6,9
05170,7,6,1
05171,3,3,0
05172,437,281,156
05173,5,4,1
05174,12,8,4
05175,125,102,23
05176,14,5,9
05177,51,18,33
05178,36,26,10
05179,23,10,13
05180,3,3,0
05181,4,4,0
05182,108,68,40
05183,12,6,6
05184,113,61,52
05185,11,7,4
05186,288,118,170
05187,290,127,163
05188,1,1,0
05189,79,42,37
05190,8,6,2
05191,162,100,62
05192,1,0,1
05193,20,15,5
05194,15,10,5
05195,47,32,15
05196,10,8,2
05197,11,8,3
05198,25,22,3
05199,1,0,1
05200,33,23,10
05201,33,26,7
05204,91,70,21
05205,7,6,1
05206,4,2,2
05207,57,44,13
05208,3,3,0
05209,3,2,1
05210,31,23,8
05211,33,27,6
05212,22,20,2
05213,73,54,19
05214,7,6,1
05215,74,58,16
05216,61,48,13
05217,222,66,156
05218,11,10,1
05219,1,1,0
05220,214,176,38
05221,42,25,17
05222,10,6,4
05224,21,17,4
05225,39,18,21
05226,2,2,0
05227,104,80,24
05228,9,7,2
05229,39,20,19
05230,7,5,2
05231,38,25,13
05232,20,15,5
05233,12,9,3
05234,3,0,3
05235,17,12,5
05236,6,5,1
05237,9,4,5
05238,400,223,177
05239,48,32,16
05240,508,252,256
05241,491,260,231
05242,102,39,63
05243,5,3,2
05244,0,0,0
05245,52,31,21
05246,4,4,0
05247,14,10,4
05249,5,3,2
05251,4,4,0
05252,8,6,2
05253,15,13,2
05254,16,9,7
05256,3,2,1
05257,7,5,2
05258,2,0,2
05259,9,7,2
05260,2,2,0
05261,4,3,1
05262,20,17,3
05263,7,5,2
05264,3,2,1
05265,6,4,2
05266,12,9,3
05267,6,4,2
05901,18,14,4
05902,90,84,6
05903,7,5,2
05904,7,5,2
05905,18,9,9
06001,423,174,249
