Codigo Municipio,Sin Estudios,Con Estudios
32002,665,1320
48003,3410,12045
48004,100,220
43906,715,2120
43014,4810,12730
34010,250,315
39002,870,2690
01002,1750,6975
34011,185,225
47009,30,57
44024,2,22
40017,30,85
37029,100,105
28012,180,785
13017,185,62
31014,55,255
49009,225,187
46038,115,260
20009,2775,9590
44025,1970,4975
31015,560,1780
07005,1825,7650
23005,11455,20630
50028,20,70
17008,1355,3245
25027,320,810
19031,2,4
26013,90,275
22027,130,175
26014,180,250
19032,105,80
09017,60,37
39003,90,217
50029,305,387
46039,730,1510
20010,325,1160
19033,55,27
19034,2,17
22028,40,330
31016,1445,6885
04016,805,1860
27003,1030,960
46040,500,775
29015,11755,22300
35003,1610,6940
24005,195,205
34012,110,215
22029,35,95
20011,365,1360
31017,65,285
01049,35,102
40018,60,27
50030,90,82
14006,525,795
31018,115,345
45014,1915,2535
37030,40,27
31019,460,1620
37031,165,225
21007,1775,4470
38004,1220,3295
22032,30,82
41011,7110,8600
40019,2,17
31020,150,315
48005,15,75
31025,185,605
20012,40,115
01003,250,980
31021,10,42
42024,30,47
09018,7000,20890
50031,65,107
50032,205,147
09019,90,62
16020,5,4
15003,1035,802
31023,465,5565
28013,10075,34215
31024,20,47
31022,205,345
48006,65,225
19036,135,217
12013,65,97
37032,140,405
31026,55,102
46041,155,210
09020,130,180
09021,30,27
09022,30,52
19037,50,100
25029,610,1520
19038,20,22
31027,195,680
36001,945,1720
43016,1145,3145
04017,1210,2715
43015,25,80
17009,1860,3545
16905,175,900
31028,50,150
37033,30,50
49010,55,270
30009,5360,9355
29016,165,182
29017,2575,4650
45015,225,445
37034,25,17
34015,15,12
40020,65,130
09023,90,940
42025,570,900
11006,10610,14520
49011,85,145
16022,60,22
44026,25,52
31029,450,590
29018,945,1235
50033,10,57
24006,205,340
48093,185,780
31030,60,110
22035,105,175
05013,445,445
13903,315,252
29019,545,600
39004,430,1205
13018,455,465
05014,1785,3980
18020,700,1050
42026,5,17
09024,60,102
44027,55,102
08006,2690,9375
08007,1550,5045
26015,100,110
26016,10,17
15004,1280,3820
12014,60,115
31031,70,142
