Codigo Municipio,Nº Hogares si Internet,Nº Hogares no Internet
31022,95,150
48006,65,75
19036,80,105
12013,15,95
37032,115,165
31026,20,70
46041,60,125
09020,25,130
09021,10,25
09022,10,35
19037,30,45
25029,455,500
19038,*,25
31027,190,190
36001,300,930
43016,1175,815
04017,1395,655
43015,15,35
17009,1330,1175
16905,345,165
31028,25,75
37033,15,25
49010,80,110
30009,2565,3890
29016,100,135
29017,1355,1880
45015,180,155
37034,*,40
34015,*,20
40020,25,95
09023,355,225
42025,245,475
11006,3875,6950
49011,40,65
16022,*,55
44026,15,35
31029,190,325
29018,370,710
50033,*,45
24006,55,210
48093,260,225
31030,25,60
22035,40,105
05013,150,290
13903,110,150
29019,160,340
39004,250,425
13018,115,305
05014,1065,1545
18020,215,550
42026,*,10
09024,20,55
44027,30,45
08006,3805,2190
08007,2015,1175
26015,30,80
26016,*,20
15004,1165,1085
12014,15,70
31031,45,55
20013,1575,1265
05015,*,50
40021,*,15
05016,1345,1650
42027,*,40
13019,1145,1505
13020,1170,1195
28014,12710,6215
24007,120,230
49012,10,40
22036,15,35
19039,*,35
17010,95,75
12015,*,50
08008,65,30
44028,10,75
43017,30,30
08009,2880,1220
45016,1350,715
39005,340,285
31032,410,505
22037,10,50
16024,15,40
49013,25,120
31033,*,15
07901,155,200
31034,10,15
38005,1320,1585
09025,20,55
44029,150,200
50034,205,265
23006,730,1460
23007,550,885
09026,55,145
19040,*,30
31035,*,30
17011,200,150
37035,25,115
18021,5390,2920
01006,65,30
40022,20,85
04018,35,110
19041,45,55
26017,105,110
26018,3000,2625
43018,55,145
32003,95,300
39006,400,445
21008,300,915
38006,19465,11955
49014,10,50
23008,210,590
49015,30,100
01037,135,190
16025,*,10
48009,205,160
20055,5020,3710
48914,55,85
01008,180,175
09027,*,30
35004,12470,7715
39007,40,175
25031,25,*
29020,645,790
48010,105,110
48011,2785,1935
13021,35,205
31036,180,275
47010,4465,1900
10021,840,1430
19042,*,20
06012,610,830
23905,325,690
10023,90,295
28015,6435,1380
10022,60,170
21009,90,310
31037,15,25
26019,110,105
25032,20,20
07006,1415,1505
31038,375,315
12016,330,450
31039,30,20
48023,155,135
15005,5925,6005
35005,95,430
08010,1415,680
25033,325,225
25034,700,715
50035,15,30
48008,130,180
01004,450,305
35006,8520,4455
15006,720,1550
43019,300,315
50036,*,55
25036,40,50
49016,45,80
01009,300,375
03019,2990,4465
20014,340,215
20903,1275,600
39008,4455,2775
24008,2010,2585
34017,135,280
49017,10,130
29021,15,65
06013,35,105
16026,5,60
37037,*,55
19043,*,40
09029,30,75
47011,90,165
18022,3630,2450
20015,370,265
28016,*,35
50037,15,60
50038,350,455
31040,55,40
19044,75,135
48091,285,250
46003,220,240
12001,180,410
48070,100,150
19045,10,85
31058,60,40
26020,155,190
42028,15,15
09030,5,60
34018,25,95
34019,15,45
26021,760,945
05017,10,35
05018,*,20
25037,85,105
09032,15,35
08011,515,350
05019,13635,9135
33004,19985,15820
08012,470,405
17012,385,100
08013,370,280
32004,205,810
01010,640,430
21010,3430,4515
31041,495,270
22039,215,265
40024,245,300
02011,25,335
12017,20,85
49018,25,145
46044,865,1230
34020,*,30
31042,735,585
44031,*,60
22040,35,40
22041,30,45
20017,2260,2175
22042,25,30
41012,725,680
41013,840,1325
26022,20,100
20018,3245,2170
06014,1365,1805
50039,45,240
12018,40,120
31043,*,20
19046,8645,3950
45017,45,75
37038,155,235
04019,20,85
06015,32960,23335
08015,50205,31590
26023,85,185
44032,*,*
08904,3030,2245
41014,355,830
50040,*,45
22043,10,55
14007,3155,4275
23009,2900,2795
08016,530,455
44033,35,125
50041,*,10
47012,*,70
09033,*,50
19047,*,40
23010,2775,3620
22044,45,80
36003,2060,2060
25039,70,80
31044,60,80
48012,610,545
25040,3500,2805
02012,295,535
09034,15,140
24009,15,140
50042,*,*
22045,15,35
27004,125,370
08017,830,560
20904,20,25
02014,70,115
13022,30,175
22046,165,185
48090,1550,1535
03020,30,35
