Codigo Municipio,Número de transacciones anuales 2011
06093,29.0
06094,7.0
06095,57.0
06096,2.0
06097,32.0
06098,2.0
06099,12.0
06100,8.0
06101,0.0
06102,8.0
06103,42.0
06104,1.0
06105,4.0
06106,3.0
06107,8.0
06108,9.0
06109,24.0
06110,3.0
06111,0.0
06112,5.0
06113,14.0
06114,0.0
06115,8.0
06116,12.0
06117,5.0
06118,3.0
06119,6.0
06120,23.0
06121,18.0
06122,46.0
06123,25.0
06124,8.0
06125,41.0
06126,5.0
06127,12.0
06128,38.0
06129,3.0
06130,1.0
06131,4.0
06132,9.0
06133,2.0
06134,2.0
06135,7.0
06136,6.0
06137,2.0
06138,4.0
06139,3.0
06140,4.0
06141,3.0
06142,3.0
06143,15.0
06144,6.0
06145,3.0
06146,4.0
06147,0.0
06148,22.0
06149,86.0
06150,6.0
06151,9.0
06152,2.0
06153,207.0
06154,15.0
06155,8.0
06156,7.0
06157,2.0
06158,101.0
06159,8.0
06160,19.0
06161,7.0
06162,9.0
06901,11.0
06902,6.0
06903,
07001,15.0
07002,82.0
07003,171.0
07004,11.0
07005,276.0
07006,53.0
07007,6.0
07008,19.0
07009,3.0
07010,20.0
07011,786.0
07012,14.0
07013,78.0
07014,175.0
07015,370.0
07016,8.0
07017,5.0
07018,13.0
07019,0.0
07020,14.0
07021,1.0
07022,148.0
07023,48.0
07024,101.0
07025,6.0
07026,454.0
07027,165.0
07028,4.0
07029,9.0
07030,5.0
07031,232.0
07032,165.0
07033,399.0
07034,11.0
07035,19.0
07036,156.0
07037,108.0
07038,4.0
07039,24.0
07040,2554.0
07041,3.0
07042,132.0
07043,9.0
07044,133.0
07045,6.0
07046,130.0
07047,4.0
07048,317.0
07049,12.0
07050,25.0
07051,112.0
07052,88.0
07053,7.0
07054,357.0
07055,70.0
07056,44.0
07057,189.0
07058,20.0
07059,32.0
07060,16.0
07061,77.0
07062,91.0
07063,12.0
07064,52.0
07065,27.0
07901,1.0
07902,14.0
08001,52.0
08002,0.0
08003,44.0
08004,4.0
08005,39.0
08006,139.0
08007,35.0
08008,0.0
08009,52.0
08010,28.0
08011,12.0
08012,4.0
08013,2.0
08014,11.0
08015,820.0
08016,16.0
08017,27.0
08018,24.0
08019,8222.0
08020,31.0
08021,0.0
08022,82.0
08023,31.0
08024,1.0
08025,16.0
08026,0.0
08027,3.0
08028,7.0
08029,18.0
08030,21.0
08031,40.0
08032,13.0
08033,83.0
08034,5.0
08035,171.0
08036,2.0
08037,6.0
08038,19.0
08039,1.0
08040,67.0
08041,50.0
08042,7.0
08043,18.0
08044,43.0
08045,0.0
08046,77.0
08047,9.0
08048,3.0
08049,1.0
08050,2.0
08051,121.0
08052,1.0
08053,20.0
08054,26.0
08055,2.0
08056,341.0
08057,0.0
08058,5.0
08059,1.0
08060,0.0
08061,15.0
08062,1.0
08063,1.0
08064,12.0
08065,4.0
08066,3.0
08067,43.0
08068,23.0
08069,31.0
08070,2.0
08071,0.0
08072,50.0
08073,391.0
08074,147.0
08075,22.0
08076,91.0
08077,230.0
08078,0.0
08079,0.0
08080,0.0
08081,1.0
08082,9.0
08083,8.0
08084,7.0
08085,2.0
08086,69.0
08087,1.0
08088,90.0
08089,205.0
08090,2.0
08091,74.0
08092,14.0
08093,0.0
08094,7.0
08095,2.0
08096,440.0
08097,3.0
08098,4.0
08099,3.0
08100,3.0
08101,1203.0
08102,253.0
08103,1.0
08104,1.0
08105,32.0
08106,39.0
08107,88.0
08108,19.0
08109,1.0
08110,129.0
08111,0.0
08112,100.0
08113,383.0
08114,114.0
08115,8.0
08116,1.0
08117,12.0
08118,91.0
08119,31.0
08120,59.0
08121,679.0
08122,11.0
08123,99.0
08124,175.0
08125,172.0
08126,61.0
08127,12.0
08128,2.0
08129,1.0
08130,0.0
08131,0.0
08132,0.0
08133,0.0
08134,4.0
08135,12.0
08136,80.0
08137,0.0
08138,13.0
08139,1.0
08140,21.0
08141,24.0
08142,0.0
08143,17.0
08144,0.0
08145,16.0
08146,4.0
08147,100.0
08148,23.0
08149,2.0
08150,1.0
08151,0.0
08152,0.0
08153,4.0
08154,1.0
08155,70.0
08156,35.0
08157,65.0
08158,12.0
08159,98.0
08160,1.0
08161,76.0
08162,12.0
08163,148.0
08164,10.0
08165,9.0
08166,2.0
08167,33.0
08168,1.0
08169,219.0
08170,0.0
08171,7.0
08172,116.0
08174,2.0
08175,31.0
08176,3.0
08177,0.0
08178,0.0
08179,6.0
08180,261.0
08181,34.0
08182,13.0
08183,27.0
08184,373.0
08185,1.0
08187,1312.0
08188,0.0
08189,0.0
08190,3.0
08191,40.0
08192,53.0
08193,12.0
08194,290.0
08195,1.0
08196,113.0
08197,116.0
08198,59.0
08199,2.0
08200,378.0
08201,7.0
08202,71.0
08203,11.0
08204,9.0
08205,509.0
08206,5.0
08207,7.0
08208,28.0
08209,21.0
08210,46.0
08211,317.0
08212,1.0
08213,25.0
08214,34.0
08215,23.0
08216,0.0
08217,190.0
08218,39.0
08219,125.0
08220,10.0
08221,213.0
08222,8.0
08223,8.0
08224,2.0
08225,0.0
08226,4.0
08227,35.0
08228,2.0
08229,0.0
08230,46.0
08231,112.0
08232,8.0
08233,3.0
08234,9.0
08235,39.0
08236,6.0
08237,7.0
08238,136.0
08239,2.0
08240,64.0
08241,0.0
08242,2.0
08243,0.0
08244,20.0
08245,479.0
08246,26.0
08247,16.0
08248,19.0
08249,0.0
08250,79.0
08251,86.0
08252,160.0
08253,1.0
08254,8.0
08255,0.0
08256,2.0
08257,1.0
08258,5.0
08259,40.0
08260,84.0
08261,19.0
08262,65.0
08263,117.0
08264,55.0
08265,8.0
08266,155.0
08267,47.0
08268,4.0
08269,10.0
08270,244.0
08271,0.0
08272,0.0
08273,4.0
08274,29.0
08275,1.0
08276,1.0
08277,1.0
08278,22.0
08279,1581.0
08280,0.0
08281,40.0
08282,30.0
08283,35.0
08284,195.0
08285,94.0
08286,19.0
08287,6.0
08288,4.0
08289,41.0
08290,13.0
08291,28.0
08292,7.0
08293,2.0
08294,7.0
08295,46.0
08296,6.0
08297,0.0
08298,308.0
08299,0.0
08300,71.0
08301,295.0
08302,53.0
08303,0.0
08304,1.0
08305,266.0
08306,2.0
08307,325.0
08308,0.0
08901,2.0
08902,34.0
08903,0.0
08904,122.0
08905,5.0
09001,2.0
09003,0.0
09006,3.0
09007,1.0
09009,3.0
09010,0.0
09011,1.0
09012,1.0
09013,0.0
09014,5.0
09016,0.0
09017,2.0
09018,126.0
09019,0.0
09020,3.0
09021,1.0
09022,0.0
09023,6.0
09024,0.0
09025,4.0
09026,4.0
09027,0.0
09029,1.0
09030,1.0
09032,2.0
09033,0.0
09034,6.0
09035,3.0
09036,0.0
09037,0.0
09038,0.0
09039,0.0
09041,0.0
09043,4.0
09044,0.0
09045,1.0
09046,0.0
09047,0.0
09048,26.0
09050,0.0
09051,1.0
09052,2.0
09054,0.0
09055,3.0
09056,86.0
09057,1.0
09058,6.0
09059,1419.0
09060,0.0
09061,2.0
09062,1.0
09063,1.0
09064,2.0
09065,1.0
09066,0.0
09067,0.0
09068,1.0
09070,0.0
09071,0.0
09072,4.0
09073,13.0
09074,7.0
09075,0.0
09076,0.0
09077,2.0
09078,0.0
09079,0.0
09082,0.0
09083,0.0
09084,0.0
09085,4.0
09086,3.0
09088,0.0
09090,2.0
09091,8.0
09093,2.0
09094,1.0
09095,1.0
09098,7.0
09100,0.0
09101,0.0
09102,0.0
09103,2.0
09104,0.0
09105,1.0
09108,45.0
09109,20.0
09110,0.0
09112,0.0
09113,1.0
09114,0.0
09115,1.0
09117,0.0
09119,0.0
09120,0.0
09122,1.0
09123,1.0
09124,15.0
09125,2.0
09127,1.0
09128,1.0
09129,1.0
09130,1.0
09131,3.0
09132,0.0
09133,0.0
09134,2.0
09135,1.0
09136,5.0
09137,0.0
09138,2.0
09139,2.0
09140,3.0
09141,6.0
09143,0.0
09144,0.0
09148,1.0
09149,3.0
09151,5.0
09152,6.0
09154,1.0
09155,0.0
09159,0.0
09160,0.0
09162,0.0
09163,3.0
09164,0.0
09166,1.0
09167,0.0
09168,1.0
09169,3.0
09170,1.0
09172,0.0
09173,0.0
09174,6.0
09175,2.0
09176,0.0
09177,4.0
09178,4.0
09179,0.0
09180,0.0
09181,2.0
09182,2.0
09183,0.0
09184,2.0
09189,1.0
09190,0.0
09191,0.0
09192,2.0
09194,32.0
09195,0.0
09196,1.0
09197,0.0
09198,1.0
09199,2.0
09200,1.0
09201,1.0
09202,0.0
09206,0.0
09208,1.0
09209,103.0
09211,34.0
09213,0.0
09214,10.0
09215,9.0
09216,4.0
09217,5.0
09218,1.0
09219,343.0
09220,0.0
09221,6.0
09223,0.0
09224,2.0
09225,0.0
09226,0.0
09227,0.0
09228,1.0
09229,0.0
09230,0.0
09231,0.0
09232,3.0
09235,1.0
09236,0.0
09238,12.0
09239,0.0
09241,3.0
09242,3.0
09243,2.0
09244,1.0
09246,3.0
09247,1.0
09248,1.0
09249,4.0
09250,0.0
09251,2.0
09253,0.0
09255,0.0
09256,3.0
