Totales Territoriales;Provincias;Municipios;Grupos CNAE;Periodo;Total
Total Nacional;25 Lleida;25061 Cabó;Total;2020;.
Total Nacional;25 Lleida;25062 Camarasa;Total;2020;51
Total Nacional;25 Lleida;25063 Canejan;Total;2020;.
Total Nacional;25 Lleida;25064 Castellar de la Ribera;Total;2020;6
Total Nacional;25 Lleida;25067 Castelldans;Total;2020;55
Total Nacional;25 Lleida;25068 Castellnou de Seana;Total;2020;59
Total Nacional;25 Lleida;25069 Castelló de Farfanya;Total;2020;28
Total Nacional;25 Lleida;25070 Castellserà;Total;2020;72
Total Nacional;25 Lleida;25071 Cava;Total;2020;.
Total Nacional;25 Lleida;25072 Cervera;Total;2020;650
Total Nacional;25 Lleida;25073 Cervià de les Garrigues;Total;2020;43
Total Nacional;25 Lleida;25074 Ciutadilla;Total;2020;15
Total Nacional;25 Lleida;25075 Clariana de Cardener;Total;2020;22
Total Nacional;25 Lleida;25076 Cogul, El;Total;2020;11
Total Nacional;25 Lleida;25077 Coll de Nargó;Total;2020;40
Total Nacional;25 Lleida;25078 Corbins;Total;2020;80
Total Nacional;25 Lleida;25079 Cubells;Total;2020;31
Total Nacional;25 Lleida;25081 Espluga Calba, L';Total;2020;16
Total Nacional;25 Lleida;25082 Espot;Total;2020;61
Total Nacional;25 Lleida;25085 Estaràs;Total;2020;8
Total Nacional;25 Lleida;25086 Esterri d'Àneu;Total;2020;105
Total Nacional;25 Lleida;25087 Esterri de Cardós;Total;2020;6
Total Nacional;25 Lleida;25088 Estamariu;Total;2020;7
Total Nacional;25 Lleida;25089 Farrera;Total;2020;12
Total Nacional;25 Lleida;25092 Floresta, La;Total;2020;8
Total Nacional;25 Lleida;25093 Fondarella;Total;2020;74
Total Nacional;25 Lleida;25094 Foradada;Total;2020;29
Total Nacional;25 Lleida;25096 Fuliola, La;Total;2020;88
Total Nacional;25 Lleida;25097 Fulleda;Total;2020;5
Total Nacional;25 Lleida;25098 Gavet de la Conca;Total;2020;17
Total Nacional;25 Lleida;25099 Golmés;Total;2020;207
Total Nacional;25 Lleida;25100 Gósol;Total;2020;21
Total Nacional;25 Lleida;25101 Granadella, La;Total;2020;46
Total Nacional;25 Lleida;25102 Granja d'Escarp, La;Total;2020;46
Total Nacional;25 Lleida;25103 Granyanella;Total;2020;16
Total Nacional;25 Lleida;25104 Granyena de Segarra;Total;2020;6
Total Nacional;25 Lleida;25105 Granyena de les Garrigues;Total;2020;9
Total Nacional;25 Lleida;25109 Guimerà;Total;2020;20
Total Nacional;25 Lleida;25110 Guissona;Total;2020;495
Total Nacional;25 Lleida;25111 Guixers;Total;2020;12
Total Nacional;25 Lleida;25112 Ivars de Noguera;Total;2020;13
Total Nacional;25 Lleida;25113 Ivars d'Urgell;Total;2020;82
Total Nacional;25 Lleida;25114 Ivorra;Total;2020;4
Total Nacional;25 Lleida;25115 Isona i Conca Dellà;Total;2020;83
Total Nacional;25 Lleida;25118 Juncosa;Total;2020;31
Total Nacional;25 Lleida;25119 Juneda;Total;2020;254
Total Nacional;25 Lleida;25120 Lleida;Total;2020;10.651
Total Nacional;25 Lleida;25121 Les;Total;2020;84
Total Nacional;25 Lleida;25122 Linyola;Total;2020;174
Total Nacional;25 Lleida;25123 Lladorre;Total;2020;14
Total Nacional;25 Lleida;25124 Lladurs;Total;2020;10
Total Nacional;25 Lleida;25125 Llardecans;Total;2020;19
Total Nacional;25 Lleida;25126 Llavorsí;Total;2020;35
Total Nacional;25 Lleida;25127 Lles de Cerdanya;Total;2020;32
Total Nacional;25 Lleida;25128 Llimiana;Total;2020;7
Total Nacional;25 Lleida;25129 Llobera;Total;2020;15
Total Nacional;25 Lleida;25130 Maldà;Total;2020;20
Total Nacional;25 Lleida;25131 Massalcoreig;Total;2020;21
Total Nacional;25 Lleida;25132 Massoteres;Total;2020;14
Total Nacional;25 Lleida;25133 Maials;Total;2020;54
Total Nacional;25 Lleida;25134 Menàrguens;Total;2020;48
Total Nacional;25 Lleida;25135 Miralcamp;Total;2020;82
Total Nacional;25 Lleida;25136 Molsosa, La;Total;2020;5
Total Nacional;25 Lleida;25137 Mollerussa;Total;2020;1.026
Total Nacional;25 Lleida;25138 Montgai;Total;2020;41
Total Nacional;25 Lleida;25139 Montellà i Martinet;Total;2020;62
Total Nacional;25 Lleida;25140 Montferrer i Castellbò;Total;2020;124
Total Nacional;25 Lleida;25141 Montoliu de Segarra;Total;2020;16
Total Nacional;25 Lleida;25142 Montoliu de Lleida;Total;2020;29
Total Nacional;25 Lleida;25143 Montornès de Segarra;Total;2020;7
Total Nacional;25 Lleida;25145 Nalec;Total;2020;4
Total Nacional;25 Lleida;25146 Navès;Total;2020;36
Total Nacional;25 Lleida;25148 Odèn;Total;2020;19
Total Nacional;25 Lleida;25149 Oliana;Total;2020;124
Total Nacional;25 Lleida;25150 Oliola;Total;2020;5
Total Nacional;25 Lleida;25151 Olius;Total;2020;109
Total Nacional;25 Lleida;25152 Oluges, Les;Total;2020;9
Total Nacional;25 Lleida;25153 Omellons, Els;Total;2020;14
Total Nacional;25 Lleida;25154 Omells de na Gaia, Els;Total;2020;9
Total Nacional;25 Lleida;25155 Organyà;Total;2020;79
Total Nacional;25 Lleida;25156 Os de Balaguer;Total;2020;67
Total Nacional;25 Lleida;25157 Ossó de Sió;Total;2020;13
Total Nacional;25 Lleida;25158 Palau d'Anglesola, El;Total;2020;174
Total Nacional;25 Lleida;25161 Conca de Dalt;Total;2020;28
Total Nacional;25 Lleida;25163 Coma i la Pedra, La;Total;2020;24
Total Nacional;25 Lleida;25164 Penelles;Total;2020;27
Total Nacional;25 Lleida;25165 Peramola;Total;2020;16
Total Nacional;25 Lleida;25166 Pinell de Solsonès;Total;2020;16
Total Nacional;25 Lleida;25167 Pinós;Total;2020;22
Total Nacional;25 Lleida;25168 Poal, El;Total;2020;48
Total Nacional;25 Lleida;25169 Pobla de Cérvoles, La;Total;2020;13
Total Nacional;25 Lleida;25170 Bellaguarda;Total;2020;27
Total Nacional;25 Lleida;25171 Pobla de Segur, La;Total;2020;235
Total Nacional;25 Lleida;25172 Ponts;Total;2020;225
Total Nacional;25 Lleida;25173 Pont de Suert, El;Total;2020;205
Total Nacional;25 Lleida;25174 Portella, La;Total;2020;34
Total Nacional;25 Lleida;25175 Prats i Sansor;Total;2020;38
Total Nacional;25 Lleida;25176 Preixana;Total;2020;29
Total Nacional;25 Lleida;25177 Preixens;Total;2020;30
Total Nacional;25 Lleida;25179 Prullans;Total;2020;30
Total Nacional;25 Lleida;25180 Puiggròs;Total;2020;15
Total Nacional;25 Lleida;25181 Puigverd d'Agramunt;Total;2020;13
Total Nacional;25 Lleida;25182 Puigverd de Lleida;Total;2020;82
Total Nacional;25 Lleida;25183 Rialp;Total;2020;77
Total Nacional;25 Lleida;25185 Ribera d'Urgellet;Total;2020;73
Total Nacional;25 Lleida;25186 Riner;Total;2020;24
Total Nacional;25 Lleida;25189 Rosselló;Total;2020;171
Total Nacional;25 Lleida;25190 Salàs de Pallars;Total;2020;30
Total Nacional;25 Lleida;25191 Sanaüja;Total;2020;39
Total Nacional;25 Lleida;25192 Sant Guim de Freixenet;Total;2020;78
Total Nacional;25 Lleida;25193 Sant Llorenç de Morunys;Total;2020;110
Total Nacional;25 Lleida;25194 Sant Ramon;Total;2020;42
Total Nacional;25 Lleida;25196 Sant Esteve de la Sarga;Total;2020;7
Total Nacional;25 Lleida;25197 Sant Guim de la Plana;Total;2020;6
Total Nacional;25 Lleida;25200 Sarroca de Lleida;Total;2020;20
Total Nacional;25 Lleida;25201 Sarroca de Bellera;Total;2020;15
Total Nacional;25 Lleida;25202 Senterada;Total;2020;13
Total Nacional;25 Lleida;25203 Seu d'Urgell, La;Total;2020;1.108
Total Nacional;25 Lleida;25204 Seròs;Total;2020;115
Total Nacional;25 Lleida;25205 Sidamon;Total;2020;47
Total Nacional;25 Lleida;25206 Soleràs, El;Total;2020;11
Total Nacional;25 Lleida;25207 Solsona;Total;2020;855
Total Nacional;25 Lleida;25208 Soriguera;Total;2020;27
Total Nacional;25 Lleida;25209 Sort;Total;2020;304
Total Nacional;25 Lleida;25210 Soses;Total;2020;108
Total Nacional;25 Lleida;25211 Sudanell;Total;2020;65
Total Nacional;25 Lleida;25212 Sunyer;Total;2020;20
Total Nacional;25 Lleida;25215 Talarn;Total;2020;31
Total Nacional;25 Lleida;25216 Talavera;Total;2020;18
Total Nacional;25 Lleida;25217 Tàrrega;Total;2020;1.391
Total Nacional;25 Lleida;25218 Tarrés;Total;2020;5
Total Nacional;25 Lleida;25219 Tarroja de Segarra;Total;2020;11
Total Nacional;25 Lleida;25220 Térmens;Total;2020;98
Total Nacional;25 Lleida;25221 Tírvia;Total;2020;6
Total Nacional;25 Lleida;25222 Tiurana;Total;2020;.
Total Nacional;25 Lleida;25223 Torà;Total;2020;103
Total Nacional;25 Lleida;25224 Torms, Els;Total;2020;5
Total Nacional;25 Lleida;25225 Tornabous;Total;2020;60
Total Nacional;25 Lleida;25226 Torrebesses;Total;2020;19
Total Nacional;25 Lleida;25227 Torre de Cabdella, La;Total;2020;43
Total Nacional;25 Lleida;25228 Torrefarrera;Total;2020;444
Total Nacional;25 Lleida;25230 Torregrossa;Total;2020;161
Total Nacional;25 Lleida;25231 Torrelameu;Total;2020;48
Total Nacional;25 Lleida;25232 Torres de Segre;Total;2020;134
Total Nacional;25 Lleida;25233 Torre-serona;Total;2020;47
Total Nacional;25 Lleida;25234 Tremp;Total;2020;461
Total Nacional;25 Lleida;25238 Vallbona de les Monges;Total;2020;22
Total Nacional;25 Lleida;25239 Valls de Valira, Les;Total;2020;60
Total Nacional;25 Lleida;25240 Vallfogona de Balaguer;Total;2020;167
Total Nacional;25 Lleida;25242 Verdú;Total;2020;70
Total Nacional;25 Lleida;25243 Vielha e Mijaran;Total;2020;738
Total Nacional;25 Lleida;25244 Vilagrassa;Total;2020;25
Total Nacional;25 Lleida;25245 Vilaller;Total;2020;45
Total Nacional;25 Lleida;25247 Vilamòs;Total;2020;10
Total Nacional;25 Lleida;25248 Vilanova de Bellpuig;Total;2020;69
Total Nacional;25 Lleida;25249 Vilanova de l'Aguda;Total;2020;9
Total Nacional;25 Lleida;25250 Vilanova de Meià;Total;2020;29
Total Nacional;25 Lleida;25251 Vilanova de Segrià;Total;2020;57
Total Nacional;25 Lleida;25252 Vila-sana;Total;2020;100
Total Nacional;25 Lleida;25253 Vilosell, El;Total;2020;14
Total Nacional;25 Lleida;25254 Vilanova de la Barca;Total;2020;72
Total Nacional;25 Lleida;25255 Vinaixa;Total;2020;34
Total Nacional;25 Lleida;25901 Vall de Cardós;Total;2020;35
Total Nacional;25 Lleida;25902 Sant Martí de Riucorb;Total;2020;45
Total Nacional;25 Lleida;25903 Guingueta d'Àneu, La;Total;2020;40
Total Nacional;25 Lleida;25904 Castell de Mur;Total;2020;12
Total Nacional;25 Lleida;25905 Ribera d'Ondara;Total;2020;40
Total Nacional;25 Lleida;25906 Valls d'Aguilar, Les;Total;2020;15
Total Nacional;25 Lleida;25907 Torrefeta i Florejacs;Total;2020;34
Total Nacional;25 Lleida;25908 Fígols i Alinyà;Total;2020;19
Total Nacional;25 Lleida;25909 Vansa i Fórnols, La;Total;2020;16
Total Nacional;25 Lleida;25910 Josa i Tuixén;Total;2020;11
Total Nacional;25 Lleida;25911 Plans de Sió, Els;Total;2020;33
Total Nacional;25 Lleida;25912 Gimenells i el Pla de la Font;Total;2020;65
Total Nacional;25 Lleida;25913 Riu de Cerdanya;Total;2020;10
Total Nacional;26 Rioja, La;26001 Ábalos;Total;2020;31
Total Nacional;26 Rioja, La;26002 Agoncillo;Total;2020;102
Total Nacional;26 Rioja, La;26003 Aguilar del Río Alhama;Total;2020;33
Total Nacional;26 Rioja, La;26004 Ajamil de Cameros;Total;2020;.
Total Nacional;26 Rioja, La;26005 Albelda de Iregua;Total;2020;233
Total Nacional;26 Rioja, La;26006 Alberite;Total;2020;163
Total Nacional;26 Rioja, La;26007 Alcanadre;Total;2020;45
Total Nacional;26 Rioja, La;26008 Aldeanueva de Ebro;Total;2020;131
Total Nacional;26 Rioja, La;26009 Alesanco;Total;2020;30
Total Nacional;26 Rioja, La;26010 Alesón;Total;2020;24
Total Nacional;26 Rioja, La;26011 Alfaro;Total;2020;605
Total Nacional;26 Rioja, La;26012 Almarza de Cameros;Total;2020;.
Total Nacional;26 Rioja, La;26013 Anguciana;Total;2020;26
Total Nacional;26 Rioja, La;26014 Anguiano;Total;2020;23
Total Nacional;26 Rioja, La;26015 Arenzana de Abajo;Total;2020;21
Total Nacional;26 Rioja, La;26016 Arenzana de Arriba;Total;2020;.
Total Nacional;26 Rioja, La;26017 Arnedillo;Total;2020;27
Total Nacional;26 Rioja, La;26018 Arnedo;Total;2020;1.105
Total Nacional;26 Rioja, La;26019 Arrúbal;Total;2020;70
Total Nacional;26 Rioja, La;26020 Ausejo;Total;2020;32
Total Nacional;26 Rioja, La;26021 Autol;Total;2020;231
Total Nacional;26 Rioja, La;26022 Azofra;Total;2020;5
Total Nacional;26 Rioja, La;26023 Badarán;Total;2020;47
Total Nacional;26 Rioja, La;26024 Bañares;Total;2020;24
Total Nacional;26 Rioja, La;26025 Baños de Rioja;Total;2020;6
Total Nacional;26 Rioja, La;26026 Baños de Río Tobía;Total;2020;127
Total Nacional;26 Rioja, La;26027 Berceo;Total;2020;11
Total Nacional;26 Rioja, La;26028 Bergasa;Total;2020;8
Total Nacional;26 Rioja, La;26029 Bergasillas Bajera;Total;2020;.
Total Nacional;26 Rioja, La;26030 Bezares;Total;2020;.
Total Nacional;26 Rioja, La;26031 Bobadilla;Total;2020;8
Total Nacional;26 Rioja, La;26032 Brieva de Cameros;Total;2020;.
Total Nacional;26 Rioja, La;26033 Briñas;Total;2020;23
Total Nacional;26 Rioja, La;26034 Briones;Total;2020;49
Total Nacional;26 Rioja, La;26035 Cabezón de Cameros;Total;2020;.
Total Nacional;26 Rioja, La;26036 Calahorra;Total;2020;1.629
Total Nacional;26 Rioja, La;26037 Camprovín;Total;2020;9
Total Nacional;26 Rioja, La;26038 Canales de la Sierra;Total;2020;.
Total Nacional;26 Rioja, La;26039 Canillas de Río Tuerto;Total;2020;.
Total Nacional;26 Rioja, La;26040 Cañas;Total;2020;6
Total Nacional;26 Rioja, La;26041 Cárdenas;Total;2020;5
Total Nacional;26 Rioja, La;26042 Casalarreina;Total;2020;71
Total Nacional;26 Rioja, La;26043 Castañares de Rioja;Total;2020;41
Total Nacional;26 Rioja, La;26044 Castroviejo;Total;2020;.
Total Nacional;26 Rioja, La;26045 Cellorigo;Total;2020;.
Total Nacional;26 Rioja, La;26046 Cenicero;Total;2020;122
Total Nacional;26 Rioja, La;26047 Cervera del Río Alhama;Total;2020;144
Total Nacional;26 Rioja, La;26048 Cidamón;Total;2020;.
Total Nacional;26 Rioja, La;26049 Cihuri;Total;2020;19
Total Nacional;26 Rioja, La;26050 Cirueña;Total;2020;20
Total Nacional;26 Rioja, La;26051 Clavijo;Total;2020;22
Total Nacional;26 Rioja, La;26052 Cordovín;Total;2020;10
Total Nacional;26 Rioja, La;26053 Corera;Total;2020;12
Total Nacional;26 Rioja, La;26054 Cornago;Total;2020;6
Total Nacional;26 Rioja, La;26055 Corporales;Total;2020;.
Total Nacional;26 Rioja, La;26056 Cuzcurrita de Río Tirón;Total;2020;35
Total Nacional;26 Rioja, La;26057 Daroca de Rioja;Total;2020;4
Total Nacional;26 Rioja, La;26058 Enciso;Total;2020;22
Total Nacional;26 Rioja, La;26059 Entrena;Total;2020;109
Total Nacional;26 Rioja, La;26060 Estollo;Total;2020;8
Total Nacional;26 Rioja, La;26061 Ezcaray;Total;2020;174
Total Nacional;26 Rioja, La;26062 Foncea;Total;2020;.
Total Nacional;26 Rioja, La;26063 Fonzaleche;Total;2020;5
Total Nacional;26 Rioja, La;26064 Fuenmayor;Total;2020;208
Total Nacional;26 Rioja, La;26065 Galbárruli;Total;2020;4
Total Nacional;26 Rioja, La;26066 Galilea;Total;2020;19
Total Nacional;26 Rioja, La;26067 Gallinero de Cameros;Total;2020;.
Total Nacional;26 Rioja, La;26068 Gimileo;Total;2020;5
Total Nacional;26 Rioja, La;26069 Grañón;Total;2020;21
Total Nacional;26 Rioja, La;26070 Grávalos;Total;2020;8
Total Nacional;26 Rioja, La;26071 Haro;Total;2020;826
Total Nacional;26 Rioja, La;26072 Herce;Total;2020;22
Total Nacional;26 Rioja, La;26073 Herramélluri;Total;2020;4
Total Nacional;26 Rioja, La;26074 Hervías;Total;2020;6
Total Nacional;26 Rioja, La;26075 Hormilla;Total;2020;30
Total Nacional;26 Rioja, La;26076 Hormilleja;Total;2020;10
Total Nacional;26 Rioja, La;26077 Hornillos de Cameros;Total;2020;.
Total Nacional;26 Rioja, La;26078 Hornos de Moncalvillo;Total;2020;4
Total Nacional;26 Rioja, La;26079 Huércanos;Total;2020;26
Total Nacional;26 Rioja, La;26080 Igea;Total;2020;27
Total Nacional;26 Rioja, La;26081 Jalón de Cameros;Total;2020;.
Total Nacional;26 Rioja, La;26082 Laguna de Cameros;Total;2020;6
Total Nacional;26 Rioja, La;26083 Lagunilla del Jubera;Total;2020;7
Total Nacional;26 Rioja, La;26084 Lardero;Total;2020;835
Total Nacional;26 Rioja, La;26086 Ledesma de la Cogolla;Total;2020;.
Total Nacional;26 Rioja, La;26087 Leiva;Total;2020;13
Total Nacional;26 Rioja, La;26088 Leza de Río Leza;Total;2020;.
Total Nacional;26 Rioja, La;26089 Logroño;Total;2020;11.268
Total Nacional;26 Rioja, La;26091 Lumbreras de Cameros;Total;2020;4
Total Nacional;26 Rioja, La;26092 Manjarrés;Total;2020;6
Total Nacional;26 Rioja, La;26093 Mansilla de la Sierra;Total;2020;.
Total Nacional;26 Rioja, La;26094 Manzanares de Rioja;Total;2020;.
Total Nacional;26 Rioja, La;26095 Matute;Total;2020;4
Total Nacional;26 Rioja, La;26096 Medrano;Total;2020;22
Total Nacional;26 Rioja, La;26098 Munilla;Total;2020;10
Total Nacional;26 Rioja, La;26099 Murillo de Río Leza;Total;2020;101
Total Nacional;26 Rioja, La;26100 Muro de Aguas;Total;2020;4
Total Nacional;26 Rioja, La;26101 Muro en Cameros;Total;2020;.
Total Nacional;26 Rioja, La;26102 Nájera;Total;2020;661
Total Nacional;26 Rioja, La;26103 Nalda;Total;2020;72
Total Nacional;26 Rioja, La;26104 Navajún;Total;2020;.
Total Nacional;26 Rioja, La;26105 Navarrete;Total;2020;280
Total Nacional;26 Rioja, La;26106 Nestares;Total;2020;.
Total Nacional;26 Rioja, La;26107 Nieva de Cameros;Total;2020;4
Total Nacional;26 Rioja, La;26108 Ocón;Total;2020;7
Total Nacional;26 Rioja, La;26109 Ochánduri;Total;2020;5
Total Nacional;26 Rioja, La;26110 Ojacastro;Total;2020;10
Total Nacional;26 Rioja, La;26111 Ollauri;Total;2020;29
Total Nacional;26 Rioja, La;26112 Ortigosa de Cameros;Total;2020;17
Total Nacional;26 Rioja, La;26113 Pazuengos;Total;2020;.
Total Nacional;26 Rioja, La;26114 Pedroso;Total;2020;.
Total Nacional;26 Rioja, La;26115 Pinillos;Total;2020;.
Total Nacional;26 Rioja, La;26117 Pradejón;Total;2020;186
Total Nacional;26 Rioja, La;26118 Pradillo;Total;2020;.
Total Nacional;26 Rioja, La;26119 Préjano;Total;2020;11
Total Nacional;26 Rioja, La;26120 Quel;Total;2020;136
Total Nacional;26 Rioja, La;26121 Rabanera;Total;2020;.
Total Nacional;26 Rioja, La;26122 Rasillo de Cameros, El;Total;2020;10
Total Nacional;26 Rioja, La;26123 Redal, El;Total;2020;9
Total Nacional;26 Rioja, La;26124 Ribafrecha;Total;2020;53
Total Nacional;26 Rioja, La;26125 Rincón de Soto;Total;2020;257
Total Nacional;26 Rioja, La;26126 Robres del Castillo;Total;2020;.
Total Nacional;26 Rioja, La;26127 Rodezno;Total;2020;9
Total Nacional;26 Rioja, La;26128 Sajazarra;Total;2020;12
Total Nacional;26 Rioja, La;26129 San Asensio;Total;2020;89
Total Nacional;26 Rioja, La;26130 San Millán de la Cogolla;Total;2020;19
Total Nacional;26 Rioja, La;26131 San Millán de Yécora;Total;2020;.
Total Nacional;26 Rioja, La;26132 San Román de Cameros;Total;2020;12
Total Nacional;26 Rioja, La;26134 Santa Coloma;Total;2020;8
Total Nacional;26 Rioja, La;26135 Santa Engracia del Jubera;Total;2020;4
Total Nacional;26 Rioja, La;26136 Santa Eulalia Bajera;Total;2020;4
Total Nacional;26 Rioja, La;26138 Santo Domingo de la Calzada;Total;2020;474
Total Nacional;26 Rioja, La;26139 San Torcuato;Total;2020;5
Total Nacional;26 Rioja, La;26140 Santurde de Rioja;Total;2020;19
Total Nacional;26 Rioja, La;26141 Santurdejo;Total;2020;6
Total Nacional;26 Rioja, La;26142 San Vicente de la Sonsierra;Total;2020;86
Total Nacional;26 Rioja, La;26143 Sojuela;Total;2020;32
Total Nacional;26 Rioja, La;26144 Sorzano;Total;2020;9
Total Nacional;26 Rioja, La;26145 Sotés;Total;2020;17
Total Nacional;26 Rioja, La;26146 Soto en Cameros;Total;2020;8
Total Nacional;26 Rioja, La;26147 Terroba;Total;2020;.
Total Nacional;26 Rioja, La;26148 Tirgo;Total;2020;15
Total Nacional;26 Rioja, La;26149 Tobía;Total;2020;.
Total Nacional;26 Rioja, La;26150 Tormantos;Total;2020;5
Total Nacional;26 Rioja, La;26151 Torrecilla en Cameros;Total;2020;33
Total Nacional;26 Rioja, La;26152 Torrecilla sobre Alesanco;Total;2020;.
Total Nacional;26 Rioja, La;26153 Torre en Cameros;Total;2020;.
Total Nacional;26 Rioja, La;26154 Torremontalbo;Total;2020;.
Total Nacional;26 Rioja, La;26155 Treviana;Total;2020;6
Total Nacional;26 Rioja, La;26157 Tricio;Total;2020;40
Total Nacional;26 Rioja, La;26158 Tudelilla;Total;2020;18
Total Nacional;26 Rioja, La;26160 Uruñuela;Total;2020;68
Total Nacional;26 Rioja, La;26161 Valdemadera;Total;2020;.
Total Nacional;26 Rioja, La;26162 Valgañón;Total;2020;6
Total Nacional;26 Rioja, La;26163 Ventosa;Total;2020;13
Total Nacional;26 Rioja, La;26164 Ventrosa;Total;2020;.
Total Nacional;26 Rioja, La;26165 Viguera;Total;2020;25
Total Nacional;26 Rioja, La;26166 Villalba de Rioja;Total;2020;10
Total Nacional;26 Rioja, La;26167 Villalobar de Rioja;Total;2020;7
Total Nacional;26 Rioja, La;26168 Villamediana de Iregua;Total;2020;527
Total Nacional;26 Rioja, La;26169 Villanueva de Cameros;Total;2020;4
Total Nacional;26 Rioja, La;26170 Villar de Arnedo, El;Total;2020;39
Total Nacional;26 Rioja, La;26171 Villar de Torre;Total;2020;5
Total Nacional;26 Rioja, La;26172 Villarejo;Total;2020;.
Total Nacional;26 Rioja, La;26173 Villarroya;Total;2020;.
Total Nacional;26 Rioja, La;26174 Villarta-Quintana;Total;2020;6
Total Nacional;26 Rioja, La;26175 Villavelayo;Total;2020;.
Total Nacional;26 Rioja, La;26176 Villaverde de Rioja;Total;2020;.
Total Nacional;26 Rioja, La;26177 Villoslada de Cameros;Total;2020;21
Total Nacional;26 Rioja, La;26178 Viniegra de Abajo;Total;2020;9
Total Nacional;26 Rioja, La;26179 Viniegra de Arriba;Total;2020;.
Total Nacional;26 Rioja, La;26180 Zarratón;Total;2020;18
Total Nacional;26 Rioja, La;26181 Zarzosa;Total;2020;.
Total Nacional;26 Rioja, La;26183 Zorraquín;Total;2020;11
Total Nacional;27 Lugo;27001 Abadín;Total;2020;109
Total Nacional;27 Lugo;27002 Alfoz;Total;2020;102
Total Nacional;27 Lugo;27003 Antas de Ulla;Total;2020;105
Total Nacional;27 Lugo;27004 Baleira;Total;2020;61
Total Nacional;27 Lugo;27005 Barreiros;Total;2020;236
Total Nacional;27 Lugo;27006 Becerreá;Total;2020;222
Total Nacional;27 Lugo;27007 Begonte;Total;2020;157
Total Nacional;27 Lugo;27008 Bóveda;Total;2020;85
Total Nacional;27 Lugo;27009 Carballedo;Total;2020;113
Total Nacional;27 Lugo;27010 Castro de Rei;Total;2020;296
Total Nacional;27 Lugo;27011 Castroverde;Total;2020;185
Total Nacional;27 Lugo;27012 Cervantes;Total;2020;62
Total Nacional;27 Lugo;27013 Cervo;Total;2020;196
Total Nacional;27 Lugo;27014 Corgo, O;Total;2020;217
Total Nacional;27 Lugo;27015 Cospeito;Total;2020;303
Total Nacional;27 Lugo;27016 Chantada;Total;2020;737
Total Nacional;27 Lugo;27017 Folgoso do Courel;Total;2020;46
Total Nacional;27 Lugo;27018 Fonsagrada, A;Total;2020;215
Total Nacional;27 Lugo;27019 Foz;Total;2020;701
Total Nacional;27 Lugo;27020 Friol;Total;2020;206
Total Nacional;27 Lugo;27021 Xermade;Total;2020;98
Total Nacional;27 Lugo;27022 Guitiriz;Total;2020;329
Total Nacional;27 Lugo;27023 Guntín;Total;2020;116
Total Nacional;27 Lugo;27024 Incio, O;Total;2020;76
Total Nacional;27 Lugo;27025 Xove;Total;2020;159
Total Nacional;27 Lugo;27026 Láncara;Total;2020;171
Total Nacional;27 Lugo;27027 Lourenzá;Total;2020;184
Total Nacional;27 Lugo;27028 Lugo;Total;2020;8.514
Total Nacional;27 Lugo;27029 Meira;Total;2020;193
Total Nacional;27 Lugo;27030 Mondoñedo;Total;2020;292
Total Nacional;27 Lugo;27031 Monforte de Lemos;Total;2020;1.441
Total Nacional;27 Lugo;27032 Monterroso;Total;2020;269
Total Nacional;27 Lugo;27033 Muras;Total;2020;24
Total Nacional;27 Lugo;27034 Navia de Suarna;Total;2020;68
Total Nacional;27 Lugo;27035 Negueira de Muñiz;Total;2020;10
Total Nacional;27 Lugo;27037 Nogais, As;Total;2020;61
Total Nacional;27 Lugo;27038 Ourol;Total;2020;34
Total Nacional;27 Lugo;27039 Outeiro de Rei;Total;2020;382
Total Nacional;27 Lugo;27040 Palas de Rei;Total;2020;257
Total Nacional;27 Lugo;27041 Pantón;Total;2020;127
Total Nacional;27 Lugo;27042 Paradela;Total;2020;106
Total Nacional;27 Lugo;27043 Páramo, O;Total;2020;60
Total Nacional;27 Lugo;27044 Pastoriza, A;Total;2020;161
Total Nacional;27 Lugo;27045 Pedrafita do Cebreiro;Total;2020;61
Total Nacional;27 Lugo;27046 Pol;Total;2020;70
Total Nacional;27 Lugo;27047 Pobra do Brollón, A;Total;2020;81
Total Nacional;27 Lugo;27048 Pontenova, A;Total;2020;206
Total Nacional;27 Lugo;27049 Portomarín;Total;2020;99
Total Nacional;27 Lugo;27050 Quiroga;Total;2020;225
Total Nacional;27 Lugo;27051 Ribadeo;Total;2020;879
Total Nacional;27 Lugo;27052 Ribas de Sil;Total;2020;48
Total Nacional;27 Lugo;27053 Ribeira de Piquín;Total;2020;24
Total Nacional;27 Lugo;27054 Riotorto;Total;2020;96
Total Nacional;27 Lugo;27055 Samos;Total;2020;68
Total Nacional;27 Lugo;27056 Rábade;Total;2020;144
Total Nacional;27 Lugo;27057 Sarria;Total;2020;1.242
Total Nacional;27 Lugo;27058 Saviñao, O;Total;2020;240
Total Nacional;27 Lugo;27059 Sober;Total;2020;123
Total Nacional;27 Lugo;27060 Taboada;Total;2020;159
Total Nacional;27 Lugo;27061 Trabada;Total;2020;69
Total Nacional;27 Lugo;27062 Triacastela;Total;2020;50
Total Nacional;27 Lugo;27063 Valadouro, O;Total;2020;102
Total Nacional;27 Lugo;27064 Vicedo, O;Total;2020;80
Total Nacional;27 Lugo;27065 Vilalba;Total;2020;1.093
Total Nacional;27 Lugo;27066 Viveiro;Total;2020;968
Total Nacional;27 Lugo;27901 Baralla;Total;2020;165
Total Nacional;27 Lugo;27902 Burela;Total;2020;654
